Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1906,M,M,0.82,M,3.06,M,M,0.52,0.27,M,6.13,M,M,Okanogan
1907,M,M,M,M,M,M,M,M,1.02,M,M,M,M,Okanogan
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Okanogan
1909,M,M,M,M,M,M,M,M,M,M,5.31,2.3,M,Okanogan
1910,2.53,2.61,M,M,1.15,0.26,0.35,0.35,0.28,0.87,4.95,2.14,M,Okanogan
1911,2.13,1.44,0.17,0.02,3.55,M,T,1.07,M,0.1,M,1.96,M,Okanogan
1912,3.32,0.82,0.23,1.61,M,0.86,1.2,1.56,0.64,2.27,1.56,2.35,M,Okanogan
1913,1.64,0.48,0.09,0.68,1.14,1.87,0.2,0.43,0.3,0.6,2.4,1.19,11.02,Okanogan
1914,4.63,0.79,0.64,1.1,0.39,1.36,0.14,0,2.03,0.86,2.58,0.91,15.43,Okanogan
1915,1.66,1.79,0.85,0.36,2.46,0.65,1.2,T,0.13,1.62,M,M,M,Okanogan
1916,M,2.91,1.11,0.46,0.47,1.9,0.74,0.47,0.21,0.19,1.34,0.94,M,Okanogan
1917,0.32,1.23,1.42,1.28,0.6,0.17,0.09,M,0.13,0,M,M,M,Okanogan
1918,0.92,0.25,M,M,M,M,M,M,0.31,1.53,1.4,1.78,M,Okanogan
1919,3.9,M,0.45,0.09,0.22,0.47,0.16,0.53,0.95,0.29,0.99,1.66,M,Okanogan
1920,1.02,M,0.19,M,M,M,M,M,M,M,1.71,M,M,Okanogan
1921,M,M,M,M,1.46,0.5,0,0.02,0.5,0.78,3.11,M,M,Okanogan
1922,0.37,0.69,M,0.12,0.23,0.04,0.15,1.86,0.64,1.2,1.05,2.68,M,Okanogan
1923,3.44,0.48,0.19,0.77,0.63,1.71,1.49,1,0.26,1.38,1.18,4.29,M,Okanogan
1924,1.29,1.48,0.07,0.11,0.03,0.56,0.1,0.55,0.46,1.15,2.48,1.34,9.62,Okanogan
1925,2.45,1.28,T,0.75,0.41,0.76,0.16,0.03,0.31,1.3,1.26,1.05,9.76,Okanogan
1926,1.14,1.77,0.07,0.31,0.21,0.23,0.02,0.36,1.07,0.75,1.96,1.53,9.42,Okanogan
1927,1.12,1.57,0.63,0.41,1.05,0.69,0.28,0.9,1.08,1.24,3.2,0.53,M,Okanogan
1928,M,0.26,0.39,1.48,0.19,1.9,0.54,M,M,0.42,0.87,2.06,M,Okanogan
1929,0.76,0.07,0.27,0.56,0.68,1.52,0,0.24,0.02,0.33,0.11,1.91,6.47,Okanogan
1930,M,1.8,0.41,0.46,0.6,2.67,0.08,0.23,1.07,0.2,0.81,0.36,M,Okanogan
1931,2.35,0.33,0.57,0.1,0.47,1.17,0.12,0,0.73,0.83,1.02,4.21,11.9,Okanogan
1932,1.91,0.64,1.62,0.49,0.54,0.02,0.24,0.04,0.14,0.51,3.11,1.7,10.96,Okanogan
1933,1.72,0.49,1.33,0.06,1.33,0.39,0.21,0.2,1.33,1.85,1.41,8.18,18.5,Okanogan
1934,1.95,0.24,1.06,0.29,0.48,0.24,0.17,0.3,0.73,2.82,3.15,2.78,14.21,Okanogan
1935,0.99,0.61,0.92,T,0.24,0.18,0.59,0.17,0.18,0.39,0.59,1.26,6.12,Okanogan
1936,2.34,1.54,0.22,0.52,1.03,4.23,0.56,0.17,0.6,0.21,0.01,1.66,13.09,Okanogan
1937,0.95,1.99,1.85,1.65,0.26,3.16,T,0.31,2.15,0.34,3.1,M,M,Okanogan
1938,M,M,1.44,0.25,T,0.58,0.91,0.26,1.31,1.09,0.83,1.31,M,Okanogan
1939,0.67,0.82,0.33,0.05,0.5,0.54,0,0.35,0.45,0.5,0.34,3.43,M,Okanogan
1940,1.32,2.32,1.15,0.81,0.91,0.02,0.23,0.05,1.25,1.87,2.02,3.08,15.03,Okanogan
1941,1.36,0.42,0.96,2.78,1.61,2.22,0.32,2.16,1.19,0.35,1.9,3.38,18.65,Okanogan
1942,1.55,0.95,0,1.33,3.4,0.72,1.04,0.36,T,0.75,2.77,2.47,15.34,Okanogan
1943,1.38,1.49,0.81,0.89,M,1.38,0.52,M,0,1.82,0.94,0.68,M,Okanogan
1944,0.44,1.48,0.4,1.68,0.43,2.22,0.01,0.02,0.48,0.14,2.4,0.57,10.27,Okanogan
1945,M,2.48,0.25,M,1.7,0.8,0.07,0.03,0.32,0.81,2.14,3.31,M,Okanogan
1946,2.92,1.59,M,0.02,1.12,2.08,0.11,0.49,0.99,0.87,2.93,1.69,M,Okanogan
1947,1.35,1.32,0.4,0.15,T,2.25,0.8,M,0.32,2.15,0.53,3.95,M,Okanogan
1948,1.38,3.03,0.23,2.06,4.26,3.14,1.86,0.92,0.98,0.35,2.71,3.19,24.11,Okanogan
1949,0.41,3.56,0.64,0.19,0.57,0.25,0.24,0.19,0.29,0.52,3.51,2.03,12.4,Okanogan
1950,1.85,1.74,1.46,0.99,1.03,1.4,0.66,0.36,0.12,2.52,4.16,2.09,18.38,Okanogan
1951,3.63,2.1,1.8,0.12,1.76,1.25,0.64,2.29,0.22,2.18,2.19,2.1,20.28,Okanogan
1952,3.24,1.2,0.05,0.54,0.65,1.1,0.18,0.01,0.72,0.06,0.15,2.45,10.35,Okanogan
1953,4.87,1.2,0.34,0.79,1.77,2.29,T,0.96,0.2,0.16,1.49,1.28,15.35,Okanogan
1954,3.57,1.42,0.55,0.13,0.74,0.49,0.92,1.05,1.16,0.29,1.61,2.17,14.1,Okanogan
1955,0.76,2.88,1.23,0.66,0.36,0.53,0.99,0.01,0.22,1.22,2.86,4.78,16.5,Okanogan
1956,2.79,1.2,0.89,0.29,0.75,2.04,0.4,1.82,0.51,1.84,0.96,1.67,15.16,Okanogan
1957,1.4,1.33,1.82,0.74,1.39,0.44,1.01,0.44,0.03,1.27,0.37,2.94,13.18,Okanogan
1958,2.4,2.25,2.09,1.37,0.31,0.81,2.68,0.05,0.26,0.84,4.55,2.39,20,Okanogan
1959,3.94,1.93,0.64,0.09,0.33,0.72,0.18,0.11,2.73,1.61,2.2,1.49,15.97,Okanogan
1960,0.96,2.61,0.8,0.85,1.53,0.26,T,0.39,0.15,0.23,2.26,1.02,11.06,Okanogan
1961,1.55,2.39,2.23,0.49,2.14,0.73,0.81,0.37,0.33,0.4,1.1,2.61,15.15,Okanogan
1962,0.39,1.21,0.56,1.12,1.29,0.39,0.09,1.4,0.03,1.32,2.76,1.67,12.23,Okanogan
1963,0.29,0.31,1.03,2.43,0.67,0.51,1.02,0.77,1.2,0.41,1.8,2,12.44,Okanogan
1964,4.11,0.2,0.38,0.02,0.19,1.37,M,0.53,0.42,0.34,2.09,3.37,M,Okanogan
1965,2.92,0.52,0.13,1.38,0.62,0.83,0.54,1.55,0.18,0.05,1.66,2.67,13.05,Okanogan
1966,1.46,0.73,0.91,0.02,0.37,0.76,0.98,0.13,1.2,0.4,2.63,2.13,11.72,Okanogan
1967,1.98,0.53,0.61,1.45,1,2,0.01,T,0.1,2.38,0.3,2.21,12.57,Okanogan
1968,3.83,1.18,M,0.16,0.96,0.05,0.04,1.09,0.12,0.39,2.1,7.01,M,Okanogan
1969,3.03,1.84,0.11,1.46,0.32,0.89,0.19,0.28,0.4,0.53,0.24,2.7,11.99,Okanogan
1970,3.03,0.29,M,0.68,0.36,0.17,T,0.54,0.32,0.5,2.69,4.57,M,Okanogan
1971,3.33,0.47,1.63,0.32,0.35,M,0.15,1.25,1.26,0.59,1.87,5.28,M,Okanogan
1972,2.54,2.21,2.72,0.79,2.21,M,0.18,1.67,0.4,0.16,1.68,M,M,Okanogan
1973,1.28,0.6,0.36,M,M,M,0.08,0,1.91,1.11,2.38,5.34,M,Okanogan
1974,3.82,1.73,1,M,0.4,0.13,0.88,0.04,T,0.06,M,3,M,Okanogan
1975,3.12,1.68,0.32,2.16,0.25,M,1.8,0.93,0.04,M,1.36,M,M,Okanogan
1976,2.08,0.84,0.01,0.34,0.54,0.33,0.18,3.35,0,0.31,0.19,0.21,8.38,Okanogan
1977,0.09,0.95,0.44,0.28,1.24,0.38,0.39,1.16,0.83,0.35,3.25,3.61,12.97,Okanogan
1978,1.39,1.49,0.91,1.23,0.19,1.2,1.3,1.08,2.49,0.06,0.86,0.71,12.91,Okanogan
1979,0.65,1.51,0.12,0.42,0.2,0.47,0.76,1.22,0.59,1.72,1.38,4.6,13.64,Okanogan
1980,1.96,2.31,0.19,1.09,1.94,0.52,0.17,0.37,1.12,0.24,1.38,3.28,M,Okanogan
1981,1.09,2.41,0.38,0.16,2.14,0.5,1.18,0.14,0.78,1.75,2.38,3.48,16.39,Okanogan
1982,2.29,1.42,1.81,0.32,0.94,M,1.29,0.45,0.79,1.15,1.23,2.64,M,Okanogan
1983,4.32,2.26,2.79,0.91,0.3,0.79,0.71,1.2,1.25,0.17,5.29,1.49,21.48,Okanogan
1984,0.95,0.92,1.85,0.65,0.69,1.29,0.02,0.48,0.13,0.88,2.97,0.98,11.81,Okanogan
1985,0.39,1,0.64,0.1,0.76,0.66,0.05,0.17,1.28,1.65,0.74,0.64,8.08,Okanogan
1986,2.39,2.04,0.6,0.79,0.19,0.95,0.17,0.29,1.38,0.42,1.52,1.18,11.92,Okanogan
1987,2.13,1.57,1.09,0.23,1.17,1.04,1.27,0.15,0.03,0.04,0.38,5.38,14.48,Okanogan
1988,0.91,0.19,0.6,1.2,0.61,1.89,0.22,0.25,0.26,0.16,2.63,1.5,10.42,Okanogan
1989,0.63,1.67,1.89,1.24,1.88,0.34,0.72,0.44,0.02,1.93,0.72,0.67,12.15,Okanogan
1990,3.41,0.54,0.46,0.67,3.21,1.84,M,1.97,0.01,0.92,3.24,1.37,M,Okanogan
1991,0.9,0.42,0.99,0.71,1.47,1.31,0.68,0.66,0.03,0.47,2.45,1.39,11.48,Okanogan
1992,1.45,1.66,0.58,0.34,T,3.33,2.11,0.88,0.02,0.62,1.56,2.25,14.8,Okanogan
1993,1.22,0.45,0.2,2.34,0.95,2.78,3.52,0.7,0.56,0.15,0.12,2.83,15.82,Okanogan
1994,1.07,1.65,0.16,1.59,1.04,0.75,0.2,M,0.27,2.71,3.17,2.27,M,Okanogan
1995,4.43,1.47,3.48,0.64,0.93,1.07,0.15,0.44,0.14,0.89,4.39,2.66,20.69,Okanogan
1996,1.98,2.99,0.31,0.81,1.33,0.61,0.51,0.03,0.87,1.42,1.9,7.17,19.93,Okanogan
1997,2.32,0.75,1.12,0.69,1.64,2.8,1.23,0.38,0.92,2.48,1.05,0.81,16.19,Okanogan
1998,4.19,2.2,1.23,1.49,2.57,1.47,1.16,0.05,0.13,0.35,2.72,2.77,20.33,Okanogan
1999,1.93,2.73,1.62,0.05,0.55,0.44,0.43,1.14,0.09,0.67,2.65,1.64,13.94,Okanogan
2000,1.82,1.96,0.68,0.37,0.83,0.45,1.87,0.04,0.07,1.04,1.18,1.23,11.54,Okanogan
2001,0.49,0.71,1.02,0.39,0.06,0.8,0.55,0.34,0.51,0.62,2.42,2.39,10.3,Okanogan
2002,1.24,0.83,0.79,0.12,0.66,0.16,0.42,0.19,0.02,0.15,0.88,4.31,9.77,Okanogan
2003,2.85,0.51,1.03,2.56,0.08,0.01,0,0.1,0.1,3.13,2.49,2.31,15.17,Okanogan
2004,0.72,1.08,1.09,0.62,1.15,1.48,0.18,2.19,0.12,1.57,0.42,2.15,12.77,Okanogan
2005,1.66,0.01,0.78,0.52,1.15,1.53,0.19,0.31,0.31,1.43,M,2.25,M,Okanogan
2006,3.98,1.92,1.33,1.14,1.11,1.99,0.75,T,0.35,0.22,4.68,3.85,21.32,Okanogan
2007,1.21,1.08,0.36,0.1,0.44,0.64,0.48,0.09,0.49,1.15,1.07,3.96,M,Okanogan
2008,2.64,0.75,0.42,0.2,0.53,0.97,0.13,0.43,0.08,1.24,2.54,1.52,11.45,Okanogan
2009,2.08,0.43,1.15,0.35,0.81,0.76,0.69,0.2,0.76,2.17,0.68,0.87,10.95,Okanogan
2010,3.06,1.79,0.42,1.38,3.66,1.31,0.18,1.69,1.17,0.68,1.98,3.25,20.57,Okanogan
2011,1.62,0.96,4.54,0.42,3.51,0.74,0.2,T,0.2,1.33,1.86,3.28,18.66,Okanogan
2012,4.6,1.08,1.92,0.9,0.1,1.41,0.69,0.03,0.1,1.99,2.72,4.22,19.76,Okanogan
2013,0.78,0.15,0.79,0.93,0.95,1.02,0.24,1.07,2.43,0.17,1.14,0.52,10.19,Okanogan
2014,0.83,3.26,1.33,0.3,0.49,0.98,1.2,1.34,0.32,2.07,3.37,2.68,18.17,Okanogan
