Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1909,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1910,2.9,2.39,1.33,1.95,1.53,0.74,0.57,0.05,1.93,2.53,5.53,3.37,24.82,Pend Oreille
1911,2.21,1.34,1.15,0.45,2.88,0.79,0.3,1.67,1.77,0.49,3.76,3.12,19.93,Pend Oreille
1912,3.26,2.46,0.97,1.75,2.09,1.44,2.49,2.81,1,2.19,5.49,3.64,29.59,Pend Oreille
1913,3.43,0.43,1.66,1.33,1.52,3.75,0.58,0.52,2.07,1.52,6.35,0.81,23.97,Pend Oreille
1914,3.89,2.24,1.02,2.04,1.17,M,1.35,0.05,2.25,2.81,3.44,0.89,M,Pend Oreille
1915,0.64,1.47,M,1.97,2.75,1.06,2.6,0.04,0.86,1.72,3.91,3.05,M,Pend Oreille
1916,2.4,2.28,5.12,1.79,2.61,3.29,0.57,1.19,1.19,0.62,3.53,1.74,26.33,Pend Oreille
1917,2.15,1.85,2.38,3.53,2.34,1.22,0.05,T,0.46,0.38,1.9,5.27,21.53,Pend Oreille
1918,2.24,2.5,2.01,0.31,M,1,1,2.46,0.49,2.58,3.14,3.04,M,Pend Oreille
1919,3.06,4.02,2.87,1.81,2.01,0.38,0.07,1.36,0.91,1.6,2.27,1.02,21.38,Pend Oreille
1920,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1921,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1922,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1923,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1924,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1925,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1926,M,M,M,M,M,M,M,M,1.71,1.69,3.87,1.28,M,Pend Oreille
1927,1.71,1.96,1.6,0.47,2.7,2.21,0.9,1.02,7.92,3.12,6.02,2.64,32.27,Pend Oreille
1928,1.66,0.61,3.97,2.36,0.69,1.11,1.15,0.14,0.02,2.92,2.08,2.07,18.78,Pend Oreille
1929,1.65,0.23,M,1.49,0.91,1.82,M,M,0.12,M,M,M,M,Pend Oreille
1930,0.83,M,0.96,M,1.69,1.87,T,1.25,0.75,1.6,M,1.15,M,Pend Oreille
1931,2.64,2.13,3.49,1.02,0.75,1.33,0.14,T,1.84,1.94,4.12,4.44,23.84,Pend Oreille
1932,2.93,2.2,3.58,3.07,2.88,0.78,0.36,0.29,0.25,1.97,4.49,4.03,26.83,Pend Oreille
1933,2.57,1.4,2.67,0.4,1.57,1.44,0.08,0.28,1.89,2.71,1.82,6.46,23.29,Pend Oreille
1934,3.64,0.85,2.61,1.19,1.58,0.6,0,0.4,1.15,3.63,5.34,3.75,24.74,Pend Oreille
1935,5.24,1.03,1.8,0.73,0.55,1.25,1.15,0.57,0.22,1.35,1.96,2.84,18.69,Pend Oreille
1936,4.63,1.6,0.97,0.68,1.2,2.83,0.02,0.17,2.01,0.55,0.47,3.58,18.71,Pend Oreille
1937,2.28,3.89,1.92,2.98,0.33,2.46,0.88,1.35,0.97,0.81,6.65,5.32,29.84,Pend Oreille
1938,3.31,3.38,3.67,0.69,0.81,0.65,0.6,0.56,0.6,2.1,2.3,3.05,21.72,Pend Oreille
1939,3.43,2.55,1.21,0.79,0.98,2.36,0.75,0.07,0.3,2.09,1.52,5.55,21.6,Pend Oreille
1940,1.63,5.37,3.52,2.93,1.06,0.75,0.92,0.18,3.42,3.81,3.25,3.67,30.51,Pend Oreille
1941,3.14,1.65,1.19,0.56,4.68,2.06,T,2.3,3.54,2.26,2.69,5.41,29.48,Pend Oreille
1942,0.88,2.15,1.23,1.14,5.51,2.3,1.75,0.02,0.5,2.82,4.47,2.61,25.38,Pend Oreille
1943,2.52,2.2,2.29,1.78,1.16,2.67,0.41,0.81,0.04,4.41,1.05,1.88,21.22,Pend Oreille
1944,1.73,1.08,0.68,1.76,2.08,1.31,0.28,M,1.59,0.98,2.64,1.78,M,Pend Oreille
1945,3.43,2.54,5.54,1.95,2.99,0.77,0.05,0.36,3.04,2.26,4.97,2.51,30.41,Pend Oreille
1946,3.13,2.86,3.47,2.21,0.72,1.86,0.37,0.17,1.97,2.29,5.4,2.19,26.64,Pend Oreille
1947,2.53,1.1,1.26,1.58,0.76,3.91,0.36,1.93,3.03,6.84,2.38,2.38,28.06,Pend Oreille
1948,3.22,3.44,1.35,3.32,5.03,3.9,2.47,0.76,1.37,1.49,4.82,3.74,34.91,Pend Oreille
1949,0.6,5.93,2.71,0.79,1.97,0.7,0.17,M,1.42,2.75,4.32,3.4,M,Pend Oreille
1950,5.11,3.39,5.33,1,0.99,2.77,1.33,1.17,0.68,6.95,3.76,4.92,37.4,Pend Oreille
1951,4.59,2.3,2.9,0.41,1.58,1.49,0.62,0.97,1.76,8.25,3.58,5.66,34.11,Pend Oreille
