"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1998","M","M","M","0.31","1.85","0.97","1.16","M","M","1.01","6.42","4.50","M"
"1999","4.67","2.98","1.69","0.88","0.78","1.92","0.32","1.09","0.39","3.01","3.82","4.06","25.61"
"2000","2.04","1.58","1.25","1.21","2.37","0.83","0.46","1.03","1.13","2.13","2.33","2.58","18.94"
"2001","2.68","1.31","1.83","1.56","0.74","1.67","0.58","0.79","0.75","3.63","2.95","4.03","22.52"
"2002","4.69","2.39","2.12","1.43","1.12","0.87","0.38","0.18","0.84","1.00","1.42","2.12","18.56"
"2003","3.84","1.25","2.18","2.11","0.47","0.57","0.10","0.21","1.09","6.82","4.88","1.26","24.78"
"2004","2.67","0.72","1.91","0.08","1.75","0.45","0.47","3.50","2.15","2.41","3.86","3.42","23.39"
"2005","4.35","1.39","1.75","0.90","1.44","1.15","0.37","1.54","0.88","3.50","2.33","1.09","20.69"
"2006","2.03","0.43","0.26","0.40","0.32","0.09","0.02","0.10","0.36","0.66","3.64","1.64","9.95"
"2007","3.52","0.79","1.13","0.50","0.11","0.11","0.26","0.69","0.82","1.76","1.73","3.29","14.71"
"2008","1.45","1.45","1.80","0.96","1.22","1.19","0.32","1.67","0.67","1.45","4.00","2.40","18.58"
"2009","2.89","1.19","1.45","1.45","1.53","0.28","0.55","0.77","1.47","4.18","4.93","1.27","21.96"
"2010","3.29","0.91","2.38","1.60","1.69","0.98","0.17","1.21","3.04","1.28","2.17","5.14","23.86"
"2011","4.34","1.98","2.68","2.39","2.78","0.56","0.61","0.33","0.63","1.74","3.78","1.42","23.24"
"2012","2.56","1.51","0.46","0.38","0.06","0.52","0.53","T","T","1.81","1.31","1.60","10.74"
"2013","0.86","0.42","0.47","0.83","0.53","0.31","T","0.09","2.52","0.28","M","0.36","M"
"2014","1.04","1.48","1.18","0.58","0.52","0.25","0.10","0.32","0.54","1.27","1.19","1.24","M"
"2015","1.64","0.75","M","T","T","T","T","T","0.15","1.27","2.23","1.86","M"
"2016","1.78","4.00","2.22","0.84","0.50","0.51","T","0.08","0.44","1.59","0.99","1.60","M"
"2017","0.39","1.18","0.66","0.55","0.74","0.09","T","T","0.32","2.44","1.45","1.64","M"
"2018","1.46","1.23","0.39","0.51","0.02","0.12","0.22","T","0.21","0.67","1.31","2.00","M"
"2019","1.44","0.46","0.33","0.44","0.46","0.17","0.15","0.19","1.23","1.31","0.42","1.15","7.75"
"2020","2.82","1.69","0.63","1.27","M","1.01","0.69","0.60","1.87","2.67","4.09","5.44","M"
"2021","2.79","1.46","0.28","M","0.01","0.82","0.00","0.01","1.84","1.14","8.93","3.64","M"
"2022","2.78","1.23","1.89","1.84","1.35","1.68","0.39","0.13","T","M","M","M","M"
