Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1927,M,M,M,M,6.1,1.98,0.37,1.81,12.29,11.63,31.44,7.87,M,Skamania
1928,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1929,8.29,M,12.38,M,2.78,5.77,M,M,M,M,M,M,M,Skamania
1930,M,M,3.5,M,M,M,M,M,M,M,M,M,M,Skamania
1931,M,M,M,M,M,M,0,0.24,4.63,14.49,18.8,19.4,M,Skamania
1932,15.6,18.44,25.19,11.77,2.76,0.65,3.95,1.95,1.16,10.35,26.85,22.99,141.66,Skamania
1933,24.48,14.22,20.99,2.11,11.06,6.14,0.27,2.36,11.01,16.06,6.09,57.04,171.83,Skamania
1934,29.27,4.84,15.89,3.6,5.02,0.44,1.4,0.53,4.4,21.09,29.48,21.17,137.13,Skamania
1935,16.57,7.82,14.09,4.94,0.87,2.32,0.94,0.71,2.68,5.84,8.79,15.39,80.96,Skamania
1936,27.48,15.47,12.41,1.23,8.75,M,M,0.59,3.88,1.57,1.52,24.78,M,Skamania
1937,5.96,17.25,10.29,17.58,4.21,12.45,0.13,3.84,2.5,8.62,33.27,M,M,Skamania
1938,M,M,M,M,2.57,M,M,M,M,M,M,M,M,Skamania
1939,M,M,M,M,M,M,M,1.91,M,M,6.27,26.92,M,Skamania
1940,6.81,31.11,M,M,5.51,M,M,M,M,12.3,M,12.13,M,Skamania
1941,15.02,4.68,4.27,3.51,10.23,3.51,0,4.53,10.6,9.56,12.8,23.62,102.33,Skamania
1942,7.54,12.04,7.25,5.95,6.55,7.76,3.16,1.16,0.06,8.69,31.34,21.93,113.43,Skamania
1943,6,12.63,17.32,9.91,3.08,3.92,0.91,3.19,0.77,13.4,6.48,9.83,87.44,Skamania
1944,12.21,10.76,7.34,8.98,3.05,3.17,0.61,0.09,5.65,4.04,18.24,5.81,79.95,Skamania
1945,18.71,16.26,19.44,9.77,7.8,0.47,1.22,0.71,9.15,5.88,27.25,22.65,139.31,Skamania
1946,21.31,20.16,14.49,9.7,2,7.93,1.85,0.2,2.79,14.24,21.59,26.29,142.55,Skamania
1947,15.74,10.18,11.27,M,0.4,8.25,2.9,0.64,5.36,24.37,13.76,15.21,M,Skamania
1948,M,18.24,9.55,M,9.42,2,1.72,1.95,6.02,6.96,23.26,21.46,M,Skamania
1949,4.78,M,7.2,5.28,5.01,2.85,2.22,0.65,5.93,8.88,21.89,20.95,M,Skamania
1950,M,30.35,23.72,12.25,3.26,1.59,2.37,2.63,3.33,20.6,22.42,22.41,M,Skamania
1951,25.66,19.5,12.46,3.01,4.09,1.04,T,0.87,6.47,23.26,16.54,19.48,132.38,Skamania
1952,13.9,10.72,12.59,5.19,3.16,3.58,0,1.36,1.12,2.12,4.5,20.03,78.27,Skamania
1953,46.14,12.3,13.16,6.44,M,M,0.24,3.78,1.43,6.79,17.4,22.47,M,Skamania
1954,30.69,18.79,7.65,1.78,3.97,7.27,2.28,1.19,2.22,9.56,18.06,19.45,122.91,Skamania
1955,11.95,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1956,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1957,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1958,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1959,M,9.68,10.84,9.79,3.31,7.04,1.18,0.46,12.34,12.34,13.51,12.92,M,Skamania
1960,10.16,15.4,15.79,11.23,11.15,1.94,0,5.04,2.96,9.82,25.46,9.48,118.43,Skamania
1961,21.69,30.78,18.46,8.51,5.28,1.13,0.24,1.75,2.39,13.56,12.25,19.63,135.67,Skamania
1962,8.51,7.91,13.26,11.6,4.85,2.06,0.69,4.22,6.14,10.08,29.12,12.53,110.97,Skamania
1963,4.31,14.58,12.91,10.16,6.44,2.95,2.85,2.32,2.64,11.35,21.78,11.7,103.99,Skamania
1964,32.08,6.27,15.29,4.66,2.47,3.12,3.17,3.77,3.51,5.55,19.6,30.11,129.6,Skamania
1965,24.97,10.11,1.41,7.44,4.29,0.43,0.28,2.75,1.11,5.45,14.41,17.77,90.42,Skamania
1966,22.65,8.82,18.04,3.66,2.24,4.35,2.02,1.26,2.44,9.32,13.98,25.54,114.32,Skamania
1967,27.94,8.54,14.39,7.44,2.27,1.59,0,0,1.36,19.2,10.35,17.58,110.66,Skamania
1968,16.21,23.7,12.31,5.17,3.21,8.39,1.39,9.4,5.05,13.86,17.45,21.02,137.16,Skamania
1969,21.69,10.08,4.92,5.97,5.96,2.93,0.37,0.62,9.25,10.62,7.63,19.13,99.17,Skamania
1970,30.25,11.94,8.77,10.85,2.7,1.38,0.86,0.05,4.37,8.17,18.59,25.48,123.41,Skamania
1971,24,12.34,19.99,6.43,3.67,6.24,1.36,2.54,6.44,12.02,12.93,22.3,130.26,Skamania
1972,29.35,23.72,18.49,10.64,2.86,2.27,1.77,0.74,10.74,1.47,13.25,26.33,141.63,Skamania
1973,12.97,5.21,8.44,4.05,6.25,5.52,T,0.71,7.97,8.2,32.12,31.17,122.61,Skamania
1974,28.66,18.63,17,10.7,7.51,4.13,5.89,0.11,0.72,2.13,20.51,24.02,140.01,Skamania
1975,24.73,14.95,11.59,5.68,4.06,3.76,0.53,6.09,0.03,18.29,16.94,29.27,135.92,Skamania
1976,21.43,18.76,10.82,5.04,4.17,2.44,2.33,4.26,1.67,4.3,4.85,5.94,86.01,Skamania
1977,2.89,9.46,14.68,2.55,8.86,3.5,0.45,6.45,8.96,8.49,25.74,30.61,122.64,Skamania
1978,12.14,10.31,6.26,11.8,9.92,4,1.67,4.4,5.3,2,9.6,10.92,88.32,Skamania
1979,3.33,25.11,8.94,7.87,5.36,0.97,2.69,2.38,5.6,10.76,6.55,23.5,103.06,Skamania
1980,16.68,12.72,8.9,8.01,3.15,2.43,0.85,1.41,3.83,2.6,21.88,27.13,109.59,Skamania
1981,3.36,18.68,7.44,10.58,4.59,10.64,0.96,0.54,5.57,11.81,13.64,23.08,110.89,Skamania
1982,21.93,22.87,11.78,11.04,1.61,1.52,0.74,1.39,5.93,11.25,15.59,22.01,127.66,Skamania
1983,20.97,20.75,15.95,5.06,3.7,6.91,6.79,2.29,4.7,4.27,32.52,14.32,138.23,Skamania
1984,12.95,11.87,14.45,10.7,11.35,5.74,0,0.03,5.21,10.35,25.66,13.27,121.58,Skamania
1985,0.55,10.35,11.25,6.37,2.19,7.04,0.63,4.04,6.7,12.56,12.65,4.91,79.24,Skamania
1986,20.71,16.08,8.57,7.75,4.62,1.24,1.99,0.08,7.6,7.06,21.45,10.36,107.51,Skamania
1987,16.73,11.9,17.88,4.89,7.31,1.42,1.81,0.32,1.25,0.23,8.93,18.52,91.19,Skamania
1988,14.4,7.78,13.97,10.08,7.86,2.95,2.3,0.92,2.92,3.08,29.71,11.65,107.62,Skamania
1989,14.43,7.93,17.14,6.65,5.09,1.97,1.45,3.16,0.43,7.01,12.66,9.86,87.78,Skamania
1990,29.9,20.4,8.4,6.95,4.2,5.55,0.5,2.43,1.54,16.46,21.49,11.72,129.54,Skamania
1991,13.32,13.76,12.64,17.59,5.62,4.64,0.15,2.84,0.41,4.39,20.33,12.4,108.09,Skamania
1992,17.89,11.09,1.82,10.75,0.38,1.37,1.24,0.99,6.05,5.94,14.78,14.25,86.55,Skamania
1993,9.97,2.31,14.93,18.52,7.16,4.37,3.45,0.25,0.03,2.58,5.01,18.15,86.73,Skamania
1994,16.03,15.43,10.54,9.13,3.71,3.82,0.25,0.32,5.26,14.25,19.87,26.72,125.33,Skamania
1995,17.6,M,12.26,9.72,M,3.3,M,2.46,M,10.8,31.06,19.9,M,Skamania
1996,21.84,26.19,5.53,19.32,7.84,2.67,1.64,1.03,5.26,14.34,19.38,35.25,160.29,Skamania
1997,18.3,9.78,24.11,11.46,4.55,4.71,2.07,2.36,11.45,21.25,16.16,11.89,138.09,Skamania
1998,23.66,13.99,11.41,3.22,7.25,3.53,0.32,0.02,2.31,8.75,30.12,31.79,136.37,Skamania
1999,23.27,30.95,11.48,2.74,7.77,2.85,0.99,1.67,0.3,8.09,27.25,23.71,M,Skamania
2000,17.96,15.33,7.57,5.89,7.06,6.38,0.17,0.62,3.88,7.73,7.26,8.23,M,Skamania
2001,5.84,5.66,9.6,9.14,5.77,5.86,0.92,2.92,1.38,9.29,21.97,24.52,102.87,Skamania
2002,24.75,10.68,14.17,9.07,4.03,4.55,0.26,T,1.46,1.1,10.87,21.23,M,Skamania
2003,18.76,M,20.69,10.8,3.47,1.02,0.2,0.01,2.62,M,14.79,17.62,M,Skamania
2004,M,10.84,7.51,3.93,5.85,4.51,0.21,11.28,7.21,13.24,7,15.08,M,Skamania
2005,10.86,2.66,15.14,11.3,7.6,3.04,2.69,0.42,0.96,13.09,14.41,15.79,97.96,Skamania
2006,38.3,11.02,9.94,6.63,M,3.86,0.8,0.02,1.91,3.74,43.06,19.73,M,Skamania
2007,M,14.97,13.34,5.57,3.3,3.08,1.98,1.47,2.73,13.07,12.73,M,M,Skamania
2008,M,10.44,14.33,8.36,3.65,3.95,0.83,4.37,0.65,3.9,16.34,M,M,Skamania
2009,M,4.14,12.09,8.27,8.14,1.5,0.2,M,4.14,9.52,14.56,10.2,M,Skamania
2010,16.36,9.34,13.36,9.78,10.34,8.95,0.56,0.09,8.51,11.97,18.18,21.25,128.69,Skamania
2011,17.55,10.55,24.56,M,6.42,1.34,1.32,0.29,4.49,8.76,19.77,10.91,M,Skamania
2012,M,11.88,25.18,M,M,M,M,M,M,19.37,M,22.15,M,Skamania
2013,M,5.36,M,M,8,2.24,M,1.82,16.26,2.98,12.11,8.48,M,Skamania
2014,8.82,M,21.66,13.3,M,M,1.65,0.78,2.04,19.52,18.04,17.19,M,Skamania
2015,11.19,10.96,11.51,4.73,1.12,0.52,0.33,2.89,1.66,10.66,21.29,33.78,110.64,Skamania
2016,12.02,14.74,16.59,3.22,2.85,4.23,0.97,0.33,3.88,28.05,20.95,11.35,119.18,Skamania
2017,9.24,19.92,27.2,12.54,5.8,5.4,0,0.19,4.12,8.2,21.58,15.2,129.39,Skamania
2018,22.49,9.1,8.45,13.76,0.66,2.01,0,0.6,4.03,9.24,11.29,19.03,100.66,Skamania
2019,9.83,11.54,3.27,10.57,2.08,2.51,1.35,1.18,10.41,9.71,2.85,16.32,81.62,Skamania
2020,34.03,11.05,8.61,4.33,6.02,6.5,0.33,0.44,6.55,9.61,19.09,14.83,121.39,Skamania
2021,20.25,13,6.56,1.68,2.73,3.03,0,0.17,7.54,12.57,22.33,19.97,109.83,Skamania
2022,18.76,7.72,12.18,12.52,12.38,6.41,0.22,0,0.47,M,M,M,M,Skamania
