Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1894,M,M,M,M,M,M,M,M,3.65,4.02,5.45,4.05,M,Snohomish
1895,4.48,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1897,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1898,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1900,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1901,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1902,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1903,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1904,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1905,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1906,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1909,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1910,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1911,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1912,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1913,M,M,M,M,M,M,M,M,M,M,M,M,M,Snohomish
1914,M,M,M,M,M,M,M,M,M,M,M,1.32,M,Snohomish
1915,5.64,0.82,2.12,M,2.02,0.72,1.74,T,M,2.9,4.83,5.45,M,Snohomish
1916,M,M,5.58,1.17,M,2.34,3.12,0.24,2.02,1.44,3.44,5.82,M,Snohomish
1917,5.51,2.13,5.25,5.76,1.36,5.2,0.36,0.11,1.35,0.97,2.52,8.29,38.81,Snohomish
