Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1899,M,M,M,1.31,M,1.89,0.87,2.24,1.99,2.04,5.22,2.39,M,Setevens
1900,2.34,1.56,1.6,1.11,1.72,1.02,1.32,1.57,2.48,3.88,2.54,3.79,24.93,Setevens
1901,1.99,1.52,0.65,M,1.75,2.88,2.15,M,M,1,1.72,1.09,M,Setevens
1902,0.45,M,0.36,M,M,M,M,M,M,M,M,M,M,Setevens
1903,M,M,M,M,1.71,2.06,M,0.84,3.35,1.24,1.54,1.02,M,Setevens
1904,2.12,M,M,1.71,0.52,2.78,0.82,0.65,0.11,1.4,1.72,2.18,M,Setevens
1905,1.09,0.28,2.53,1.06,2.58,2.55,1,0.41,1.53,3.1,2.02,1.33,19.48,Setevens
1906,M,2.56,1.17,0.45,2.16,2.34,0.02,0.6,1.22,0.68,M,M,M,Setevens
1907,2.95,1.32,1.12,0.81,1.98,1.69,1.61,3.68,2.02,0.73,1.79,2.51,22.21,Setevens
1908,2.07,1.98,0.95,1.62,3.1,1.46,1.6,0.99,0.08,2,1.07,1.97,18.89,Setevens
1909,2.04,M,M,0.35,2.47,1.45,3.08,T,M,2.06,2.91,M,M,Setevens
1910,0.98,1.05,1.23,0.4,1.12,0.11,0.01,1.36,M,1.46,3.3,2.98,M,Setevens
1911,1.77,0.81,0.98,0.75,2.41,2.1,0.19,0.93,1.47,0.4,2.46,2.99,17.26,Setevens
1912,2.56,1.33,0.44,1.73,1.4,1.19,1.48,2.22,1.65,1.8,3.13,1.67,20.6,Setevens
1913,2.51,0.19,0.92,0.64,1.79,4.3,1.67,0.57,1.05,1.36,2.84,0.76,18.6,Setevens
1914,3.03,1.04,0.98,1.89,1.57,1.53,M,M,M,M,M,M,M,Setevens
1915,M,M,M,M,M,M,M,M,M,M,M,M,M,Setevens
1916,M,M,M,M,M,M,M,M,M,M,M,M,M,Setevens
1917,M,M,M,M,M,M,M,M,M,M,M,M,M,Setevens
1918,M,M,M,M,M,M,M,M,M,M,M,M,M,Setevens
1919,M,M,M,M,M,M,M,M,M,M,M,M,M,Setevens
1920,1.52,0.49,0.6,2.3,1.2,0.93,1.25,0.59,1.85,0.97,1.77,1.4,14.87,Setevens
1921,2.91,1.66,1.5,1.38,0.27,0.95,0.19,0.08,0.65,1.36,2.66,1.78,15.39,Setevens
1922,1.76,1.39,1.89,2.41,0.26,0.06,0.02,M,M,M,M,M,M,Setevens
1923,M,M,M,M,M,M,M,M,M,M,M,M,M,Setevens
1924,M,M,M,M,M,M,M,M,M,M,M,M,M,Setevens
1925,M,M,M,M,M,M,M,M,M,M,M,M,M,Setevens
1926,M,M,M,M,M,M,M,M,M,M,M,M,M,Setevens
1927,M,M,M,M,M,M,M,M,M,1.94,3.06,2.88,M,Setevens
1928,1.58,0.59,1.36,0.82,1.17,2.52,1.14,0.51,0,0.66,0.83,1.57,12.75,Setevens
1929,0.65,0.32,1.52,1.75,0.43,2.02,0,0.19,0.1,0.53,0,2.03,9.54,Setevens
1930,1.01,1.72,0.53,1.62,1.58,1.25,0.16,0.2,0.85,1.72,1.52,0.53,12.69,Setevens
1931,2.4,0.75,1.6,0.72,0.31,2.4,0.48,0,1.66,1.84,2.6,3.79,18.55,Setevens
1932,1.57,1.05,2.53,2.78,2.17,0.48,0.52,1.01,0.41,1.7,3.66,2.66,20.54,Setevens
1933,2.3,0.96,2.02,0.23,2.29,0.51,0.35,1.53,2.45,2.07,1.35,4.13,20.19,Setevens
1934,M,0.41,1.83,1.82,0.6,0.32,0.32,0.19,0.61,2.99,2.44,2.73,M,Setevens
1935,2.75,0.65,0.78,0.35,0.36,1.31,1.63,0.94,0.1,1.68,0.95,2.16,13.66,Setevens
1936,2.49,1.11,0.43,1.86,0.65,1.93,0.41,0.22,0.95,0,0.24,1.29,11.58,Setevens
1937,1.82,1.98,1.41,2.13,0.16,3.12,0.75,0.19,1.44,1.45,4.31,1.48,20.24,Setevens
1938,2,2.15,1.76,0.78,1.08,0.44,0.31,0.14,0.79,2.92,1.12,2.58,16.07,Setevens
1939,2.3,1.08,0.67,0.28,0.78,2.72,0.15,0.08,0.54,1.4,0.89,3.2,14.09,Setevens
1940,1.5,3.11,2.86,1.64,0.6,1,0.64,0.08,1.92,4.35,1.66,2.8,22.16,Setevens
1941,2.13,1.82,1.02,0.45,4.67,2.95,0.86,2.89,3.98,1.45,2.81,3.16,28.19,Setevens
1942,1.02,1.14,0.16,0.93,4.92,3.12,1.73,0.13,0.35,1.48,1.91,1.75,18.64,Setevens
1943,0.78,1.02,1.37,2.11,0.94,2.02,0.83,0.82,0.19,3.36,1.08,1.21,15.73,Setevens
1944,1.67,1.3,0.35,1.24,1.7,3.84,0.55,0.23,2.13,0.7,2.64,1.55,17.9,Setevens
1945,2.91,M,M,M,M,1.77,0.87,0.23,1.76,2.15,2.6,2.3,M,Setevens
1946,1.85,1.84,1.06,1.22,1.71,2.59,0.18,0.81,1.16,1.61,2.94,M,M,Setevens
1947,M,M,M,M,M,M,M,M,M,M,M,M,M,Setevens
1948,M,M,M,M,M,4.87,1.98,1.92,0.67,M,2.57,2.23,M,Setevens
1949,0.57,2.14,1.11,0.76,1.02,1.72,1.07,0.06,0.28,2.49,1.71,1.6,14.53,Setevens
1950,1.72,2.2,2.53,0.91,0.41,1.89,0.95,0.33,0.18,5.76,2.65,2.91,22.44,Setevens
1951,2.5,2.31,1.62,0.43,0.7,0.88,0.49,1.25,1.54,2.99,1.58,3.19,19.48,Setevens
1952,2.62,0.98,1.19,1.44,0.81,3.22,T,0.73,0.48,0.18,0.56,2.18,14.39,Setevens
1953,4.32,1.12,0.86,2.46,2.32,3.92,T,1.81,0.28,0.62,1.48,2.55,21.74,Setevens
1954,3.09,1.37,1.15,0.65,1.99,1.65,1.47,3.41,1.55,0.34,2.2,1.68,20.55,Setevens
1955,1.62,1.19,1.74,2.87,1.78,2.72,3.48,0.04,1.03,2.14,1.81,3.43,23.85,Setevens
1956,3.62,1.41,1.15,M,M,1.92,0.99,0.87,0.33,1.37,0.87,1,M,Setevens
1957,1.66,1.79,1.99,0.65,3.36,2.04,1.03,0.88,0.47,M,M,M,M,Setevens
1958,M,M,M,M,0.71,4.25,0.29,0.81,3.09,1.65,2.52,M,M,Setevens
1959,2.43,0.98,1.25,0.51,M,1.44,0.21,1.27,3.74,1.96,3.1,M,M,Setevens
