"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1941","M","M","M","M","M","0.93","0.33","2.49","4.26","2.74","5.16","8.25","M"
"1942","4.09","3.38","2.63","1.16","1.38","2.59","1.53","0.11","0.10","3.78","11.33","5.31","37.39"
"1943","2.65","3.41","6.09","3.08","1.47","1.60","0.53","1.27","0.39","4.59","2.04","3.62","30.74"
"1944","4.13","2.82","1.90","3.25","1.33","0.46","T","0.50","2.37","2.87","4.81","2.06","26.50"
"1945","4.93","6.60","4.09","2.10","2.73","0.08","0.19","0.65","3.19","2.46","7.30","6.88","41.20"
"1946","6.30","6.12","4.11","2.73","0.54","4.09","1.06","0.12","2.26","4.92","5.88","5.91","44.04"
"1947","5.88","3.87","2.90","2.15","0.28","2.34","2.14","0.47","1.73","6.66","3.79","5.74","37.95"
"1948","5.87","7.64","4.69","4.78","5.83","1.35","1.10","2.27","3.92","4.35","10.19","12.11","64.10"
"1949","0.69","9.96","3.75","1.52","1.54","0.72","0.51","0.82","1.39","5.24","12.33","10.73","49.20"
"1950","9.31","9.66","10.13","3.10","0.79","0.86","1.35","1.47","2.19","9.20","9.49","9.16","66.71"
"1951","10.59","11.28","5.89","0.54","1.91","0.05","0.28","0.54","2.83","6.95","7.32","5.80","53.98"
"1952","5.65","3.96","3.13","2.25","0.85","1.22","0.10","0.74","0.43","1.55","1.39","8.65","29.92"
"1953","19.84","5.12","3.55","2.58","2.72","1.50","0.27","1.63","2.68","6.85","7.79","9.42","63.95"
"1954","11.96","8.40","3.13","4.07","1.63","3.36","0.82","1.74","1.89","3.38","7.87","6.99","55.24"
"1955","3.01","5.23","4.76","4.19","1.35","0.71","2.68","0.02","1.84","9.31","12.18","12.59","57.87"
"1956","10.75","3.93","8.27","0.37","0.30","2.57","0.38","0.88","2.30","9.52","2.81","9.36","51.44"
"1957","3.02","5.88","7.43","1.72","1.42","1.78","0.97","0.87","0.66","4.74","4.05","8.91","41.45"
"1958","7.87","6.40","2.29","4.39","1.47","1.65","T","0.62","1.52","5.41","12.35","8.43","52.40"
"1959","8.91","4.53","4.63","4.51","1.45","1.85","0.30","0.70","4.26","3.92","10.36","7.50","52.92"
"1960","6.35","5.93","6.12","4.53","3.50","0.59","T","1.16","1.21","5.84","11.33","3.89","50.45"
"1961","8.69","13.18","6.26","3.29","2.93","1.05","0.80","1.01","0.33","4.97","6.78","8.25","57.54"
"1962","3.22","3.72","3.82","4.50","1.81","0.89","0.14","3.17","2.45","6.00","15.51","5.81","51.04"
