"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1908","M","M","0.89","0.78","1.19","0.20","0.87","0.30","0.29","2.31","1.21","0.97","M"
"1909","2.77","1.73","0.45","0.61","1.52","0.36","1.84","0.04","0.71","1.49","4.36","2.22","18.10"
"1910","2.40","M","1.85","1.66","0.61","0.29","0.28","T","0.44","1.31","3.48","1.34","M"
"1911","1.13","1.25","0.83","0.20","3.25","0.68","T","0.09","1.25","0.10","1.80","1.30","11.88"
"1912","2.68","1.46","1.08","0.95","1.40","1.04","0.55","1.78","0.68","1.45","2.19","1.96","17.22"
"1913","4.39","M","1.48","0.58","0.79","1.89","T","0.32","1.03","1.90","2.27","1.20","M"
"1914","2.90","1.55","0.49","1.36","0.76","1.33","0.31","T","1.02","1.63","1.29","1.20","13.84"
"1915","1.00","1.25","1.21","1.87","2.06","0.71","0.41","0.08","1.17","1.14","4.16","1.87","16.93"
"1916","1.72","3.08","4.50","1.58","1.08","2.62","0.80","0.70","0.55","0.06","2.89","1.95","21.53"
"1917","1.50","1.21","0.93","3.16","2.32","0.96","T","T","0.73","T","M","M","M"
"1918","2.02","M","0.82","0.23","0.72","M","0.53","0.77","0.36","0.69","1.08","0.92","M"
"1919","1.98","2.75","1.42","1.43","0.56","0.12","0.03","0.19","0.64","1.18","2.60","1.62","14.52"
"1920","1.80","0.22","1.14","1.82","0.72","0.58","0.71","0.85","1.27","1.11","1.25","1.84","13.31"
"1921","2.64","1.31","2.32","0.76","0.22","0.66","0.10","0.40","1.00","M","2.68","M","M"
"1922","1.50","0.55","0.74","0.93","0.11","0.42","0.00","0.91","0.00","0.77","1.10","2.47","9.50"
"1923","2.64","0.70","0.00","1.11","1.13","3.28","0.53","0.10","0.25","1.10","1.83","1.86","14.53"
"1924","1.10","1.62","0.58","0.10","0.08","0.50","0.29","0.20","0.55","1.38","2.75","2.17","11.32"
"1925","2.08","1.69","0.71","0.84","2.96","0.16","0.30","0.21","0.24","0.47","1.22","1.90","12.78"
"1926","1.60","1.95","0.13","0.12","0.79","2.65","T","1.55","0.96","1.39","3.79","1.69","16.62"
"1927","2.20","2.79","2.36","0.62","1.32","1.09","0.14","0.37","5.15","2.14","4.62","1.10","23.90"
"1928","M","0.24","M","1.42","0.35","0.28","0.95","M","M","0.67","1.30","1.69","M"
"1929","1.38","0.35","0.41","M","0.44","M","0.10","0.10","M","1.25","0.05","3.58","M"
"1930","0.73","1.72","1.42","0.54","1.36","0.72","0.12","0.03","1.41","0.78","2.87","M","M"
"1931","M","1.06","2.73","0.78","0.17","1.32","0.14","T","0.55","0.80","2.86","3.35","M"
"1932","1.67","1.46","2.46","0.72","1.10","0.02","0.65","0.08","0.04","1.62","3.75","1.73","15.30"
"1933","2.59","1.51","1.16","0.38","1.17","1.08","0.36","0.21","0.67","3.30","0.78","4.38","17.59"
"1934","1.01","0.28","1.80","0.69","0.62","1.07","T","0.18","0.47","2.37","2.13","2.22","12.84"
"1935","1.15","0.86","1.88","1.70","0.04","0.73","0.21","0.32","0.11","0.50","0.87","2.25","10.62"
"1936","3.87","1.12","1.09","0.71","0.47","0.83","0.21","T","1.05","0.02","0.18","1.65","11.20"
"1937","1.88","1.46","1.86","2.01","0.23","2.29","0.64","0.28","0.27","0.76","2.46","3.33","17.47"
"1938","1.16","2.23","1.58","0.63","0.88","1.28","0.17","T","0.12","0.89","1.60","1.13","11.67"
"1939","1.07","2.16","1.87","0.57","0.33","0.51","0.20","T","0.10","0.73","0.24","2.64","10.42"
"1940","1.94","4.92","1.85","1.23","0.54","0.36","0.80","0.01","1.28","2.60","3.01","1.91","20.45"
"1941","2.39","1.24","0.77","1.14","2.53","3.14","0.29","1.18","1.16","0.56","1.64","1.76","17.80"
"1942","0.88","1.23","1.40","0.91","2.64","1.78","0.40","0.13","0.05","1.14","4.61","3.08","18.25"
"1943","1.44","1.27","0.85","1.63","0.66","1.27","0.35","0.35","0.28","2.05","0.75","0.61","11.51"
"1944","0.55","1.71","0.28","1.83","0.49","0.81","T","0.26","0.41","0.30","1.22","0.72","8.58"
"1945","1.78","1.39","1.98","0.69","0.92","0.74","T","0.40","3.27","0.68","2.51","2.14","16.50"
"1946","2.56","1.21","1.33","0.64","1.12","1.03","0.16","0.61","0.65","1.30","2.35","0.82","13.78"
"1947","1.02","0.33","0.83","1.77","0.11","1.15","0.14","0.21","2.40","3.16","1.79","1.62","14.53"
"1948","2.45","2.38","0.51","1.73","3.58","1.91","1.41","0.01","1.02","0.58","1.73","3.04","20.35"
"1949","0.33","1.56","0.84","0.17","1.01","0.16","T","0.03","0.92","1.01","1.49","1.47","8.99"
"1950","2.12","1.64","2.33","0.40","1.00","1.76","0.03","0.08","0.09","2.66","1.35","2.32","15.78"
"1951","1.86","1.16","0.84","0.50","0.65","2.24","0.15","0.09","0.16","3.07","1.62","3.90","16.24"
"1952","1.22","0.92","0.54","0.56","0.35","1.96","T","0.11","0.31","0.04","0.22","2.65","8.88"
"1953","5.19","0.82","1.13","0.92","0.96","0.63","0.00","1.29","0.09","0.55","1.79","2.03","15.40"
"1954","1.82","0.67","1.10","0.50","0.91","1.24","0.68","0.67","0.76","0.70","1.01","1.09","11.15"
"1955","0.95","0.51","0.46","1.39","0.60","0.27","0.47","T","1.01","2.63","2.03","2.55","12.87"
"1956","2.47","0.64","1.00","0.14","0.99","0.95","0.61","0.82","0.23","1.90","0.83","1.11","11.69"
"1957","0.99","0.74","1.76","0.56","1.64","0.84","0.08","0.45","0.39","1.78","M","1.28","M"
"1958","2.55","2.09","1.14","1.98","0.76","1.21","0.22","0.04","0.19","0.82","2.53","2.85","16.38"
"1959","3.30","1.23","0.60","0.42","1.12","0.81","0.02","1.89","1.92","1.18","1.07","0.67","14.23"
"1960","0.82","1.20","1.81","1.39","1.12","0.32","T","1.01","0.48","0.83","2.71","1.06","12.75"
"1961","1.12","3.20","1.71","0.74","1.00","0.72","0.10","0.47","0.23","0.71","1.58","1.85","13.43"
"1962","0.56","0.82","2.42","1.11","1.83","0.21","T","0.33","0.89","1.74","2.07","1.69","13.67"
"1963","0.54","2.54","1.15","1.26","0.45","0.18","0.43","0.60","0.35","0.62","1.86","2.31","12.29"
"1964","1.68","0.40","0.47","0.37","0.24","1.80","1.02","0.95","0.58","0.39","2.10","3.97","13.97"
"1965","2.08","0.68","0.06","1.57","0.78","0.96","0.62","0.50","0.21","0.10","1.51","0.85","9.92"
"1966","1.44","0.68","1.85","0.37","0.28","0.62","0.77","0.54","0.55","0.83","2.61","2.30","12.84"
"1967","2.57","0.61","1.03","1.54","1.20","1.21","T","0.02","0.25","0.87","1.32","1.86","12.48"
"1968","1.01","2.19","0.47","0.15","0.84","0.54","0.27","0.85","1.81","1.86","2.03","1.90","13.92"
"1969","3.00","0.70","0.97","2.21","0.96","0.57","0.06","0.00","0.53","0.61","0.45","2.25","12.31"
