Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1946,M,M,M,M,M,M,M,M,M,0.7,1.18,0.11,M,Yakima
1947,0.41,0.35,0.42,0.23,0.03,1.74,0.53,0.13,0.86,1.83,0.73,0.22,7.48,Yakima
1948,1.52,0.86,0.29,0.46,2.76,2.1,0.07,0.44,0.64,0.27,1.12,1.34,11.87,Yakima
1949,0.13,0.88,1.06,0.04,0.14,0.02,T,0.42,0.16,0.13,1.5,0.15,4.63,Yakima
1950,2.45,1.16,0.72,0.4,0.08,1.6,0.33,T,0.18,2.22,1.21,1.34,11.69,Yakima
1951,1.87,0.4,0.89,0.14,0.81,2.03,0.13,0.38,0.19,1.08,1.47,0.85,10.24,Yakima
1952,1.12,0.71,0.13,0.04,0.5,1.48,T,0.38,0.03,0.01,0.52,1.18,6.1,Yakima
1953,2.67,0.25,0.24,1.09,0.92,0.38,T,0.59,T,0.13,1.18,0.94,8.39,Yakima
1954,1.98,0.49,0.51,0.03,0.36,0.39,0.03,0.2,0.83,0.27,1.13,0.33,6.55,Yakima
1955,0.58,0.25,0.69,1.41,0.41,0.41,0.43,0,0.48,1.24,2.57,3.22,11.69,Yakima
1956,3.25,0.81,0.21,T,0.48,1.81,0.02,0.1,0.54,0.35,0.09,0.55,8.21,Yakima
1957,0.56,0.87,2.63,0.93,1.19,1.26,0.01,0.2,0.98,1.4,0.1,0.83,10.96,Yakima
1958,1.37,1.84,0.81,0.81,0.59,0.21,0.22,0.16,0.05,0.29,1.14,0.82,8.31,Yakima
1959,2.03,1.12,0.8,0.05,0.14,0.2,T,0.04,0.52,0.42,0.4,0.35,6.07,Yakima
1960,0.89,1.43,0.65,0.54,0.87,0.19,0.05,0.25,0.11,0.16,1.55,0.9,7.59,Yakima
1961,0.55,2.46,2.04,0.86,0.96,0.52,0.25,0.22,T,0.31,0.51,1.27,9.95,Yakima
1962,0.16,1.48,0.65,0.62,1.09,0.07,0.01,0.33,0.3,1.49,0.79,0.47,7.46,Yakima
1963,1.42,0.52,0.84,1.62,0.43,0.26,0.69,0.13,0.08,0.05,1.13,1,8.17,Yakima
1964,0.6,T,0.14,0.25,0.03,1.18,0.08,0.2,0.03,0.15,0.7,4.19,7.55,Yakima
1965,1.33,0.08,0.1,0.48,0.05,0.51,0.27,0.21,0.04,0.06,1.43,1.39,5.95,Yakima
1966,1.73,0.11,0.81,T,0.1,0.17,0.71,T,0.87,0.41,2.14,0.95,8,Yakima
1967,0.6,T,0.45,1.03,0.16,1.12,T,0.01,0.09,0.21,0.3,0.55,4.52,Yakima
