Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1930-1931,M,M,M,M,M,M,1.6,0.5,0.3,0,0,0,M,Adams
1931-1932,0,0,0,0,5.3,5.4,6.8,2.3,1.7,0,0,0,21.5,Adams
1932-1933,0,0,0,0,0,11.7,9.2,7.8,1.5,T,0,0,30.2,Adams
1933-1934,0,0,0,0,0.2,3.6,0.4,T,0,0,0,0,4.2,Adams
1934-1935,0,0,0,0,1.7,2.8,5.2,1.4,T,0,0,0,11.1,Adams
1935-1936,0,0,0,0,0.8,0.4,6.9,4,0.6,T,0,0,12.7,Adams
1936-1937,0,0,0,0,0,3.1,M,4.2,0,T,0,0,M,Adams
1937-1938,0,0,0,0,0,3.1,1.1,6.4,1.2,0,0,0,11.8,Adams
1938-1939,0,0,0,0,0.2,3.6,0.5,6.2,4.7,0,0,0,15.2,Adams
1939-1940,0,0,0,0.3,0,0.7,5.1,3.2,0,0,0,0,9.3,Adams
1940-1941,0,0,0,0,6.9,0.4,11.2,1.5,0,0,0,0,20,Adams
1941-1942,0,0,0,0,0,1.1,2.9,6.1,3,0,0,0,13.1,Adams
1942-1943,0,0,0,0,4.4,12.9,8.9,2.8,0.5,0,0,0,29.5,Adams
1943-1944,0,0,0,0,0,3,2.4,5.9,T,0,0,0,11.3,Adams
1944-1945,0,0,0,0,T,0.7,0.5,0.9,1,0,0,0,3.1,Adams
1945-1946,0,0,0,0,4.2,3.8,2.2,2,1,0,0,0,13.2,Adams
1946-1947,0,0,0,0,4,0.8,3,0.1,T,T,0,0,7.9,Adams
1947-1948,0,0,0,0,T,2.5,2.7,6,0,T,0,0,11.2,Adams
1948-1949,M,0,0,0,3.6,14.6,2.8,5.5,0.8,0,0,0,M,Adams
1949-1950,0,0,0,T,0,2.2,31.4,6,1.7,0.2,0,0,41.5,Adams
1950-1951,0,0,0,0,0.3,3.3,6.3,5.8,3.4,0,0,0,19.1,Adams
1951-1952,0,0,0,0,T,11,7.2,0.7,0,0,0,0,18.9,Adams
1952-1953,0,0,0,0,0,4.9,0.3,0.1,0,0,0,0,5.3,Adams
1953-1954,0,0,0,0,0,1,8.3,1.8,1.8,0,0,0,12.9,Adams
1954-1955,0,0,0,0,0,0,5.6,4.4,0,0,0,0,10,Adams
1955-1956,0,0,0,0,11.5,9.4,10.1,5.3,T,T,0,0,36.3,Adams
1956-1957,0,0,0,0,0.5,T,10,4.4,T,0,0,0,14.9,Adams
1957-1958,0,0,0,0,0,0,1,0,0,0,0,0,1,Adams
1958-1959,0,0,0,0,0,M,7,12,0,0,0,0,M,Adams
1959-1960,0,0,0,0,0.1,2.5,2.7,T,3,0,0,0,8.3,Adams
1960-1961,0,0,0,0,2,5,3,3,0,0,0,0,13,Adams
1961-1962,0,0,0,0,6,7.5,0.5,0.5,3,0,0,0,17.5,Adams
1962-1963,0,0,0,0,1,1,4,10,T,0,0,0,16,Adams
1963-1964,0,0,0,0,0,7,8,0,0,0,0,0,15,Adams
1964-1965,0,0,0,0,1,13,8,T,T,0,0,0,22,Adams
1965-1966,0,0,0,0,2,8,2,1,1,0,0,0,14,Adams
1966-1967,0,0,0,0,T,2.5,1,0.2,2.5,0,0,0,6.2,Adams
1967-1968,0,0,0,0,0,3,1,0,0,0,0,0,4,Adams
1968-1969,0,0,0,0,T,8,16,4,0,0,0,0,28,Adams
1969-1970,0,0,0,0,T,5,6,1,1,0,0,0,13,Adams
1970-1971,0,0,0,0,0.2,5.5,4,1,0.1,0,0,0,10.8,Adams
1971-1972,0,0,0,2,0.1,13.5,4,5,0,0,0,0,24.6,Adams
1972-1973,0,0,0,0,0,6,3,2,0,0,0,0,11,Adams
1973-1974,0,0,0,0,13,6.7,M,M,M,M,M,M,M,Adams
1974-1975,M,M,M,M,M,M,M,M,M,M,M,M,M,Adams
1975-1976,M,M,M,0,5,6,7.5,0.3,0,0.8,0,0,M,Adams
1976-1977,0,0,0,0,0,1,2.8,0,5,0,0,0,8.8,Adams
1977-1978,0,0,0,0,4.7,9.3,3,3.5,T,0,0,0,20.5,Adams
1978-1979,0,0,0,0,5.5,3.5,12.5,T,T,1,0,0,22.5,Adams
1979-1980,0,0,0,0,3.5,1,9,1.5,T,T,T,0,15,Adams
1980-1981,0,0,0,0,T,T,T,0.5,0,T,0,0,0.5,Adams
1981-1982,0,0,0,0,0,5.8,12,0,T,1.5,0,0,19.3,Adams
1982-1983,0,0,0,0,T,6.5,2,T,0,0,0,0,8.5,Adams
1983-1984,0,0,0,0,T,18.8,1.5,T,T,0,0,0,20.3,Adams
1984-1985,0,0,0,T,2,7.1,3.5,9.5,T,T,0,0,22.1,Adams
1985-1986,0,0,0,0,14.3,4,4,11,0,0,0,0,33.3,Adams
1986-1987,0,0,0,0,T,4.5,15,T,T,0,0,0,M,Adams
1987-1988,0,0,0,0,0.5,4.5,6.5,0,1.5,T,0,0,13,Adams
1988-1989,0,0,0,0,T,3,4,8,3,0,0,0,18,Adams
1989-1990,0,0,0,0,0,T,T,M,T,0,0,T,M,Adams
1990-1991,0,0,0,0,T,7,8,0,1,T,0,0,16,Adams
1991-1992,0,0,0,T,0,M,1,T,0,T,0,0,M,Adams
1992-1993,0,0,0,0,4.5,10,13.5,9,3,0,0,0,40,Adams
1993-1994,0,0,0,0,T,T,0,T,T,0,0,0,T,Adams
1994-1995,0,0,0,0,M,4,M,T,0,0,0,0,M,Adams
1995-1996,0,0,0,0,T,T,19,1.5,1,0,0,0,21.5,Adams
1996-1997,0,0,0,T,12,13,7,T,1,0,0,0,33,Adams
1997-1998,0,0,0,0,T,M,5,T,0,T,0,0,M,Adams
1998-1999,0,0,0,0,T,4,0.8,0.1,0,1.5,0,0,6.4,Adams
1999-2000,0,0,0,0,0,T,5,1,0,0,0,0,6,Adams
2000-2001,0,0,0,0,T,9,4,4.5,0,0,0,0,M,Adams
2001-2002,0,0,0,0,5,7.4,0,T,2.5,0,0,0,14.9,Adams
2002-2003,0,0,0,0,0,1.6,2.7,T,0,0,0,0,4.3,Adams
2003-2004,0,0,0,0,1.5,4.6,14.7,5.9,0.6,0,0,0,27.3,Adams
2004-2005,0,0,0,0,T,1.5,10.1,T,0,0,0,0,11.6,Adams
2005-2006,0,0,0,0,T,2,1,T,T,0,0,0,3,Adams
2006-2007,0,0,0,0,1.9,1.7,3.8,1.7,T,0,0,0,9.1,Adams
2007-2008,0,0,0,0,2,5.2,22,4.5,2,0,0,0,35.7,Adams
2008-2009,0,0,0,0,0,11.3,5.7,T,0.4,1.5,0,0,18.9,Adams
2009-2010,0,0,0,0,T,3.7,1,0,0,0,0,0,4.7,Adams
2010-2011,0,0,0,0,9.7,3.3,3.1,M,M,M,M,M,M,Adams
2011-2012,M,M,M,M,0.4,0.1,11,0.1,2,M,M,M,M,Adams
2012-2013,M,M,M,M,1,10.5,5.9,0.8,T,M,M,M,M,Adams
2013-2014,0,M,M,0,0.2,2.2,1.7,9.5,M,M,M,M,M,Adams
2014-2015,0,M,0,0,M,0.2,M,M,0,M,M,M,M,Adams
