Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1975-1976,M,M,M,M,M,M,M,M,M,M,M,M,M,Asotin
1976-1977,0,0,0,0,0,0,2.5,T,M,0,0,0,M,Asotin
1977-1978,0,0,0,0,10.1,M,2.5,2.4,0,0,0,0,M,Asotin
1978-1979,0,0,0,0,M,11.5,11.5,3,2.5,1,0,0,M,Asotin
1979-1980,0,0,0,0,4.5,0,12,5.5,M,0,0,0,M,Asotin
1980-1981,0,0,0,0,1.5,M,0,M,0,0,0,0,M,Asotin
1981-1982,0,0,0,0,0,0,10,8,0,5,0,0,23,Asotin
1982-1983,0,0,0,0,0,M,M,0,0,0,0,0,M,Asotin
1983-1984,0,0,0,0,0,5,0,2,0,1.5,0,0,8.5,Asotin
1984-1985,0,0,0,0,5,M,0,M,3,0,0,0,M,Asotin
1985-1986,0,0,0,5,M,M,0,M,0,0,M,0,M,Asotin
1986-1987,0,0,0,0,M,0,M,3,0,0,0,0,M,Asotin
1987-1988,0,0,0,0,0,2,7.5,T,M,0,0,0,M,Asotin
1988-1989,0,0,0,0,12,M,15.6,M,5,0,0,0,M,Asotin
1989-1990,0,0,0,0,0,0,0,5,4,0,0,0,9,Asotin
1990-1991,0,0,0,0,0,7,0,0,4.5,0,0,0,11.5,Asotin
1991-1992,0,0,0,3,0,0,0,4,0,0,0,0,7,Asotin
1992-1993,0,0,0,0,0,M,11,M,0,0,0,0,M,Asotin
1993-1994,0,0,0,0,4.5,0,0,13,0,0,0,0,17.5,Asotin
1994-1995,0,0,0,0,0,5.5,0,M,5,0,0,0,M,Asotin
1995-1996,0,0,0,0,0,0,14.8,9.5,0,M,0,0,M,Asotin
1996-1997,0,0,0,0,M,M,0,0,11,0,0,0,M,Asotin
1997-1998,0,0,0,0,0,1.5,8,1.5,0,0,0,0,11,Asotin
1998-1999,0,0,0,0,0,0,2.5,10,0,0,0,0,12.5,Asotin
1999-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,Asotin
2000-2001,0,0,0,0,M,M,5,M,0,4.5,0,0,M,Asotin
2001-2002,0,0,0,0,M,M,M,M,4.5,0,0,0,M,Asotin
2002-2003,0,0,0,0,0,M,1.6,0,0,0,0,0,M,Asotin
2003-2004,0,0,0,0,0,M,M,0,0,0,0,0,M,Asotin
2004-2005,0,0,0,0,1.5,6.5,M,1,0,0,0,0,M,Asotin
2005-2006,0,0,0,0,0,1.5,0,0,0,0,0,0,M,Asotin
2006-2007,0,0,0,0,M,M,M,4,0,0,0,0,M,Asotin
2007-2008,0,0,0,0,0,0,M,3.5,0,M,0,0,M,Asotin
2008-2009,M,0,0,0,0,0,0,0,M,M,0,0,M,Asotin
2009-2010,0,0,0,0,3,2,M,0,0,0,0,0,M,Asotin
2010-2011,0,0,0,0,10,6,M,M,M,T,M,M,M,Asotin
2011-2012,M,M,M,M,M,T,17.8,M,M,1,M,M,M,Asotin
2012-2013,M,M,M,M,M,5.3,3.5,9,M,M,M,M,M,Asotin
2013-2014,0,M,0,0,0,3.5,M,M,M,0,0,M,M,Asotin
2014-2015,0,M,0,M,M,M,M,M,M,M,M,M,M,Asotin
2015-2016,M,M,M,0,M,M,0.5,M,M,M,M,0,M,Asotin
2016-2017,0,M,0,M,M,M,M,M,M,M,M,0,M,Asotin
2017-2018,M,M,M,M,M,M,M,M,M,M,M,M,M,Asotin
2018-2019,0,M,M,M,M,M,M,M,M,0,0,M,M,Asotin
2019-2020,M,M,M,M,M,M,M,M,M,M,M,M,M,Asotin
2020-2021,M,M,0,M,M,M,M,M,M,M,M,M,M,Asotin
2021-2022,0,M,0,0,1,11.5,6.1,M,2,11.5,0,0,M,Asotin
