Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1890-1891,M,M,M,M,M,M,M,M,M,M,M,M,M,Chelan
1891-1892,M,M,M,M,M,14.5,11.3,M,M,M,M,M,M,Chelan
1892-1893,M,M,M,M,M,M,M,15.5,10.7,5,M,M,M,Chelan
1893-1894,M,M,M,M,20.5,6.5,5.3,8,7,M,M,M,M,Chelan
1894-1895,M,M,M,M,1,16,14.5,T,1.5,M,M,M,M,Chelan
1895-1896,M,M,M,M,4,15.5,20,T,7,M,M,M,M,Chelan
1896-1897,M,M,M,M,12,7.5,8,19,3,M,M,M,M,Chelan
1897-1898,M,M,M,M,15.5,30.5,3,10,T,M,M,M,M,Chelan
1898-1899,M,M,M,M,4,13.5,26.5,8,M,M,M,M,M,Chelan
1899-1900,M,M,M,M,0,12,3.5,2.5,0,0,M,0,M,Chelan
1900-1901,M,M,M,0,0.6,T,12.5,11,M,M,0,0,M,Chelan
1901-1902,0,0,0,M,2,1.5,2,19,0,0,0,0,M,Chelan
1902-1903,0,0,0,0,5,36,12.5,3.5,1,0,M,M,M,Chelan
1903-1904,M,M,M,M,19.5,3.5,15.5,32,18,M,M,M,M,Chelan
1904-1905,M,0,M,M,T,20,16.4,0.6,1.5,0,M,M,M,Chelan
1905-1906,M,M,M,M,3,12.5,M,3,M,M,M,M,M,Chelan
1906-1907,M,M,M,M,M,42.5,13.5,9.5,4.5,T,0,M,M,Chelan
1907-1908,M,M,M,M,2,12,14,3.5,1,M,M,M,M,Chelan
1908-1909,M,M,0,0,T,M,20.5,11.5,M,0,0,M,M,Chelan
1909-1910,0,M,M,0,5,16,8,8.5,0,0,0,0,M,Chelan
1910-1911,0,0,M,M,14.5,6,5.5,9.5,M,T,M,M,M,Chelan
1911-1912,M,M,M,M,M,19.5,21.5,3.5,T,M,M,M,M,Chelan
1912-1913,M,M,M,T,0.5,10,17,4,0.5,T,M,M,M,Chelan
1913-1914,M,M,M,0,6,15.5,31.5,3,T,M,M,M,M,Chelan
1914-1915,M,0,M,M,2.5,4.5,18,10.5,M,M,M,M,M,Chelan
1915-1916,M,0,M,0,27,21.5,16,41.5,13,T,M,0,M,Chelan
1916-1917,M,0,0,0,5,12,4.5,11,7.5,M,M,0,M,Chelan
1917-1918,0,M,M,T,6.5,18.5,4.5,8,M,M,M,M,M,Chelan
1918-1919,M,M,M,0,1,3,M,16,M,0,M,M,M,Chelan
1919-1920,M,M,0,0,1,3,4.8,0,M,M,M,M,M,Chelan
1920-1921,M,0,M,0,0.5,9,M,M,T,M,M,M,M,Chelan
1921-1922,M,M,0,0,13,2.5,M,M,0,M,M,0,M,Chelan
1922-1923,0,0,0,0,M,M,M,5,0,0,M,0,M,Chelan
1923-1924,0,M,M,M,T,16,M,1,M,0,M,0,M,Chelan
1924-1925,M,M,M,M,2,11,17.5,0,0,0,0,M,M,Chelan
1925-1926,M,M,M,M,M,0.5,M,M,M,T,M,M,M,Chelan
1926-1927,M,M,M,M,3,10.8,M,M,T,M,M,M,M,Chelan
1927-1928,M,M,M,M,M,M,M,T,M,M,M,M,M,Chelan
1928-1929,M,M,M,M,M,17,M,M,M,M,M,M,M,Chelan
1929-1930,0,M,M,M,M,M,M,M,M,M,M,M,M,Chelan
1930-1931,M,M,M,0.5,3.8,M,25.5,M,M,M,M,M,M,Chelan
1931-1932,M,M,M,M,5.8,37.8,8.3,0.5,2.5,M,M,M,M,Chelan
1932-1933,M,M,M,M,T,15.7,M,4.2,3.2,M,0,0,M,Chelan
1933-1934,0,0,T,M,M,M,M,M,T,0,0,M,M,Chelan
1934-1935,M,M,0,0,1,6.5,M,5,M,M,M,M,M,Chelan
1935-1936,M,M,M,M,M,M,M,M,1.3,M,M,M,M,Chelan
1936-1937,M,M,M,M,M,M,M,16.8,6,0.2,M,M,M,Chelan
1937-1938,M,M,M,M,M,M,8,M,M,M,0,M,M,Chelan
1938-1939,M,M,M,M,0.3,M,3.3,M,5.5,M,M,M,M,Chelan
1939-1940,M,M,M,M,M,6,M,M,M,M,M,M,M,Chelan
1940-1941,M,M,M,0,M,M,M,M,M,M,M,M,M,Chelan
1941-1942,M,M,M,T,M,15.5,10,7,T,M,M,M,M,Chelan
