Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1897-1898,M,M,M,M,M,M,M,M,M,M,0,0,M,Clark
1898-1899,0,0,0,0,0,T,12.4,7,0,0,0,0,19.4,Clark
1899-1900,0,0,0,0,0,0,0,1.8,0,0,0,0,1.8,Clark
1900-1901,0,0,0,0,0.7,0,15.2,0,0,0,0,0,15.9,Clark
1901-1902,0,0,0,0,0,0.2,8.5,T,0,0,0,0,8.7,Clark
1902-1903,0,0,0,0,0,0.5,T,0.3,2,0,0,0,2.8,Clark
1903-1904,0,0,0,0,0,0,1.5,2,T,0,0,0,3.5,Clark
1904-1905,0,0,0,0,0,0,4,0.3,0,0,0,0,4.3,Clark
1905-1906,0,0,0,0,0,0,T,0,2.5,0,0,0,2.5,Clark
1906-1907,0,0,0,0,0,0,3.9,4.8,0,0,0,0,8.7,Clark
1907-1908,0,0,0,0,0,T,T,2.2,0,0,0,0,2.2,Clark
1908-1909,0,0,0,0,0,0.7,18,0,0,0,0,0,18.7,Clark
1909-1910,0,0,0,0,0,7.5,7,5,0,0,0,0,19.5,Clark
1910-1911,0,0,0,0,0,0,3.1,T,0,0,0,0,3.1,Clark
1911-1912,0,0,0,0,0.7,1,10,0,0,0,0,0,11.7,Clark
1912-1913,0,0,0,0,0,T,13.7,0,1,0,0,0,14.7,Clark
1913-1914,0,0,0,0,0,T,1.2,T,0,0,0,0,1.2,Clark
1914-1915,0,0,0,0,0,T,0,0,0,0,0,0,T,Clark
1915-1916,0,0,0,0,0,0.7,21.4,15.5,1.2,0,0,0,38.8,Clark
1916-1917,0,0,0,0,0,1.3,2,10.1,0,0,0,0,13.4,Clark
1917-1918,0,0,0,0,0,0,0,10.5,0,0,0,0,10.5,Clark
1918-1919,0,0,0,0,0,0,0,0,0,0,0,0,0,Clark
1919-1920,0,0,0,0,0,18.3,T,0,0.5,0,0,0,18.8,Clark
1920-1921,0,0,0,0,0,0,2.4,3.5,0,0,0,0,5.9,Clark
1921-1922,0,0,0,0,T,3.3,3,0.5,0,0,0,0,6.8,Clark
1922-1923,0,0,0,0,0,10.7,M,11.7,0,0,0,0,M,Clark
1923-1924,0,0,0,0,0,T,6,0,1.3,0,0,0,7.3,Clark
1924-1925,0,0,0,0,0,4.2,0,0,0,0,0,0,4.2,Clark
1925-1926,0,0,0,0,0,0,0,0,0,0,0,0,0,Clark
1926-1927,0,0,0,0,0,3.5,7.7,0,0,0,0,0,11.2,Clark
1927-1928,0,0,0,0,0,1.1,4,T,0,0,0,0,5.1,Clark
1928-1929,0,0,0,0,0,T,12.2,0,0,T,0,0,12.2,Clark
1929-1930,0,0,0,0,0,0,18.5,0,0,0,0,0,18.5,Clark
1930-1931,0,0,0,0,0,0,0,0,0,0,0,0,0,Clark
1931-1932,0,0,0,0,0,0.5,8.8,2.8,0,0,0,0,12.1,Clark
1932-1933,0,0,0,0,0,1.4,9.5,1.3,0,0,0,0,12.2,Clark
1933-1934,0,0,0,0,0,T,0,0,0,0,0,0,T,Clark
1934-1935,0,0,0,0,0,0.2,4.8,0,0,0,0,0,5,Clark
1935-1936,0,0,0,0,0,0,0,0.7,2.2,T,0,0,2.9,Clark
1936-1937,0,0,0,0,0,T,12.5,1,0,0,0,0,13.5,Clark
1937-1938,0,0,0,0,0,T,0.2,0,0,0,0,0,0.2,Clark
1938-1939,0,0,0,0,0,0,0,4,0,0,0,0,4,Clark
1939-1940,0,0,0,0,0,0,T,0,0,0,0,0,T,Clark
1940-1941,0,0,0,0,0,0,0,0,0,0,0,0,0,Clark
1941-1942,0,0,0,0,0,0,T,0,0,0,0,0,T,Clark
1942-1943,0,0,0,0,0,2,16,0,0,0,0,0,18,Clark
1943-1944,0,0,0,0,0,0,T,0,0,0,0,0,T,Clark
1944-1945,0,0,0,0,0,0,0,T,0,0,0,0,T,Clark
1945-1946,0,0,0,0,0,0,0,0,0,0,0,0,0,Clark
1946-1947,0,0,0,0,2.2,0,3,0,0,0,0,0,5.2,Clark
1947-1948,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,Clark
1948-1949,0,0,0,0,0,T,7.7,9.3,0,T,0,0,17,Clark
1949-1950,0,0,T,T,0,T,35.3,0,T,T,T,0,35.3,Clark
1950-1951,0,0,0,T,0,0,0,T,5.5,0,T,0,5.5,Clark
1951-1952,0,0,0,0,0,0.5,8.5,T,T,T,T,0,9,Clark
1952-1953,0,0,0,0,0,T,T,T,0,0,T,0,T,Clark
1953-1954,0,0,0,0,T,0,M,0,T,0,T,0,M,Clark
1954-1955,0,0,0,0,T,1.5,1.3,1.5,0.5,T,0,0,4.8,Clark
1955-1956,0,0,0,T,4.5,0.5,9.5,1.5,1,0,0,0,17,Clark
1956-1957,0,0,0,0,0,4,3.5,0.5,0,0,0,0,8,Clark
1957-1958,0,0,0,0,0,0,0,0,0,0,0,0,0,Clark
1958-1959,0,0,0,0,0,0,0,1,0,0,0,0,1,Clark
1959-1960,0,0,0,0,T,0,10.5,0,3,0,0,0,13.5,Clark
1960-1961,0,0,0,0,0,0,0,0,0,0,0,0,0,Clark
1961-1962,0,0,0,0,0,1.8,T,4,1.5,0,0,0,7.3,Clark
1962-1963,0,0,0,0,0,0,5.3,0,0,0,0,0,5.3,Clark
1963-1964,0,0,0,0,0,0,0,0,0,0,0,0,0,Clark
