Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1892-1893,M,M,M,M,M,M,M,M,M,1,M,M,M,Columbia
1893-1894,M,M,M,M,5.5,M,31.5,2,5,M,M,M,M,Columbia
1894-1895,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
1895-1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
1896-1897,M,M,M,M,M,4,M,M,5.1,M,M,M,M,Columbia
1897-1898,M,M,M,M,M,M,3,M,8.5,M,M,M,M,Columbia
1898-1899,M,M,M,M,M,8.5,M,27,1,M,M,M,M,Columbia
1899-1900,M,M,M,M,0,M,0,7.3,M,0,0,0,M,Columbia
1900-1901,0,M,M,M,3.8,M,9.1,M,M,M,0,M,M,Columbia
1901-1902,0,0,M,M,M,M,10.8,M,M,0,0,0,M,Columbia
1902-1903,M,M,M,M,M,M,M,M,9.2,T,M,M,M,Columbia
1903-1904,0,M,M,0,5,M,9,4.5,M,M,M,M,M,Columbia
1904-1905,M,M,M,0,M,2.5,4.5,4.5,1.5,M,M,M,M,Columbia
1905-1906,M,M,M,M,7,9,M,M,4,M,M,M,M,Columbia
1906-1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
1907-1908,M,M,M,0,0,5,3.2,M,3,2,0,M,M,Columbia
1908-1909,M,M,M,M,1,1,25.5,3.5,T,M,M,M,M,Columbia
1909-1910,M,M,M,M,1,5.5,M,19.5,0,M,0,M,M,Columbia
1910-1911,0,0,M,M,1,2,M,15,M,6,M,M,M,Columbia
1911-1912,M,M,M,M,4,14,M,M,3,0,M,M,M,Columbia
1912-1913,M,M,M,M,T,T,31.8,14.2,14.5,0,M,M,M,Columbia
1913-1914,M,M,M,M,2,9.8,3,3,M,M,M,M,M,Columbia
1914-1915,M,M,0,M,T,M,2.5,T,0,M,M,M,M,Columbia
1915-1916,M,M,0,M,M,7.3,M,27.7,5.5,M,T,M,M,Columbia
1916-1917,0,M,M,0,T,11.4,3.6,M,3.5,T,M,0,M,Columbia
1917-1918,0,M,0,M,M,0,7,6.1,T,T,M,0,M,Columbia
1918-1919,M,M,M,0,T,T,2.6,10.3,T,0,0,M,M,Columbia
1919-1920,M,M,M,3.2,6.7,12.4,4.3,T,T,T,0,M,M,Columbia
1920-1921,0,0,M,0,M,3.2,2,T,1.9,M,M,M,M,Columbia
1921-1922,0,0,0,0,17.8,M,15.1,2.7,T,T,0,0,M,Columbia
1922-1923,0,0,0,0,1,16,3,21.5,1,M,M,M,M,Columbia
1923-1924,0,M,M,M,M,3.5,M,0,M,0,M,M,M,Columbia
1924-1925,M,M,M,M,M,6.5,3,0,0,0,0,M,M,Columbia
1925-1926,M,M,M,M,M,0,0.5,T,M,M,M,M,M,Columbia
1926-1927,M,M,0,M,4,9.5,11,T,9,T,M,M,M,Columbia
1927-1928,M,M,M,M,M,M,M,M,M,M,M,M,M,Columbia
1928-1929,M,M,M,M,M,4,35,M,M,M,M,M,M,Columbia
1929-1930,M,M,M,M,M,3,M,4,T,M,M,M,M,Columbia
1930-1931,M,0,M,M,1,M,T,T,1,0,0,0,M,Columbia
1931-1932,0,0,0,0,6,8,12,6.5,4,0,0,0,36.5,Columbia
1932-1933,0,0,0,0,0,1.5,4,19.2,0.5,T,0,0,25.2,Columbia
1933-1934,0,0,0,0,T,14.5,T,T,0,T,0,0,14.5,Columbia
1934-1935,0,0,T,0,1,3,8.5,1,4,T,0,0,17.5,Columbia
1935-1936,0,0,0,1.5,T,T,9,16,5,0,0,0,31.5,Columbia
1936-1937,0,0,0,0,T,2.5,32,8,T,0,0,0,42.5,Columbia
1937-1938,0,0,0,0,0,3,5.5,11.5,2.8,0,0,0,22.8,Columbia
1938-1939,0,0,0,0,10,2.8,0.3,15,2,0,0,0,30.1,Columbia
1939-1940,0,0,0,0,0,0.5,16.8,1,T,0,0,0,18.3,Columbia
1940-1941,0,0,0,0,5.2,0.5,3.3,3,0,0,0,0,12,Columbia
1941-1942,0,0,0,0,0,4,9.5,4.5,2,T,0,0,20,Columbia
1942-1943,0,0,0,0,4.5,9,8,0,0.5,0,T,0,22,Columbia
1943-1944,0,0,0,0,0,0.5,T,4,6,0,0,0,10.5,Columbia
1944-1945,0,0,0,0,0,1,0.5,1,0.5,0.5,0,0,3.5,Columbia
1945-1946,0,0,0,0,2,7.5,4.5,1,T,0,0,0,15,Columbia
1946-1947,0,0,0,0,3,1.5,14.5,T,T,0,0,0,19,Columbia
1947-1948,0,0,0,0,0.5,5.5,T,4,T,T,0,0,10,Columbia
1948-1949,0,0,0,0,1,9.5,7,14.3,T,0,0,0,31.8,Columbia
1949-1950,0,0,0,0.2,0,2.7,35.7,3,3,0,0,0,44.6,Columbia
1950-1951,0,0,0,0,1.2,8,2,1,12,0,0,0,24.2,Columbia
1951-1952,0,T,0,0,0,17.5,10,4,3,0,0,0,34.5,Columbia
1952-1953,0,0,0,0,0,0,0,0,T,0,0,0,T,Columbia
1953-1954,0,0,0,0,0,T,9,0,M,T,0,0,M,Columbia
1954-1955,0,0,0,0,0,T,4,6.5,T,0.8,T,0,11.3,Columbia
1955-1956,0,0,0,T,7.6,8,9,9,2,0,0,0,35.6,Columbia
1956-1957,0,0,0,T,2,1,16,6,T,T,0,0,25,Columbia
1957-1958,0,0,0,0,0,0,2,0,M,0,0,0,M,Columbia
