Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1925-1926,M,M,M,M,M,M,0,0,M,M,M,M,M,Cowlitz
1926-1927,M,M,M,0,0,1.1,3.5,0,0,0,0,0,M,Cowlitz
1927-1928,0,0,0,0,0,0.4,7.2,0,0,0,0,0,7.6,Cowlitz
1928-1929,0,0,0,0,0,M,15.4,M,M,M,M,M,M,Cowlitz
1929-1930,M,M,M,M,M,M,28,T,M,M,M,M,M,Cowlitz
1930-1931,0,M,0,M,M,M,0,0,0,T,0,0,M,Cowlitz
1931-1932,0,0,0,0,0,0,15,1,0,0,0,0,16,Cowlitz
1932-1933,0,0,0,0,0,1,4.8,2,0,T,0,0,7.8,Cowlitz
1933-1934,0,0,0,0,0,T,0,0,0,0,0,0,T,Cowlitz
1934-1935,0,0,0,0,0,T,2,0,T,0,0,0,2,Cowlitz
1935-1936,0,0,0,1,0,0,T,2.5,T,T,0,0,3.5,Cowlitz
1936-1937,0,0,0,0,0,0,6,2.5,0,T,0,0,8.5,Cowlitz
1937-1938,0,0,0,0,0,2,T,0,T,0,0,0,2,Cowlitz
1938-1939,0,0,0,0,T,0,0,3.2,0,0,0,0,3.2,Cowlitz
1939-1940,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,Cowlitz
1940-1941,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowlitz
1941-1942,0,0,0,0,0,T,1,0,0,0,0,0,1,Cowlitz
1942-1943,0,0,0,0,0,T,12.5,0,T,0,0,0,12.5,Cowlitz
1943-1944,0,0,0,0,0,0,0,0,T,0,0,0,T,Cowlitz
1944-1945,0,0,0,0,0,0,0,0,0,T,0,0,T,Cowlitz
1945-1946,0,0,0,0,0,0,T,0,3,0,0,0,3,Cowlitz
1946-1947,0,0,0,0,T,T,5.2,0,0,0,0,0,5.2,Cowlitz
1947-1948,0,0,0,0,0,T,0,2,0,T,0,0,2,Cowlitz
1948-1949,0,0,0,0,0,T,12.8,23.7,0,0,0,0,36.5,Cowlitz
1949-1950,0,0,0,T,0,T,39.2,T,T,T,0,0,39.2,Cowlitz
1950-1951,0,0,0,0,0,0,0.5,T,16.1,0,0,0,16.6,Cowlitz
1951-1952,0,0,0,0,0,0.5,4.4,T,T,0,0,0,4.9,Cowlitz
1952-1953,0,0,0,0,0,0,0,T,0,0,0,0,T,Cowlitz
1953-1954,0,0,0,0,0,T,12.2,0,T,0,0,0,12.2,Cowlitz
1954-1955,0,0,0,0,0,0.8,T,2.5,0.3,T,0,0,3.6,Cowlitz
1955-1956,0,0,0,0,5,3.5,10.5,2.4,1,0,0,0,22.4,Cowlitz
1956-1957,0,0,0,0,0,T,2.8,T,0,0,0,0,2.8,Cowlitz
1957-1958,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowlitz
1958-1959,0,0,0,0,0,0,1,0,0,0,0,0,1,Cowlitz
1959-1960,0,0,0,0,0,0,3.5,0,5,0,0,0,8.5,Cowlitz
1960-1961,0,0,0,0,0,0,0,0,0,T,0,0,T,Cowlitz
1961-1962,0,0,0,0,0,1.4,0,2.5,5,0,0,0,8.9,Cowlitz
