Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1892-1893,M,M,M,M,M,M,1,26,12,6,M,M,M,Douglas
1893-1894,M,M,M,M,M,4,M,11,M,M,M,M,M,Douglas
1894-1895,M,M,M,1,4,31,18,3,5,M,M,M,M,Douglas
1895-1896,M,M,M,M,2,17,27.5,M,7,0.6,1.5,M,M,Douglas
1896-1897,M,M,M,M,20.5,9,16.5,23.5,13,M,M,M,M,Douglas
1897-1898,M,M,M,M,17.5,33.5,1,6,1,M,M,M,M,Douglas
1898-1899,M,M,M,M,15.5,10,27,12.5,0.5,1,M,M,M,Douglas
1899-1900,M,M,M,0.5,2,M,3,M,M,M,0,0,M,Douglas
1900-1901,0,M,0,M,6,0.3,16,11.5,4,M,M,0,M,Douglas
1901-1902,0,0,0,M,6,2.5,6.3,31,0,0.7,0,0,M,Douglas
1902-1903,0,0,0,0,9,32,18.5,2,2,0.5,M,M,M,Douglas
1903-1904,M,M,M,M,24,11.5,15.3,31.5,19,0,T,0,M,Douglas
1904-1905,M,0,0,M,2,13,M,4,M,0,M,M,M,Douglas
1905-1906,M,M,M,2,2,11.2,10,7,3,M,M,M,M,Douglas
1906-1907,M,M,M,M,M,31,11,10,11,1.5,M,M,M,Douglas
1907-1908,M,M,M,M,2.5,M,11.5,5.8,2,T,M,M,M,Douglas
1908-1909,0,M,M,3,T,6.3,M,M,M,M,T,M,M,Douglas
1909-1910,M,M,0,0,12,22.5,5.8,10,M,M,0,0,M,Douglas
1910-1911,0,M,M,M,23.7,9.8,7,11.7,2,M,M,M,M,Douglas
1911-1912,M,M,M,M,9.5,20.3,M,0.1,6.5,M,M,M,M,Douglas
1912-1913,0,M,M,3,5,15.6,19.5,7,M,2,M,M,M,Douglas
1913-1914,M,M,M,M,M,M,M,M,M,M,M,M,M,Douglas
1914-1915,M,M,M,M,M,15.5,19.7,18,2,0,0,M,M,Douglas
1915-1916,M,0,M,0,28.5,27,M,35,11.5,0,M,M,M,Douglas
1916-1917,M,M,0,M,6,14.5,4.5,11.5,12,16,0,0,M,Douglas
1917-1918,M,M,M,M,7,17.5,5,11.5,M,0,0,M,M,Douglas
1918-1919,0,M,M,0,1,4.5,13.5,M,6.5,0,0,0,M,Douglas
1919-1920,0,M,0,T,5.8,12,4,1.5,0,1,M,M,M,Douglas
1920-1921,M,M,0,T,3.8,20.8,26.1,7.6,5.2,0.5,0,0,M,Douglas
1921-1922,M,0,0,0,15,M,M,8,5.5,1,0,0,M,Douglas
1922-1923,0,0,M,0,4,M,7.8,8.5,1.5,1.5,M,0,M,Douglas
1923-1924,0,M,M,M,1.2,14,13.8,7.7,1,0,M,0,M,Douglas
1924-1925,M,M,M,T,11.9,11.5,16,6,4,0,0,M,M,Douglas
1925-1926,M,M,M,M,9,6,M,7,0,2,M,M,M,Douglas
1926-1927,M,M,M,M,9.5,10.5,M,12,M,M,M,M,M,Douglas
1927-1928,M,M,M,M,14.8,M,M,M,M,M,M,M,M,Douglas
1928-1929,M,M,M,M,M,M,M,M,M,M,M,M,M,Douglas
1929-1930,M,M,M,M,M,M,M,M,M,M,M,M,M,Douglas
1930-1931,0,T,M,1.2,4.4,M,M,M,M,0,0,0,M,Douglas
1931-1932,0,0,0,0,M,M,M,M,2,0,0,0,M,Douglas
1932-1933,0,0,0,0,3.5,8.5,M,M,6.2,12.5,0,0,M,Douglas
1933-1934,0,0,0,3,0,23,M,0.2,1,0,0,0,M,Douglas
1934-1935,0,0,4,0,3.5,M,M,M,14.5,1.5,0,0,M,Douglas
1935-1936,0,0,0,0,M,M,M,M,4.8,0,0,0,M,Douglas
1936-1937,0,0,0,0,0,12.3,M,M,M,3,0,0,M,Douglas
1937-1938,0,0,0,0,8,M,M,M,4,0,0,0,M,Douglas
1938-1939,0,0,0,0,3,M,3,M,6.9,1,0,0,M,Douglas
1939-1940,0,0,0,3,0,8.7,M,M,M,0,0,0,M,Douglas
1940-1941,0,0,0,0,3.3,M,M,M,M,0,0,0,M,Douglas
1941-1942,0,0,0,0,2,12.5,M,16.3,M,0,0,0,M,Douglas
1942-1943,0,0,0,0,M,M,M,M,0,0,1,0,M,Douglas
1943-1944,0,0,0,3,1.4,2,M,M,M,0,T,0,M,Douglas
1944-1945,T,0,0,0,10.5,M,M,M,M,0,0,0,M,Douglas
1945-1946,0,0,0,0,M,M,M,M,M,0,0,0,M,Douglas
1946-1947,0,0,M,T,M,M,T,T,0,T,0,0,M,Douglas
1947-1948,0,0,0,0,T,4,9.5,T,T,T,0,0,13.5,Douglas
1948-1949,0,0,0,T,9.5,26.5,4.5,T,T,T,0,0,40.5,Douglas
1949-1950,0,0,0,0,0,M,M,M,T,0,T,0,M,Douglas
1950-1951,0,0,0,0,M,M,M,M,M,0,0,0,M,Douglas
1951-1952,0,0,0,T,T,M,M,M,T,T,0,0,M,Douglas
1952-1953,0,0,0,0,0,M,M,M,T,T,T,0,M,Douglas
1953-1954,0,0,0,0,M,T,M,0,M,T,0,0,M,Douglas
1954-1955,0,0,0,0,T,0,M,M,T,T,T,0,M,Douglas
1955-1956,0,0,0,T,M,M,M,M,T,T,0,0,M,Douglas
1956-1957,0,0,0,T,M,0,M,M,M,0,0,0,M,Douglas
1957-1958,0,0,0,M,M,M,0,M,0,0,0,0,M,Douglas
1958-1959,0,0,0,0,0,M,M,M,0,0,0,0,M,Douglas
1959-1960,0,0,0,0,M,M,M,M,T,T,0,0,M,Douglas
1960-1961,0,0,0,0,M,M,0,M,M,0,0,0,M,Douglas
1961-1962,M,0,0,T,M,M,M,M,M,0,0,0,M,Douglas
1962-1963,0,0,0,0,0,0,0,0,M,M,M,0,M,Douglas
1963-1964,0,0,0,0,2.5,17.8,22.6,2.9,1.7,5.1,0,0,52.6,Douglas
1964-1965,0,0,0,0,9.7,27.5,12.3,3.5,3.8,0,T,0,56.8,Douglas
1965-1966,0,0,0,0,10,8,21.4,T,15,0,0,0,54.4,Douglas
1966-1967,0,0,0,1,1,3,5,T,2,3,0,0,15,Douglas
1967-1968,0,0,0,0,1,M,24,1.5,0,0,0,0,M,Douglas
1968-1969,0,0,0,0,M,33,27,M,M,0,0,0,M,Douglas
1969-1970,0,0,0,0,0,30,M,0,M,M,0,0,M,Douglas
1970-1971,0,0,0,T,14.8,36.6,25.8,0,12.6,M,0,0,M,Douglas
1971-1972,0,0,0,1,12,45.5,17,5,10.5,T,0,0,91,Douglas
1972-1973,0,0,0,1,T,6.3,9,1,T,0,0,0,17.3,Douglas
1973-1974,0,0,0,0,36,27.3,12.3,8,3,0,0,0,86.6,Douglas
1974-1975,0,0,0,0,1,10,22.5,17.5,5,2.5,0,0,58.5,Douglas
1975-1976,0,0,0,M,6.5,12.6,M,13,T,0,0,0,M,Douglas
1976-1977,0,0,0,0,0,2,1.6,2.5,7.4,0,0,0,13.5,Douglas
1977-1978,0,0,0,0,M,14.8,12.5,11.3,T,0,T,0,M,Douglas
1978-1979,0,0,0,0,7.5,5,7.3,7,0.3,M,M,M,M,Douglas
1979-1980,M,0,0,0,6,18.5,M,8,2,T,0,0,M,Douglas
1980-1981,0,0,0,0,1,16.7,11.5,2.4,0,0.5,0,0,32.1,Douglas
1981-1982,0,0,0,0,0.8,17.3,M,M,M,0,0,0,M,Douglas
1982-1983,0,0,0,0,13.3,30.8,13.6,7.8,0,T,0,0,65.5,Douglas
1983-1984,0,0,0,0,5.3,M,5.3,11.1,0,0,0,0,M,Douglas
1984-1985,0,0,0,0,20.6,3.8,2.5,10.8,9.7,T,0,0,47.4,Douglas
1985-1986,0,0,0,T,9.4,12.6,27.8,17.1,T,0,0,0,M,Douglas
1986-1987,0,0,0,0,6.6,M,10.9,5,T,0,0,M,M,Douglas
1987-1988,M,0,0,0,1.3,M,M,T,0.5,0,M,0,M,Douglas
1988-1989,0,0,0,0,8.5,M,T,M,M,T,0,0,M,Douglas
1989-1990,0,M,M,0,3.5,0,8.2,6.2,0,0,0,0,M,Douglas
1990-1991,0,0,M,M,M,M,M,0,6.8,0,0,0,M,Douglas
1991-1992,0,0,0,4,M,M,M,6.3,0,0,0,0,M,Douglas
1992-1993,0,0,0,0,8,32.1,14.8,4.3,6.3,0,0,0,M,Douglas
1993-1994,0,0,0,0,1.5,18.3,2.5,2.7,M,0,0,0,M,Douglas
1994-1995,0,0,0,4,12.8,9.4,M,5.9,M,1.5,0,0,M,Douglas
1995-1996,0,0,0,0,17.1,16.3,16.7,5.4,M,T,0,0,M,Douglas
1996-1997,0,0,0,0,M,41.6,6.9,7.5,12,T,0,0,M,Douglas
1997-1998,0,0,0,0,5.8,4.4,17.8,5.3,3.8,0,0,M,M,Douglas
1998-1999,0,0,0,0,3,11.5,19.5,10,4.3,T,0,0,M,Douglas
1999-2000,0,0,0,0.8,0.8,4.8,M,5,2,0,0,0,M,Douglas
2000-2001,0,0,0,0,4.5,11.8,4,8,2,0.5,0,0,M,Douglas
2001-2002,0,0,0,0,10.5,M,1,M,M,0,0,0,M,Douglas
2002-2003,0,0,0,0,0,M,12.3,0,1,1,0,0,M,Douglas
2003-2004,0,0,0,0,0,19.3,13.6,0,0,0,0,0,M,Douglas
2004-2005,0,0,0,0,0,M,M,0,2,0,0,0,M,Douglas
2005-2006,M,0,0,0,0,10,0,1,0.4,0,0,0,M,Douglas
2006-2007,0,0,0,0,M,M,M,M,M,0,0,0,M,Douglas
2007-2008,0,0,0,0,0,17.5,M,M,0,0,0,0,M,Douglas
2008-2009,0,0,0,0,0,M,0,0,M,0.1,0,0,M,Douglas
2009-2010,0,0,0,0,0,9,0,M,0,0,0,0,M,Douglas
2010-2011,0,0,0,0,M,2.2,T,7.3,3.6,T,0,0,M,Douglas
2011-2012,0,0,0,0,4.5,2,14.5,8,9.7,0.3,0,0,39,Douglas
2012-2013,0,0,0,4.5,5.5,24.5,4,T,7.8,1,0,0,M,Douglas
2013-2014,0,0,0,0,1.3,0.5,5.8,20.5,4.5,M,0,0,M,Douglas
2014-2015,0,0,0,0,5,8.5,8,T,T,2,0,0,23.5,Douglas
2015-2016,0,0,0,0,1,36.1,26,1.5,M,T,0,0,M,Douglas
2016-2017,M,0,0,0,1,M,13.7,19.5,M,M,M,0,M,Douglas
2017-2018,M,0,M,0,M,M,M,M,9,0,M,M,M,Douglas
2018-2019,M,M,M,M,M,M,M,M,M,0,0,0,M,Douglas
2019-2020,0,0,M,0,M,M,M,M,M,M,M,M,M,Douglas
2020-2021,M,M,M,M,M,M,M,M,M,M,M,M,M,Douglas
