Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1898-1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
1899-1900,M,M,M,M,M,17.5,15.8,M,2.5,T,T,0,M,Ferry
1900-1901,0,0,0,1,13.5,3,24,7.5,7,4,M,M,M,Ferry
1901-1902,0,0,0,M,M,M,M,M,M,M,0,0,M,Ferry
1902-1903,0,0,0,0,6,M,M,5,5.5,M,M,M,M,Ferry
1903-1904,M,0,M,1,14,M,15.8,24,12.5,0,M,0,M,Ferry
1904-1905,M,M,0,0,5,13,9,1,1,M,0,M,M,Ferry
1905-1906,M,M,M,3,9,10,6,3,5,M,M,M,M,Ferry
1906-1907,M,M,M,M,2,M,M,M,M,M,M,M,M,Ferry
1907-1908,M,M,M,M,0.5,17,15,10,4,0,0,M,M,Ferry
1908-1909,M,M,M,1,2,10,9,16.5,0,M,0,0,M,Ferry
1909-1910,M,M,M,T,5.7,11.5,7,5.5,0,0,0,0,M,Ferry
1910-1911,0,0,M,M,6.5,9,15.5,9,0,T,0,M,M,Ferry
1911-1912,M,M,M,M,9,28,15.5,M,2,M,M,M,M,Ferry
1912-1913,0,M,M,6,2,12.5,17.5,M,0,M,M,M,M,Ferry
1913-1914,M,M,M,4,6,10,25.4,8.5,2.5,0,0,0,M,Ferry
1914-1915,0,M,M,M,M,14,M,3,0,0,M,M,M,Ferry
1915-1916,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
1916-1917,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
1917-1918,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
1918-1919,M,M,0,1,2.3,10,17,22.3,3,T,T,0,M,Ferry
1919-1920,0,M,M,0.9,13.8,2.4,3.4,T,1.6,2.5,M,0,M,Ferry
1920-1921,M,M,M,M,2.2,14.8,24.3,6.3,7,2.5,M,M,M,Ferry
1921-1922,0,M,0,T,21.1,3,8.8,6.5,3.5,1,T,0,M,Ferry
1922-1923,0,0,M,T,0.8,17,13.5,6,4.3,0.8,M,0,M,Ferry
1923-1924,M,0,M,M,0.8,7.4,6.7,2.5,2.2,2,T,M,M,Ferry
1924-1925,M,M,M,T,10.6,17.2,17.6,1.6,T,0,0,M,M,Ferry
1925-1926,M,M,M,5,5.9,5.8,15.6,3.3,T,T,M,M,M,Ferry
1926-1927,M,M,T,0.4,4.2,13.7,11.6,6.4,5.8,0.5,T,M,M,Ferry
1927-1928,M,M,M,0.9,11.9,15.3,12.9,1,5.4,T,M,M,M,Ferry
1928-1929,M,M,M,M,0.1,11.3,7.3,1,T,3.5,M,M,M,Ferry
1929-1930,M,M,M,M,0,11.1,11.3,1,4,M,M,M,M,Ferry
1930-1931,M,0,M,T,7.4,5.3,16,4.2,1.5,T,M,M,M,Ferry
