Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1904-1905,M,M,M,M,M,M,M,0,0.3,0,0,M,M,Franklin
1905-1906,M,M,M,M,5.7,T,5,M,M,M,M,M,M,Franklin
1906-1907,M,M,M,M,1,8.6,M,9.5,T,T,M,M,M,Franklin
1907-1908,M,M,0,M,M,0.6,1.5,2,M,T,0,M,M,Franklin
1908-1909,M,M,M,M,T,M,M,M,M,T,M,0,M,Franklin
1909-1910,M,0,M,M,T,4.7,4,6.5,M,0,0,0,M,Franklin
1910-1911,0,M,M,M,2.8,M,3.7,7,1.3,T,M,0,M,Franklin
1911-1912,M,M,M,M,5.5,M,M,M,M,M,M,M,M,Franklin
1912-1913,M,M,M,M,M,0.5,18.5,3.5,M,T,M,M,M,Franklin
1913-1914,M,M,M,M,T,9,2.4,2,T,M,0,M,M,Franklin
1914-1915,M,0,0,M,M,M,2.8,0,0,0,M,0,M,Franklin
1915-1916,M,M,M,0,5.5,10.5,15.5,22,4.5,M,0,M,M,Franklin
1916-1917,0,M,0,0,0.5,8,4,5,2.5,M,M,0,M,Franklin
1917-1918,M,0,0,M,0,0.5,1.5,M,T,0,0,0,M,Franklin
1918-1919,0,M,M,0,1,M,0.6,2.8,0.4,0,0,0,M,Franklin
1919-1920,0,0,M,0.5,5.3,M,M,M,M,M,0,0,M,Franklin
1920-1921,M,0,M,0,T,3.5,1,T,T,0,0,0,M,Franklin
1921-1922,0,0,0,0,M,M,7.5,1.3,0,M,0,M,M,Franklin
1922-1923,0,0,0,0,0.5,10,M,6,T,0,M,0,M,Franklin
1923-1924,M,M,M,M,M,T,2,0,M,0,M,0,M,Franklin
1924-1925,M,M,M,M,2.5,7.5,3.5,0,0,0,M,M,M,Franklin
1925-1926,M,M,M,M,8,2.5,1.3,T,M,M,M,M,M,Franklin
1926-1927,M,M,M,M,M,M,M,T,T,T,M,M,M,Franklin
1927-1928,M,M,M,M,M,T,M,M,M,M,M,M,M,Franklin
1928-1929,M,M,M,M,M,M,7.8,3.3,M,M,M,M,M,Franklin
1929-1930,M,M,M,M,T,2.5,7.5,M,M,M,M,M,M,Franklin
1930-1931,0,0,M,M,M,2.2,M,M,M,M,M,M,M,Franklin
1931-1932,M,M,M,M,8,M,M,4,1,M,M,M,M,Franklin
1932-1933,M,M,M,M,T,4,9.3,10,1,0,0,0,M,Franklin
1933-1934,0,0,M,0,T,M,T,T,0,0,0,0,M,Franklin
1934-1935,0,M,M,M,0.1,M,3.5,M,M,M,M,M,M,Franklin
1935-1936,M,M,M,M,M,M,3,5.3,0.5,M,M,M,M,Franklin
1936-1937,M,M,M,M,M,3,M,M,0,T,M,0,M,Franklin
1937-1938,M,M,M,M,M,2.5,M,5,M,M,M,0,M,Franklin
1938-1939,M,M,M,M,M,2.8,M,M,1.5,M,M,M,M,Franklin
1939-1940,M,M,M,M,M,M,M,1.5,M,M,M,M,M,Franklin
1940-1941,M,M,M,0,6.8,M,6,2,M,M,M,M,M,Franklin
1941-1942,M,M,M,M,1.2,M,M,3.5,T,M,M,M,M,Franklin
1942-1943,M,M,M,M,4.3,10,M,2.5,T,0,0,0,M,Franklin
1943-1944,0,0,0,0,0,T,1.2,3.4,0,0,0,0,4.6,Franklin
1944-1945,0,0,0,0,T,T,1,2,T,T,0,0,3,Franklin
1945-1946,0,0,0,0,1.5,4,T,1.7,0,0,0,0,7.2,Franklin
1946-1947,0,0,0,0,4,1.5,M,0,M,1,0,0,M,Franklin
1947-1948,0,0,0,0,0,T,0.5,2,0,T,0,0,2.5,Franklin
1948-1949,0,0,0,0,1,12.9,M,8.5,T,0,0,0,M,Franklin
1949-1950,0,0,0,0,0,3.8,39.5,4.5,T,M,0,0,M,Franklin
1950-1951,0,0,0,0,T,M,M,M,M,0,0,0,M,Franklin
1951-1952,0,0,0,0,T,12,10.5,1.2,T,0,T,0,23.7,Franklin
1952-1953,0,0,0,0,0,M,0.5,T,T,T,T,0,M,Franklin
1953-1954,0,0,0,0,0,T,M,1,T,0,0,T,M,Franklin
1954-1955,0,0,0,0,0,T,M,7,T,T,T,0,M,Franklin
1955-1956,0,0,0,0,11.1,15.8,11,7.5,0.5,0,0,0,45.9,Franklin
