Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1919-1920,M,M,M,M,M,M,M,M,M,2,M,0,2,Jefferson
1920-1921,M,0,M,0,M,T,8.5,0,5,M,0,0,13.5,Jefferson
1921-1922,0,M,M,0,4.8,4.5,T,0.9,T,M,0,0,10.2,Jefferson
1922-1923,0,0,0,0,0,12.4,0.3,16.2,T,0,M,0,28.9,Jefferson
1923-1924,0,M,M,M,M,T,0.6,M,M,0,M,0,0.6,Jefferson
1924-1925,M,M,M,M,M,5.9,2.8,M,0,0,0,M,8.7,Jefferson
1925-1926,M,M,M,M,M,0,M,M,M,M,M,M,0,Jefferson
1926-1927,M,M,M,M,0,2,M,M,M,M,M,M,2,Jefferson
1927-1928,M,M,M,M,M,M,M,M,M,M,M,M,M,Jefferson
1928-1929,M,M,M,M,M,M,T,3,M,M,M,M,3,Jefferson
1929-1930,M,M,M,M,M,M,5.5,9.9,M,M,M,M,15.4,Jefferson
1930-1931,0,M,M,M,M,M,M,M,M,M,M,M,0,Jefferson
1931-1932,M,M,M,M,M,T,0.7,0.6,0,M,M,M,1.3,Jefferson
1932-1933,M,M,M,M,M,M,9.1,M,0,M,0,0,9.1,Jefferson
1933-1934,0,0,0,0,0,2.6,0,0,0,0,0,0,2.6,Jefferson
1934-1935,0,0,0,M,M,M,2,T,T,0,0,0,2,Jefferson
1935-1936,0,M,0,0,0,0,0,2,T,0,0,0,2,Jefferson
1936-1937,0,0,0,0,0,0.2,24.4,5,0,0,M,0,29.6,Jefferson
1937-1938,0,M,M,M,9,5,1,M,M,M,0,M,15,Jefferson
1938-1939,M,M,M,M,M,M,M,M,M,M,M,M,M,Jefferson
1939-1940,M,M,M,M,0,0,T,M,M,M,M,M,T,Jefferson
1940-1941,M,M,M,M,M,M,M,M,M,M,M,M,M,Jefferson
1941-1942,M,M,M,M,M,M,0,0,M,M,M,M,0,Jefferson
1942-1943,M,M,M,M,M,T,12,0,0,0,0,0,12,Jefferson
1943-1944,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
1944-1945,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
1945-1946,0,0,0,0,T,0,0,0.5,3,0,0,0,3.5,Jefferson
1946-1947,0,0,0,0,7.5,0,3.5,0,0,M,0,0,11,Jefferson
1947-1948,0,0,0,0,0,0,M,3,M,M,M,0,3,Jefferson
1948-1949,0,0,0,0,T,T,6.5,19.2,T,0,0,0,25.7,Jefferson
1949-1950,0,0,0,0,0,4.4,20.5,0,T,0,0,0,24.9,Jefferson
1950-1951,0,0,0,0,0,0,T,0,M,0,0,0,T,Jefferson
1951-1952,0,0,0,0,0,2.5,4,T,0,0,0,0,6.5,Jefferson
1952-1953,0,0,0,0,T,0,0,0,0,0,T,0,T,Jefferson
1953-1954,0,0,0,0,0,0,29,0,0.5,T,0,0,29.5,Jefferson
1954-1955,0,0,0,0,0,0,0,6,3.8,0,0,0,9.8,Jefferson
1955-1956,0,0,0,0,12,0,T,2.8,6,0,0,0,20.8,Jefferson
1956-1957,0,0,0,0,0,3,7.5,0,0,0,0,0,10.5,Jefferson
1957-1958,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
1958-1959,0,0,0,0,0,0,2,0,0,0,0,0,2,Jefferson
1959-1960,0,0,0,0,0,0,T,0,5.7,0,0,0,5.7,Jefferson
1960-1961,0,0,0,0,0,M,M,M,2,1,0,0,3,Jefferson
1961-1962,0,0,0,0,0,0,0,3.5,5.5,0,0,0,9,Jefferson
1962-1963,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
1963-1964,0,0,0,0,0,0,T,0,0,M,0,0,T,Jefferson
1964-1965,0,0,0,0,0,23.5,20.5,0,T,0,0,0,44,Jefferson
1965-1966,0,0,0,0,0,2,3.4,0,0,0,0,0,5.4,Jefferson
1966-1967,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
1967-1968,0,0,0,0,0,M,M,0,0,0,0,0,0,Jefferson
1968-1969,0,0,0,0,0,M,17,0,0,0,0,0,17,Jefferson
1969-1970,0,0,0,0,0,0,M,0,0,0,0,0,0,Jefferson
1970-1971,0,0,0,0,0.7,M,20.5,7,0,0,0,0,28.2,Jefferson
1971-1972,0,0,0,0,0,11,M,M,0,0,0,0,11,Jefferson
1972-1973,0,0,0,0,0,M,1.8,0,0,0,0,0,1.8,Jefferson
1973-1974,0,0,0,0,3,0,0.5,0,1,0,0,0,4.5,Jefferson
1974-1975,0,0,0,0,0,0,M,M,T,0,0,0,T,Jefferson
1975-1976,0,0,0,0,0,T,0,1,M,0,0,0,1,Jefferson
1976-1977,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
1977-1978,0,0,0,0,1,0,0,0,0,0,0,0,1,Jefferson
1978-1979,0,0,0,0,6.5,6,M,M,0,0,0,0,12.5,Jefferson
1979-1980,0,0,0,0,0,0,9.3,T,0,0,0,0,9.3,Jefferson
1980-1981,0,0,0,0,0,0.3,0,0,M,M,0,M,0.3,Jefferson
1981-1982,0,0,0,0,0,0,3,0,0,0,0,0,3,Jefferson
1982-1983,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
1983-1984,0,0,0,0,0,1.3,0,0,0,0,0,0,1.3,Jefferson
1984-1985,0,0,0,0,0,13,M,2.5,0,0,0,0,15.5,Jefferson
1985-1986,0,0,0,0,3.5,18,T,2.5,0,0,0,0,24,Jefferson
1986-1987,0,0,0,0,0,M,3.5,M,M,0,0,0,3.5,Jefferson
1987-1988,0,0,0,0,0,0,T,M,0,0,M,0,T,Jefferson
1988-1989,0,0,0,0,0,0,2,7.7,1,0,0,0,10.7,Jefferson
1989-1990,0,0,0,0,0,0,0,4,0,0,0,0,4,Jefferson
1990-1991,0,0,0,0,0,2,0,0,0,0,0,0,2,Jefferson
1991-1992,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
1992-1993,0,0,0,0,0,14.2,17.8,0,0,0,0,0,32,Jefferson
1993-1994,0,0,0,0,1,0,0,1,M,0,0,0,2,Jefferson
1994-1995,0,0,0,0,0,T,0,8,0,0,0,0,8,Jefferson
1995-1996,0,0,0,0,0,T,M,T,0,0,0,0,T,Jefferson
1996-1997,0,0,0,0,0,21.5,0,0,0.5,0,0,0,22,Jefferson
1997-1998,0,0,0,0,0,0,4.3,0,0,0,0,0,4.3,Jefferson
1998-1999,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
1999-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
2000-2001,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,Jefferson
2001-2002,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
2002-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
2003-2004,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
2004-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
2005-2006,0,0,M,0,0,0.9,0,0,0,0,0,0,0.9,Jefferson
2006-2007,0,0,0,0,5,0,0,0,0,0,0,0,5,Jefferson
2007-2008,0,0,0,0,0,0,0,0,1,3,0,0,4,Jefferson
2008-2009,0,0,0,0,0,6,7,2,1.3,0,M,0,16.3,Jefferson
2009-2010,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson
2010-2011,0,0,0,0,0,0,6,8.5,M,M,M,M,14.5,Jefferson
2011-2012,M,M,M,M,M,M,10,M,M,M,M,M,10,Jefferson
2012-2013,M,M,M,M,M,M,M,M,M,M,M,M,M,Jefferson
2013-2014,M,M,M,M,M,1,M,M,M,M,M,M,1,Jefferson
2014-2015,M,M,M,M,M,M,M,M,M,M,M,M,M,Jefferson
2015-2016,M,M,M,M,M,M,M,M,M,M,M,M,M,Jefferson
2016-2017,M,M,M,M,M,2.5,1,4,M,M,M,M,7.5,Jefferson
2017-2018,M,M,M,M,M,M,M,3.2,M,M,M,M,3.2,Jefferson
2018-2019,M,M,M,M,M,M,M,17.2,M,M,M,M,17.2,Jefferson
2019-2020,M,M,M,M,M,M,7,M,M,M,M,M,7,Jefferson
