Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1898-1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1899-1900,M,M,M,M,0,0,0,0.6,0,T,0,0,M,Kitsap
1900-1901,M,0,M,0,1.5,0,15,1,T,T,0,M,M,Kitsap
1901-1902,0,0,0,M,0,0,5,0,0,0,0,0,M,Kitsap
1902-1903,0,0,0,0,0,10,M,0.5,13,0,0,M,M,Kitsap
1903-1904,M,M,0,0,0,M,M,M,M,M,M,M,M,Kitsap
1904-1905,M,M,M,M,M,M,8,0,M,M,M,M,M,Kitsap
1905-1906,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1906-1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1907-1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1908-1909,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1909-1910,M,M,M,M,0,M,M,7.2,0,0,0,M,M,Kitsap
1910-1911,0,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1911-1912,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1912-1913,M,M,M,M,M,M,M,M,M,0,M,M,M,Kitsap
1913-1914,M,M,0,M,M,M,M,M,M,M,M,M,M,Kitsap
1914-1915,M,M,M,0,M,M,M,M,0,M,M,M,M,Kitsap
1915-1916,M,M,M,M,T,M,M,M,M,0,M,M,M,Kitsap
1916-1917,M,M,M,M,M,3.5,3.8,M,M,0,0,M,M,Kitsap
1917-1918,M,M,M,M,0,T,M,M,M,0,M,0,M,Kitsap
1918-1919,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1919-1920,M,M,M,0,M,M,M,M,M,M,M,M,M,Kitsap
1920-1921,M,M,M,0,M,M,M,M,M,M,M,0,M,Kitsap
1921-1922,0,0,0,0,7.2,M,M,M,M,M,M,M,M,Kitsap
1922-1923,0,M,M,M,0,8.7,0.3,M,M,M,M,M,M,Kitsap
1923-1924,M,M,M,M,M,M,0.2,M,T,M,M,0,M,Kitsap
1924-1925,M,M,M,M,M,0.8,M,0,M,0,0,M,M,Kitsap
1925-1926,M,M,M,M,M,0,M,M,M,M,M,M,M,Kitsap
1926-1927,M,M,M,M,T,5.5,0.8,M,T,0,M,M,M,Kitsap
1927-1928,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1928-1929,M,M,M,M,M,M,12.8,M,M,M,M,M,M,Kitsap
1929-1930,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1930-1931,M,M,M,M,M,M,M,M,0.8,M,M,M,M,Kitsap
1931-1932,M,M,M,M,M,M,5,M,1,M,M,M,M,Kitsap
1932-1933,M,M,M,M,M,0.5,4.9,0.7,0,M,M,0,M,Kitsap
1933-1934,M,M,0,M,0,M,0,0,M,M,M,0,M,Kitsap
1934-1935,M,0,M,0,0,T,14.8,0,0.2,0,0,0,M,Kitsap
1935-1936,0,M,0,0,0,0,T,M,2.2,T,0,0,M,Kitsap
1936-1937,M,0,0,0,0,T,M,2.2,0,0,0,0,M,Kitsap
1937-1938,M,M,M,M,2.7,M,M,T,T,M,M,M,M,Kitsap
1938-1939,M,M,M,M,M,M,M,1.4,M,M,M,M,M,Kitsap
1939-1940,M,M,M,M,0,0,2,0,M,M,M,M,M,Kitsap
1940-1941,M,M,M,M,M,M,M,M,M,M,M,M,M,Kitsap
1941-1942,M,M,M,M,M,M,1,M,M,M,M,M,M,Kitsap
1942-1943,M,M,M,M,M,T,15.9,0,0,0,0,0,M,Kitsap
1943-1944,0,0,0,0,0,0,T,T,T,0,0,0,T,Kitsap
1944-1945,0,0,0,0,0,T,0,0,0,0,0,0,T,Kitsap
1945-1946,0,0,0,0,0.5,0,0,1.8,0,0,0,0,2.3,Kitsap
1946-1947,0,0,0,0,M,0,2,5,M,M,0,M,M,Kitsap
1947-1948,0,0,0,0,0,T,M,1,0,0,0,0,M,Kitsap
1948-1949,0,0,0,0,0,3,8.5,20,0,0,0,0,31.5,Kitsap
