Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1899,-7,-13,15,20,27,32,33,30,27,13,28,10,-13,Kittitas
1900,9,-8,21,20,29,31,35,38,28,26,-6,5,-8,Kittitas
1901,8,6,19,22,27,31,35,38,22,24,26,9,6,Kittitas
1902,-11,5,19,25,28,30,34,35,26,24,18,3,-11,Kittitas
1903,8,-9,11,21,20,35,36,35,25,24,10,13,-9,Kittitas
1904,7,4,4,21,26,28,38,30,25,24,22,17,4,Kittitas
1905,-6,-13,23,20,24,35,39,33,25,12,18,5,-13,Kittitas
1906,5,11,0,18,26,29,42,35,25,19,15,12,0,Kittitas
1907,-16,11,17,20,26,32,34,31,25,22,17,11,-16,Kittitas
1908,-11,-15,18,22,28,31,30,30,18,23,14,5,-15,Kittitas
1909,-24,4,16,16,23,25,33,28,26,23,10,-4,-24,Kittitas
1910,-8,0,9,25,28,30,34,23,25,17,14,14,-8,Kittitas
1911,3,1,4,17,25,34,37,34,23,12,8,13,1,Kittitas
1912,-10,12,10,25,29,35,36,32,23,20,18,6,-10,Kittitas
1913,-5,-8,0,19,28,33,35,32,25,20,19,17,M,Kittitas
1914,18,-1,17,20,26,26,32,34,29,30,12,-10,-10,Kittitas
1915,-10,8,21,23,26,33,35,40,26,23,4,-12,-12,Kittitas
1916,-17,5,16,21,24,30,36,35,23,14,3,-8,-17,Kittitas
1917,-4,8,9,21,26,31,35,34,27,17,19,7,-4,Kittitas
1918,1,-3,10,16,26,25,34,31,27,25,18,2,-3,Kittitas
1919,M,4,20,20,22,25,35,34,16,10,7,-27,M,Kittitas
1920,4,9,15,22,25,28,38,35,31,19,12,M,M,Kittitas
1921,-4,3,20,20,27,35,34,35,24,18,10,M,M,Kittitas
1922,-17,-11,2,20,23,33,39,38,30,23,13,-16,M,Kittitas
1923,M,M,12,26,28,30,45,39,29,19,22,-4,M,Kittitas
1924,-19,15,19,18,26,37,40,32,27,22,16,-8,M,Kittitas
