Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1972-1973,M,M,M,M,M,M,M,M,M,M,M,M,M,Mason
1973-1974,0,0,0,0,3,0,5.3,0,T,0,0,0,8.3,Mason
1974-1975,0,0,0,0,0,0,9.8,M,M,T,0,0,M,Mason
1975-1976,0,0,0,0,M,M,M,M,0,0,0,0,M,Mason
1976-1977,0,0,0,0,0,0,M,1,0,0,0,0,M,Mason
1977-1978,0,0,0,0,M,T,0,0,0,0,0,0,M,Mason
1978-1979,0,0,0,0,0,0,1,0.5,0,0,0,0,1.5,Mason
1979-1980,0,0,0,0,0,0,11.3,M,M,0,0,0,M,Mason
1980-1981,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
1981-1982,0,0,0,0,0,3,4.5,M,0,0,0,0,M,Mason
1982-1983,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
1983-1984,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
1984-1985,0,0,0,0,0,9.7,M,M,0,0,0,0,M,Mason
1985-1986,0,0,0,0,3.5,M,0,0,0,0,0,0,M,Mason
1986-1987,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,Mason
1987-1988,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
1988-1989,0,0,0,0,0,0,0.7,5.1,6,0,0,0,11.8,Mason
1989-1990,0,0,0,0,0,0,2.3,18.7,0,0,0,0,21,Mason
1990-1991,0,0,0,0,0,1.5,2,0,0,0,0,0,M,Mason
1991-1992,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
1992-1993,0,0,0,0,0,4.3,M,0,0,0,0,0,M,Mason
1993-1994,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
1994-1995,0,0,0,0,0,3.3,0,20,0,0,0,0,23.3,Mason
1995-1996,0,0,0,0,0,0,5,0,0,0,0,0,5,Mason
1996-1997,0,0,0,0,0,12,0,0,0,0,0,0,12,Mason
1997-1998,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
1998-1999,0,0,0,0,0,8,0,2.5,M,0,0,0,M,Mason
1999-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
2000-2001,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
2001-2002,M,0,0,0,M,M,M,0,M,0,M,0,M,Mason
2002-2003,0,0,0,0,0,T,0,0,0,0,0,0,T,Mason
2003-2004,0,0,0,0,0,M,M,0,0,0,0,0,M,Mason
2004-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
2005-2006,0,0,0,0,0,0,0,0,T,0,0,0,T,Mason
2006-2007,0,0,0,0,1.5,0,M,0,0,0,0,0,M,Mason
2007-2008,0,0,0,0,0,M,6,2,1,0,0,0,M,Mason
2008-2009,0,0,0,0,0,21.7,7.9,0.3,0,0,0,0,29.9,Mason
2009-2010,0,0,0,0,0,0,0,0,0,0,0,0,0,Mason
2010-2011,0,0,0,0,5.1,0.3,M,M,M,M,M,M,M,Mason
2011-2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Mason
2012-2013,M,M,M,M,M,M,M,M,M,M,M,M,M,Mason
2013-2014,M,M,M,M,M,M,M,M,M,M,M,M,M,Mason
2014-2015,M,M,M,M,M,M,M,M,M,M,M,M,M,Mason
2015-2016,M,M,M,M,M,M,M,M,M,M,M,M,M,Mason
2016-2017,M,M,M,M,M,M,M,M,M,M,M,M,M,Mason
2017-2018,M,M,M,M,M,M,M,M,M,M,M,M,M,Mason
2018-2019,M,M,M,M,M,M,M,M,M,M,M,M,M,Mason
2019-2020,M,M,M,M,M,M,M,M,M,M,M,M,M,Mason
