Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1905-1906,M,M,M,M,M,M,M,M,0.5,M,M,M,M,Okanogan
1906-1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Okanogan
1907-1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Okanogan
1908-1909,M,M,M,M,M,M,M,M,M,M,M,M,M,Okanogan
1909-1910,M,M,M,M,M,23,17,19.5,M,M,M,M,M,Okanogan
1910-1911,M,M,M,M,28,6,M,14.1,T,0,M,M,M,Okanogan
1911-1912,M,M,M,M,M,M,24.5,M,4,M,0,M,M,Okanogan
1912-1913,0,M,0,13,4.8,M,17.8,5,T,T,M,M,M,Okanogan
1913-1914,M,0,M,2,18.5,12.7,43,M,6,M,M,M,M,Okanogan
1914-1915,0,0,M,M,9,8,24.4,17.7,4,M,0,M,M,Okanogan
1915-1916,M,0,M,T,M,M,M,M,8.1,T,T,M,M,Okanogan
1916-1917,M,M,0,M,15.8,21.5,4.5,17.5,12,2,0,0,M,Okanogan
1917-1918,0,0,0,M,M,21.5,M,6.8,M,M,M,M,M,Okanogan
1918-1919,M,M,M,M,1.5,5.4,M,M,M,0,0,0,M,Okanogan
1919-1920,M,M,M,M,M,M,M,M,T,M,M,M,M,Okanogan
1920-1921,M,M,M,M,5.5,M,M,M,M,M,M,M,M,Okanogan
1921-1922,0,0,0,0,40,17,13,16,16,0,0,0,102,Okanogan
1922-1923,0,0,0,0,9,30,28.5,8,2,T,0,0,77.5,Okanogan
1923-1924,0,0,M,M,4,52,16,15,M,M,M,0,M,Okanogan
1924-1925,M,M,M,2,22,18,38,13.5,T,0,M,M,M,Okanogan
1925-1926,M,M,M,3,9,9,14,14,M,T,M,M,M,Okanogan
1926-1927,M,M,M,M,3.5,17,14.5,19,3,M,M,M,M,Okanogan
1927-1928,M,M,M,M,33,7,4.5,1,M,M,M,M,M,Okanogan
1928-1929,M,M,M,M,5,27.5,10,1,M,M,M,M,M,Okanogan
1929-1930,M,M,M,M,M,23,5,10,M,M,M,M,M,Okanogan
1930-1931,0,0,M,M,5.5,4,M,M,M,M,M,M,M,Okanogan
1931-1932,0,0,M,M,M,M,8,1.5,11.5,T,M,0,M,Okanogan
1932-1933,0,0,M,M,11,20,M,M,3,T,T,0,M,Okanogan
1933-1934,0,0,M,7.5,2,M,M,1,3,0,0,0,M,Okanogan
1934-1935,M,0,0,4,11,25,M,M,12.5,0,0,M,M,Okanogan
1935-1936,M,0,0,0,M,M,M,M,1,0,0,0,M,Okanogan
1936-1937,0,0,0,0,0,13.2,21.2,24.7,10.3,1,0,0,70.4,Okanogan
1937-1938,0,0,0,0,18,M,M,M,7.3,0,0,0,M,Okanogan
1938-1939,0,0,0,0,4.8,M,5.6,10.9,4.2,M,0,0,M,Okanogan
1939-1940,0,0,0,3,0,19.5,14.6,23,2,0,0,0,M,Okanogan
1940-1941,0,0,0,0,14.6,21.6,14.7,0.1,0,0,0,0,51,Okanogan
1941-1942,0,0,0,0,0.5,33,12.3,12.3,0,0,0,0,58.1,Okanogan
1942-1943,0,0,0,0,25.2,43.3,19,18.5,2,0,M,0,M,Okanogan
1943-1944,0,M,0,1.6,T,3.8,6.6,20.9,1.6,0,0,0,M,Okanogan
1944-1945,0,0,0,0,6.1,4.9,M,18.2,1.6,M,0,0,M,Okanogan
1945-1946,0,0,0,3.1,29.3,32.2,34.3,18.1,M,0,0,0,M,Okanogan
1946-1947,0,0,0,1,37.3,18.2,15.8,18.5,0.5,M,0,0,M,Okanogan
1947-1948,0,M,0,0,1.5,M,9.5,22.6,2.7,T,0,0,M,Okanogan
1948-1949,0,0,0,0.5,28.8,48.6,5.2,39.8,3.4,0,0,0,126.3,Okanogan
1949-1950,0,0,0,0,2.8,19.5,24.5,14.7,M,T,0,T,M,Okanogan
1950-1951,0,0,0,0.5,30.8,18.6,41.5,13.6,25.1,0,0,0,M,Okanogan
1951-1952,0,0,0,0,12.8,32.9,46.6,13.2,0.6,0,0,0,106.1,Okanogan
1952-1953,0,0,0,0,T,35.3,46.9,13.1,1.5,0,0,0,96.8,Okanogan
1953-1954,0,T,0,0,8.1,13.6,55.8,8.8,4,T,0,0,90.3,Okanogan
1954-1955,0,0,0,0,1.5,28.4,12.1,14.8,14.2,4.5,0,0,75.5,Okanogan
1955-1956,T,0,0,4,38.7,58.2,31.8,25.4,5.8,0.5,0,0,M,Okanogan
1956-1957,0,0,0,T,11.8,4.3,18.7,9.4,8.4,T,0,0,M,Okanogan
1957-1958,0,0,0,4.1,0.5,34.3,24.9,4.5,0.8,0,0,0,69.1,Okanogan
1958-1959,0,0,0,M,28.8,19.7,37.9,28,1.7,0,T,0,M,Okanogan
1959-1960,0,0,0,1.8,6.5,6.6,12,21.8,7.5,T,0,0,56.2,Okanogan
1960-1961,0,0,0,T,19.9,7.6,16.3,16.8,13.3,0,0,0,73.9,Okanogan
1961-1962,0,0,0,1.2,16,33.2,3.6,4.2,6.6,3.6,0,0,68.4,Okanogan
1962-1963,0,0,0,0,8.9,14.6,0.3,4,T,0,0,0,27.8,Okanogan
1963-1964,0,0,0,0,7.9,20,47.1,1,2.4,T,0,0,M,Okanogan
1964-1965,M,0,0,0,13.7,37.7,24.8,3.3,0,T,0,0,M,Okanogan
1965-1966,0,0,0,0,14,31.3,41,4,11,0,0,0,101.3,Okanogan
1966-1967,0,0,0,T,7.1,10.6,16.5,2.5,4,0,0,0,40.7,Okanogan
1967-1968,0,0,0,T,0.5,20.3,23,3,M,0,0,M,M,Okanogan
1968-1969,0,0,0,0,3.5,62.2,38.5,26.3,2,0,0,0,132.5,Okanogan
1969-1970,0,0,0,0,T,34,44.1,5,M,T,0,0,M,Okanogan
1970-1971,0,0,0,T,19,59,33.5,7.5,18.3,0,0,M,M,Okanogan
1971-1972,0,0,0,3,17.6,62.8,31.3,M,17.5,2,0,M,M,Okanogan
