Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1928-1929,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1929-1930,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1930-1931,0,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1931-1932,M,M,M,M,M,M,16,M,M,M,M,M,M,Pacific
1932-1933,M,M,M,M,M,M,8,M,M,M,M,0,M,Pacific
1933-1934,0,M,M,0,0,0,0,0,0,M,0,M,M,Pacific
1934-1935,M,M,0,0,0,T,15,0,M,0,0,0,M,Pacific
1935-1936,M,M,0,T,0,0,T,M,M,0,M,0,M,Pacific
1936-1937,0,0,0,0,0,T,M,M,0,0,M,0,M,Pacific
1937-1938,M,M,M,M,M,M,M,M,M,M,0,M,M,Pacific
1938-1939,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1939-1940,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1940-1941,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1941-1942,M,M,M,M,M,M,0,T,M,M,M,M,M,Pacific
1942-1943,M,M,M,M,M,M,18,T,M,0,0,0,M,Pacific
1943-1944,0,0,0,0,0,0,T,0,0,0,0,0,T,Pacific
1944-1945,0,0,0,0,0,0,0,0,0,T,0,0,T,Pacific
1945-1946,0,0,0,0,T,0,0,3.5,0,T,0,0,3.5,Pacific
1946-1947,0,0,0,0,T,0,M,0,0,M,M,0,M,Pacific
1947-1948,0,0,0,0,0,0,T,0,0,0,0,0,T,Pacific
1948-1949,0,0,0,M,0,T,7,25,T,0,0,0,M,Pacific
1949-1950,0,0,0,T,0,5.1,39.5,M,T,0,T,0,M,Pacific
1950-1951,0,0,0,0,T,0,T,M,M,0,0,0,M,Pacific
1951-1952,0,0,0,0,0,1,M,T,T,0,0,0,M,Pacific
1952-1953,0,0,0,0,0,T,0,T,0,0,T,0,T,Pacific
1953-1954,0,0,M,0,0,0,M,0,0,0,0,0,M,Pacific
1954-1955,M,M,0,0,M,M,0,M,M,M,M,0,M,Pacific
1955-1956,0,0,0,T,M,M,M,M,M,0,0,0,M,Pacific
1956-1957,0,0,0,T,0,M,M,M,T,0,0,0,M,Pacific
1957-1958,0,0,0,0,0,0,0,T,M,M,M,0,M,Pacific
1958-1959,0,0,0,0,0,0,M,M,M,M,0,0,M,Pacific
1959-1960,0,0,0,0,0,0,M,0,M,T,0,0,M,Pacific
1960-1961,0,0,0,0,0,0,0,T,M,M,0,0,M,Pacific
1961-1962,0,0,0,0,0,M,T,0,M,0,0,0,M,Pacific
1962-1963,0,0,0,0,T,0,M,0,0,0.5,0,0,M,Pacific
1963-1964,0,0,0,0,0,0,M,T,0,T,M,0,M,Pacific
1964-1965,M,0,0,0,M,M,M,M,0,M,M,M,M,Pacific
1965-1966,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
1966-1967,0,M,M,M,M,M,M,M,M,0,M,M,M,Pacific
1967-1968,M,M,M,M,M,M,M,M,0,0.4,0,0,M,Pacific
1968-1969,0,0,0,0,0,5,33.2,M,T,0,0,0,M,Pacific
1969-1970,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific
1970-1971,0,0,0,0,T,5.3,19.2,2.3,2.9,T,0,0,29.7,Pacific
1971-1972,0,0,0,0,0,4,3,T,0.4,T,0,0,7.4,Pacific
1972-1973,0,0,0,0,0,10,1,0,T,0,0,0,11,Pacific
1973-1974,0,0,0,0,T,0,0.1,T,0,0,0,0,0.1,Pacific
1974-1975,0,0,0,0,0,T,3.3,0.6,0,0,0,0,3.9,Pacific
1975-1976,0,0,0,0,0,0,T,0.8,T,T,0,0,0.8,Pacific
1976-1977,0,0,0,0,0,0,0,T,0,0,T,0,T,Pacific
1977-1978,0,0,0,0,T,T,0,0,0,0,0,0,T,Pacific
1978-1979,0,0,0,0,T,2,T,T,T,0,0,0,2,Pacific
1979-1980,0,0,0,0,0,0,7.9,8,0.3,0,0,0,16.2,Pacific
1980-1981,0,0,0,0,0,T,0,0,0,0,0,0,T,Pacific
1981-1982,0,0,0,0,0,0.8,M,T,0,0,0,0,M,Pacific
1982-1983,0,0,0,0,0,0,0,0,0,T,0,0,T,Pacific
1983-1984,0,0,0,0,0,0.6,0,0,0,0,0,0,0.6,Pacific
1984-1985,0,0,0,0,0,2,T,5.5,0,0,0,0,7.5,Pacific
1985-1986,0,0,0,0,5.8,4,0,M,0,0,0,0,M,Pacific
1986-1987,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific
1987-1988,0,0,0,0,0,0,T,0,0,0,0,0,T,Pacific
1988-1989,0,0,0,0,T,0,1.5,M,0,0,0,0,M,Pacific
1989-1990,0,0,0,0,0,0,0,15.5,T,0,0,0,15.5,Pacific
1990-1991,0,0,0,0,0,3.5,0,0,0.5,0.5,0,0,4.5,Pacific
1991-1992,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific
1992-1993,0,0,0,0,0,0,6.4,T,0,0,0,0,6.4,Pacific
1993-1994,0,0,0,0,0,0,0,0.2,T,0,0,0,0.2,Pacific
1994-1995,0,0,0,0,0,3.8,0,4.5,T,0,0,0,8.3,Pacific
1995-1996,0,0,0,0,0,0,1.5,0,0,0,0,0,1.5,Pacific
1996-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific
1997-1998,0,0,0,0,0,0,4.7,0,0,0,0,0,4.7,Pacific
1998-1999,0,0,0,0,0,M,0,1.8,0.8,0,0,0,M,Pacific
1999-2000,0,0,0,0,0,M,T,0,0,0,0,0,M,Pacific
2000-2001,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific
2001-2002,0,0,0,0,0,0,M,0,M,0,0,0,M,Pacific
2002-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific
2003-2004,0,0,0,0,0.1,1,6,0,0,0,0,0,7.1,Pacific
2004-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific
2005-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific
2006-2007,0,0,0,0,M,0,0,0,0,M,0,0,M,Pacific
2007-2008,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific
2008-2009,0,0,0,0,0,23,0,0,0,0,M,0,M,Pacific
2009-2010,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific
2010-2011,0,0,0,0,0,0,M,M,M,M,M,M,M,Pacific
2011-2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
2012-2013,M,M,M,M,M,M,M,M,M,M,M,M,M,Pacific
