Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1908-1909,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1909-1910,M,M,M,M,3,M,15,21.8,T,4.5,0,0,M,Pend Oreille
1910-1911,0,0,M,M,9.8,12,23.5,16.5,1,1.5,M,M,M,Pend Oreille
1911-1912,M,M,M,M,17.5,33,13.5,9.5,5,M,0,M,M,Pend Oreille
1912-1913,M,M,M,M,1,24,37.5,2.5,6,0.5,M,M,M,Pend Oreille
1913-1914,0,M,M,2,5.5,7,17,12,3,M,0,M,M,Pend Oreille
1914-1915,0,M,0,M,M,12.5,9,3.5,M,5,0,0,M,Pend Oreille
1915-1916,M,0,M,0,26,27,19.4,15,23,1,T,T,M,Pend Oreille
1916-1917,M,M,0,T,20.7,16,18,M,21.5,3,0,0,M,Pend Oreille
1917-1918,0,M,M,T,M,17.5,10,20,3.5,M,T,M,M,Pend Oreille
1918-1919,M,M,M,M,1,15,3.5,M,10.5,T,0,0,M,Pend Oreille
1919-1920,0,0,M,7,18,4,6,M,M,M,M,M,M,Pend Oreille
1920-1921,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1921-1922,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1922-1923,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1923-1924,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1924-1925,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1925-1926,M,M,M,M,M,M,M,M,M,M,M,M,M,Pend Oreille
1926-1927,M,M,0,M,M,10,M,M,1,0,0,0,M,Pend Oreille
1927-1928,0,0,0,T,5.5,M,M,3.5,1.5,T,T,T,M,Pend Oreille
1928-1929,0,0,0,0,0,0.2,M,M,M,0,M,0,M,Pend Oreille
1929-1930,M,M,M,M,M,M,M,M,M,M,0,0,M,Pend Oreille
1930-1931,0,0,0,0,M,M,M,8.7,1.5,0,0,0,M,Pend Oreille
1931-1932,0,0,0,0,11,30.6,26.2,17.6,10.9,T,0,0,96.3,Pend Oreille
1932-1933,0,0,0,1,0,23,41,19,4,4.5,0,0,92.5,Pend Oreille
1933-1934,0,0,0,2,0,16,15.5,3,0,0,0,0,36.5,Pend Oreille
1934-1935,0,0,0,2,T,16,M,6.8,M,0,0,0,M,Pend Oreille
1935-1936,0,0,0,0,T,4,T,6,0,0,0,0,10,Pend Oreille
1936-1937,0,0,0,0,0,0,0,0,0,0,0,0,0,Pend Oreille
1937-1938,0,0,0,0,0,0,0,0,T,0,0,0,T,Pend Oreille
1938-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,Pend Oreille
1939-1940,0,0,0,0,0,0,M,M,T,0,M,0,M,Pend Oreille
1940-1941,0,0,0,0,13.8,M,M,M,0,0,0,0,M,Pend Oreille
1941-1942,0,0,0,0,0,7.1,M,10,3,T,T,0,M,Pend Oreille
1942-1943,0,0,0,0,13.2,M,M,M,M,0,0,0,M,Pend Oreille
1943-1944,0,0,0,T,0,2,M,M,5,0,0,0,M,Pend Oreille
1944-1945,0,M,0,0,4,12,7,1,5.5,1,0,0,M,Pend Oreille
1945-1946,0,0,0,T,8.1,9.5,16,11.5,2,2,0,0,49.1,Pend Oreille
1946-1947,0,0,0,0.8,13.8,15.9,17.5,1,1,0,0,0,50,Pend Oreille
1947-1948,0,0,0,0,4.5,8.9,15.6,14,1,0,0,0,44,Pend Oreille
1948-1949,0,0,0,T,14,33,7,38.8,11,0,0,0,103.8,Pend Oreille
1949-1950,0,M,0,0.2,T,28.9,65.8,18,7.1,2.7,0,0,M,Pend Oreille
1950-1951,T,0,0,0,18.6,17.5,43,15.4,17,0,0,0,111.5,Pend Oreille
1951-1952,0,0,0,4,1,48,41.7,13.5,10.4,T,0,0,118.6,Pend Oreille
1952-1953,0,0,0,0,T,29,22,7.5,6.5,T,T,0,65,Pend Oreille
1953-1954,0,0,0,0,1,12,67.3,10,0.1,0,T,0,90.4,Pend Oreille
1954-1955,0,0,0,0,T,18,28.8,27.1,13.2,4.8,M,T,M,Pend Oreille
1955-1956,0,0,0,0,27.3,M,40.2,24.7,14.5,2,0,0,M,Pend Oreille
1956-1957,0,0,0,4,4,16.8,41,24,19.5,0,0,0,109.3,Pend Oreille
1957-1958,0,0,0,10,6,M,14.8,2.5,2.5,T,0,0,M,Pend Oreille
1958-1959,0,0,0,0,16,19,25,18.7,M,0,T,0,M,Pend Oreille
1959-1960,0,0,0,0,18.9,11,23,8,8.5,T,0,0,69.4,Pend Oreille
1960-1961,0,0,0,0,14.5,16,9.5,17.5,10,0,0,0,67.5,Pend Oreille
1961-1962,0,0,0,0.5,23,37.7,21.5,1,6.1,T,0,0,89.8,Pend Oreille
1962-1963,0,0,0,0,2,5.5,M,12.1,0.5,0,0,0,M,Pend Oreille
1963-1964,0,0,0,0,T,23,33.2,5.3,14.5,T,0,0,76,Pend Oreille
1964-1965,0,0,0,0,8,41,34,5,0,0,0,0,88,Pend Oreille
1965-1966,0,0,0,0,6,26.8,19.6,4.5,4,0,0,0,60.9,Pend Oreille
1966-1967,0,0,0,0,3.5,5.7,14.5,8.5,4.8,0,0,0,37,Pend Oreille
1967-1968,0,0,0,0,11.8,13,21.6,2.3,2,0,0,0,50.7,Pend Oreille
1968-1969,0,0,0,0,3.7,25.9,73,9.2,0.5,0,0,0,112.3,Pend Oreille
1969-1970,0,0,0,0,0.3,7.7,34.3,1.6,10.8,0,0,0,54.7,Pend Oreille
1970-1971,0,0,0,0,5.6,31.7,20.1,17.2,5.1,0,0,0,79.7,Pend Oreille
1971-1972,0,0,0,1.9,6.8,41.6,22.9,6.4,4,T,0,0,83.6,Pend Oreille
1972-1973,0,0,0,T,3,8.8,12.9,5.2,0.5,T,0,0,30.4,Pend Oreille
1973-1974,0,0,0,0,30.4,7.7,17.8,7,3.5,0.2,0,0,66.6,Pend Oreille
1974-1975,0,0,0,0,0.1,14.1,24.8,26.2,5.7,0.6,0,0,71.5,Pend Oreille
1975-1976,0,0,0,T,13.8,1.9,15.6,13.7,5.5,0.5,0,0,51,Pend Oreille
1976-1977,0,0,0,0,T,4.5,9.5,2.5,3.1,0,0,0,19.6,Pend Oreille
1977-1978,0,0,0,0,5.5,37.6,20.6,15.3,0.3,T,0,0,79.3,Pend Oreille
1978-1979,0,0,0,T,12.9,20.1,19.6,21.1,1.5,0,0,0,75.2,Pend Oreille
1979-1980,0,0,0,T,5.1,13.8,20.8,5.7,6,T,0,0,51.4,Pend Oreille
1980-1981,0,0,0,0,2,21.9,1.2,5.2,0,0.4,0,0,30.7,Pend Oreille
1981-1982,0,0,0,0,0,13.8,40.2,18.7,0.2,T,0,0,72.9,Pend Oreille
1982-1983,0,0,0,0,3.3,32.9,12.7,6.2,T,T,0,0,55.1,Pend Oreille
1983-1984,0,0,0,0,1,25.1,10.3,2.8,M,T,0,0,M,Pend Oreille
1984-1985,0,0,0,1.4,24.3,47.7,3,33.4,10.6,T,T,0,120.4,Pend Oreille
1985-1986,0,0,0,T,15.5,9.4,27.5,17,T,2.5,T,0,71.9,Pend Oreille
1986-1987,0,0,0,0,0.8,15.6,15.5,3.3,0.3,T,0,0,35.5,Pend Oreille
1987-1988,0,0,0,0,1.1,28.1,11.7,6.8,T,0,0,0,47.7,Pend Oreille
1988-1989,0,0,0,0,1.5,31.5,23,22.9,3.1,0,0,0,82,Pend Oreille
1989-1990,0,0,0,0,M,M,M,35.3,M,0,0,0,M,Pend Oreille
1990-1991,0,0,0,0,M,M,23,0,16,T,0,0,M,Pend Oreille
1991-1992,0,0,0,0,M,4.2,22.8,1,0,0,0,0,M,Pend Oreille
1992-1993,0,0,0,0,M,39.2,15.5,14.5,1.5,0,0,0,M,Pend Oreille
1993-1994,0,0,0,0,M,M,7.2,5,0,0,0,0,M,Pend Oreille
