Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1908-1909,M,M,M,M,M,M,43.4,44.7,17.6,6,9.2,0,M,Pierce
1909-1910,M,M,M,M,21.1,22.2,M,M,M,M,M,M,M,Pierce
1910-1911,M,M,M,M,M,M,M,M,M,M,M,M,M,Pierce
1911-1912,M,M,M,M,M,M,M,M,M,M,M,M,M,Pierce
1912-1913,M,M,M,0,M,M,94,32,M,M,M,M,M,Pierce
1913-1914,M,M,0,1,M,M,M,31.8,32,11.3,T,0.5,M,Pierce
1914-1915,M,0,0,0,22,5,24.7,14,T,T,T,0,M,Pierce
1915-1916,0,0,0,T,45.5,48.8,72.4,61.9,65.5,14,19,0,327.1,Pierce
1916-1917,0,0,0,3,18,63,68.2,35,95,16,1,0,299.2,Pierce
1917-1918,0,0,0,1,1,28,39.5,34.7,19.5,12,3,0,138.7,Pierce
1918-1919,0,0,0,T,24,22,15,51,66.5,10,4,0,192.5,Pierce
1919-1920,0,0,0,7,18,10,9,8.5,M,49.5,2,0,M,Pierce
1920-1921,0,0,0,5,7.5,76,84,22,30.5,20.5,3,0,M,Pierce
1921-1922,T,0,0,0,M,17.5,48.5,36.5,62.5,48,6,0,M,Pierce
1922-1923,0,0,0,T,7.5,86,78.5,41.5,M,12,3,M,M,Pierce
1923-1924,0,0,M,M,2,55,27,4,34,8,T,T,M,Pierce
1924-1925,M,M,M,3,41,21,M,20,9,T,0,M,M,Pierce
1925-1926,M,M,M,M,0.4,12,23,25,T,T,M,M,M,Pierce
1926-1927,M,M,M,T,5,M,44,28,32,16,1,M,M,Pierce
1927-1928,M,M,M,T,10,48,18,9,28,13,2,M,M,Pierce
1928-1929,M,M,M,M,M,38,65,27,17,22,2,M,M,Pierce
1929-1930,M,M,M,M,2,41,31,17,16,M,2,M,M,Pierce
1930-1931,0,M,M,M,33,16,M,13.2,7,9,2,0,M,Pierce
1931-1932,0,0,0,2,33,41,45,63,33,13,0,0,230,Pierce
1932-1933,0,0,0,T,7,52,99,71,24,8,0,T,261,Pierce
1933-1934,0,0,T,0,T,30,11,T,0,7,0,0,48,Pierce
1934-1935,0,0,0,T,15,55,59,15,53,16,0,0,213,Pierce
1935-1936,0,0,0,5.5,6,5,28.5,46.7,63,4,T,0,158.7,Pierce
1936-1937,0,0,0,0,T,28.5,61.5,69,9,28,T,0,196,Pierce
1937-1938,0,0,0,0,2,61.5,16,36,50,T,8,0,173.5,Pierce
1938-1939,0,0,0,0,26,27,41,69,34,T,T,0,197,Pierce
1939-1940,0,0,0,T,0,2,19,23,5.5,1,0,0,50.5,Pierce
1940-1941,0,0,0,0,13,8,9.5,0.5,1,3,T,0,35,Pierce
1941-1942,0,0,0,T,0.2,24,M,24.8,26.1,8.1,1,0,M,Pierce
1942-1943,0,0,0,M,50,M,M,M,M,M,1,0,M,Pierce
1943-1944,0,0,0,1,1.1,2.5,M,M,M,3.8,0.7,0,M,Pierce
1944-1945,0,0,0,0,M,M,M,M,40,M,0,0,M,Pierce
1945-1946,0,0,0,M,M,33,76.5,48.2,M,M,0,0,M,Pierce
1946-1947,0,0,0,12,19.8,31,60.5,8,T,8.5,0,0,139.8,Pierce
1947-1948,0,0,0,0,7,30,44,56,42.5,16.5,1,0,197,Pierce
