Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1895-1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
1896-1897,M,M,M,M,6,M,3,T,M,M,M,M,M,Skagit
1897-1898,M,M,M,M,T,1.5,T,M,M,M,M,M,M,Skagit
1898-1899,M,M,M,M,M,3,9,M,M,M,M,M,M,Skagit
1899-1900,M,M,M,M,0,M,0,2.3,M,T,M,M,M,Skagit
1900-1901,0,M,M,0,M,M,7.7,M,M,M,0,0,M,Skagit
1901-1902,0,0,0,0,0,0,M,0,M,0,0,0,M,Skagit
1902-1903,0,0,0,0,T,T,5,T,10,T,0,M,M,Skagit
1903-1904,M,M,0,0,T,0,7,12.2,7.8,M,0,0,M,Skagit
1904-1905,M,M,0,0,M,3,M,0,0,0,M,M,M,Skagit
1905-1906,M,M,M,M,0,M,M,M,M,M,M,M,M,Skagit
1906-1907,M,M,M,M,M,0,5.3,1.5,M,M,0,M,M,Skagit
1907-1908,M,M,M,M,0,M,M,M,M,M,M,M,M,Skagit
1908-1909,M,M,M,M,M,M,M,T,M,M,0,M,M,Skagit
1909-1910,M,M,M,M,M,4,M,10.3,0,0,0,0,M,Skagit
1910-1911,0,M,M,M,0,1.5,16.5,M,M,M,M,M,M,Skagit
1911-1912,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
1912-1913,0,M,0,M,M,M,12,M,0,M,M,M,M,Skagit
1913-1914,M,M,M,M,2.6,0,1,M,0,M,0,M,M,Skagit
1914-1915,M,0,M,M,M,0.5,M,M,0,M,M,M,M,Skagit
1915-1916,M,M,0,M,0,0.5,10,M,M,0,M,0,M,Skagit
1916-1917,M,M,M,M,0,2.5,13.6,5.5,M,0,M,M,M,Skagit
1917-1918,M,0,0,0,0,0,M,1.2,0,0,M,0,M,Skagit
1918-1919,M,M,M,M,0,M,0,1,0,M,M,0,M,Skagit
1919-1920,M,M,0,0,T,0,0,0,M,0,M,M,M,Skagit
1920-1921,0,0,0,0,0,0,M,M,1.5,0,0,M,M,Skagit
1921-1922,0,0,0,0,1.5,0,7.5,M,0,M,0,0,M,Skagit
1922-1923,0,0,0,0,0,M,2.5,M,M,M,0,0,M,Skagit
1923-1924,M,M,M,M,M,M,M,M,M,0,M,0,M,Skagit
1924-1925,M,M,M,M,M,M,0,0,0,0,0,M,M,Skagit
1925-1926,M,M,M,M,M,M,0,M,M,M,M,M,M,Skagit
1926-1927,M,M,M,M,0,5.5,M,M,M,M,M,M,M,Skagit
1927-1928,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
1928-1929,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
1929-1930,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
1930-1931,0,M,M,M,M,M,0,0,0,0,0,0,M,Skagit
1931-1932,0,0,0,0,0,3,3,0.5,0,0,0,0,6.5,Skagit
1932-1933,0,0,0,0,0,0,6.5,2.5,0,0,0,0,9,Skagit
1933-1934,0,0,0,0,0,5.3,0,0,0,0,0,0,5.3,Skagit
1934-1935,0,0,0,0,0,0.5,M,0,0,0,0,0,M,Skagit
1935-1936,0,0,0,0,0,0,0,M,11,0,0,0,M,Skagit
1936-1937,0,0,0,0,0,1,M,M,0,0,0,0,M,Skagit
1937-1938,0,0,0,0,10.1,19.3,M,0,0,0,0,0,M,Skagit
1938-1939,0,0,0,0,2,M,0,2.2,0,0,0,0,M,Skagit
1939-1940,0,0,0,0,0,0,0,0,0,0,0,0,0,Skagit
1940-1941,0,0,0,0,0,T,0,0,0,0,0,0,T,Skagit
1941-1942,0,0,0,0,0,0,2.3,0,T,0,0,0,2.3,Skagit
1942-1943,0,0,0,0,0,1.5,3,0,M,T,0,0,M,Skagit
1943-1944,0,0,0,0,0,0,0,0,T,0,0,0,T,Skagit
1944-1945,0,0,0,0,0,0,0,T,0,0,0,0,T,Skagit
1945-1946,0,0,0,0,0,0,T,4,0,0,0,0,4,Skagit
1946-1947,0,0,0,0,7,3,18.5,0.2,0,0,0,0,28.7,Skagit
1947-1948,0,0,0,0,0,0,0,T,T,T,0,0,T,Skagit
1948-1949,0,0,0,0,T,2,6.4,12.5,0,T,0,T,20.9,Skagit
1949-1950,0,0,0,0,0,7.5,33.5,0,T,T,T,0,41,Skagit
1950-1951,0,0,0,0,1,0,0.5,2,35.5,0,0,0,39,Skagit
1951-1952,0,0,0,0,0,18,6,T,T,T,0,0,24,Skagit
1952-1953,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,Skagit
1953-1954,0,0,0,0,0,0,16.8,0,T,T,0,0,16.8,Skagit
1954-1955,0,0,0,0,0,1,0,3,7.5,T,0,0,11.5,Skagit
1955-1956,0,0,0,0,T,4.1,1,15,4,0,0,0,24.1,Skagit
1956-1957,0,0,0,0,0,0.5,17.5,M,0,0,0,0,M,Skagit
1957-1958,0,0,0,0,0,0,0,0,0,0,0,0,0,Skagit
1958-1959,0,0,0,0,0,0,3,1,1,0,0,0,5,Skagit
1959-1960,0,0,0,0,0,T,4,0,6.5,0,0,0,10.5,Skagit
1960-1961,0,0,0,0,0,0,0,0,0,0,0,0,0,Skagit
1961-1962,0,0,0,0,0,1,0.5,T,15,0,0,0,16.5,Skagit
1962-1963,0,0,0,0,T,0,5,0.5,0,0,0,0,5.5,Skagit
1963-1964,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,Skagit
1964-1965,0,0,0,0,M,8.1,9,T,1,0,0,0,M,Skagit
1965-1966,0,0,0,0,0,4.3,7,1,3.5,T,0,0,15.8,Skagit
1966-1967,0,0,0,0,0,0.5,1.5,0,0,0,0,0,2,Skagit
1967-1968,0,0,0,0,0,1,1,0,0,1,0,0,3,Skagit
1968-1969,0,0,0,0,0,5,10,4.3,0,0,0,0,19.3,Skagit
1969-1970,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,Skagit
1970-1971,0,0,0,0,0,0.8,13.6,8.6,0.5,0,0,0,23.5,Skagit
1971-1972,0,0,0,0,0,11.5,2,T,T,0,0,0,13.5,Skagit
1972-1973,0,0,0,0,0,6,1,0,0,0,0,0,7,Skagit
1973-1974,0,0,0,0,1,0,1.5,0,3.1,0,0,0,5.6,Skagit
1974-1975,0,0,0,0,0,T,3.5,0.5,0,0,0,0,4,Skagit
1975-1976,0,0,0,0,4,1.5,0,M,0,T,0,0,M,Skagit
1976-1977,0,0,0,0,0,0,0,0,T,0,0,0,T,Skagit
1977-1978,0,0,0,0,0,T,3,0,0,0,0,0,3,Skagit
1978-1979,0,0,0,0,0,M,T,1,0,0,0,0,M,Skagit
1979-1980,0,0,0,0,0,0,8,0,0,0,0,0,8,Skagit
1980-1981,0,0,0,0,0,4.5,0,0,0,0,0,0,4.5,Skagit
1981-1982,0,0,0,0,0,0,6,0,0,0,0,0,6,Skagit
1982-1983,M,0,0,0,0.5,0,0,0,0,0,0,0,M,Skagit
1983-1984,0,0,0,0,0,0.6,0,0,0,0,0,0,0.6,Skagit
1984-1985,0,0,0,0,0,9,0,3.5,0,0,0,0,12.5,Skagit
1985-1986,0,0,0,0,16.2,0,0,3.2,0,0,0,0,19.4,Skagit
1986-1987,0,0,0,0,0,0,0,0,0,0,0,0,0,Skagit
1987-1988,0,0,0,0,0,0.5,0,1,0,0,0,0,1.5,Skagit
1988-1989,0,0,0,0,0,0,2.5,1,10.8,0,0,0,M,Skagit
1989-1990,0,0,0,0,0,0,0,9.5,0,0,0,0,9.5,Skagit
1990-1991,0,0,0,0,0,11.2,3,0.5,0,0,0,0,14.7,Skagit
1991-1992,0,0,0,2,0,0,0,0,0,0,0,0,2,Skagit
1992-1993,0,0,0,0,0,11,3,2,0,0,0,0,16,Skagit
1993-1994,0,0,0,0,0,0,0,T,0,0,0,0,T,Skagit
1994-1995,0,0,0,0,T,T,0,T,T,0,0,0,T,Skagit
1995-1996,M,M,M,0,0,0,2.1,0,0,0,0,0,M,Skagit
1996-1997,0,0,0,0,3.5,18.5,0,0,0.3,0,0,0,22.3,Skagit
1997-1998,0,0,0,0,0,0,M,0,0,0,0,0,M,Skagit
1998-1999,0,0,0,0,0,0,0,T,0,0,0,0,T,Skagit
1999-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,Skagit
2000-2001,0,0,0,0,0,T,0,T,0,0,0,0,T,Skagit
2001-2002,0,0,0,0,0,0,0.9,0,6.5,0,0,0,M,Skagit
2002-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,Skagit
2003-2004,0,0,0,0,0,0,3.8,0,0,0,0,0,M,Skagit
2004-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,Skagit
2005-2006,0,0,0,0,0,T,0,0.9,0,0,0,0,0.9,Skagit
2006-2007,0,0,0,0,8.6,0,0.3,0.8,0,0,0,0,9.7,Skagit
2007-2008,0,0,0,0,0,0.3,0.1,0.3,0.1,0,0,0,0.8,Skagit
2008-2009,0,0,0,0,0,30.5,2.4,0,1,0,M,0,M,Skagit
2009-2010,0,0,0,0,0,2.2,0,0,0,0,0,0,2.2,Skagit
2010-2011,0,0,0,0,1.8,0,M,M,M,M,M,M,M,Skagit
2011-2012,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2012-2013,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2013-2014,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2014-2015,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2015-2016,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2016-2017,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2017-2018,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2018-2019,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2019-2020,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
2020-2021,M,0,M,M,M,M,M,M,M,M,M,M,M,Skagit
2021-2022,M,M,M,M,M,M,M,M,M,M,M,M,M,Skagit
