Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1926-1927,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1927-1928,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1928-1929,M,M,M,M,M,M,M,T,M,M,M,M,M,Skamania
1929-1930,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1930-1931,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1931-1932,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1932-1933,M,M,M,M,M,M,M,M,M,M,0,0,M,Skamania
1933-1934,0,0,0,0,M,0,M,0,M,0,M,0,M,Skamania
1934-1935,M,0,0,0,0,M,M,0,M,0,0,0,M,Skamania
1935-1936,0,M,M,2,0,0,M,M,M,0,0,0,M,Skamania
1936-1937,0,M,0,0,0,0,M,M,M,0,0,0,M,Skamania
1937-1938,0,M,M,M,M,M,M,M,M,M,0,M,M,Skamania
1938-1939,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1939-1940,M,M,M,M,M,0,T,0,M,M,M,M,M,Skamania
1940-1941,M,M,M,M,T,M,0,M,M,M,M,M,M,Skamania
1941-1942,M,M,M,M,M,T,M,M,M,M,M,M,M,Skamania
1942-1943,M,M,M,M,M,M,M,M,0,0,0,0,M,Skamania
1943-1944,0,0,0,0,0,0,0,0,0,0,0,0,0,Skamania
1944-1945,0,0,0,0,0,6,M,0,0,M,0,0,M,Skamania
1945-1946,0,0,0,0,M,M,3,M,0,0,0,0,M,Skamania
1946-1947,0,0,0,0,0,M,M,0,M,0,0,0,M,Skamania
1947-1948,M,M,0,0,0,0,M,M,0,0,0,0,M,Skamania
1948-1949,0,0,0,0,0,0,M,M,0,0,0,0,M,Skamania
1949-1950,0,0,0,0,0,0,M,M,0,0,0,0,M,Skamania
1950-1951,0,0,0,0,0,0,M,M,M,0,0,0,M,Skamania
1951-1952,0,0,0,0,0,M,M,M,M,M,M,M,M,Skamania
1952-1953,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1953-1954,0,0,0,T,0,1,111,3.5,1,0,0,0,116.5,Skamania
1954-1955,0,0,0,0,0,0,0,M,M,M,M,M,M,Skamania
1955-1956,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1956-1957,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1957-1958,M,M,M,M,M,M,M,M,M,M,M,M,M,Skamania
1958-1959,M,M,M,M,M,M,M,15.5,0,0,0,0,M,Skamania
1959-1960,0,0,0,0,0,T,19.5,0,M,T,0,0,M,Skamania
1960-1961,0,0,0,0,0.5,1,0,5.5,1.3,T,0,0,8.3,Skamania
1961-1962,0,0,0,0,0,6,2.5,4.5,M,0,0,0,M,Skamania
1962-1963,0,0,0,0,0,T,M,0,M,0,0,0,M,Skamania
1963-1964,0,0,0,0,0,0,M,2,2.5,0,0,0,M,Skamania
1964-1965,0,0,0,0,5.8,31,25,0,2.7,0,0,0,64.5,Skamania
1965-1966,0,0,0,0,0,31,10.3,0.5,8.5,0,0,0,50.3,Skamania
1966-1967,0,0,0,0,0,0.5,3.1,3,7.5,1,0,0,15.1,Skamania
1967-1968,0,0,0,0,1.5,M,24,0,0,0,0,0,M,Skamania
