Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1898-1899,M,M,M,M,M,M,M,M,M,M,T,M,M,Stevens
1899-1900,M,M,M,M,0,20.7,17,15,4,T,0,0,M,Stevens
1900-1901,0,0,0,T,8,4,19,4,6,0.3,0,0,41.3,Stevens
1901-1902,0,M,M,0,5,9.3,0.6,11.2,0.4,M,M,M,M,Stevens
1902-1903,M,M,M,M,M,M,M,M,M,0.8,0,M,M,Stevens
1903-1904,M,M,0,0,6.5,9.5,M,32.5,21,0,M,0,M,Stevens
1904-1905,M,M,M,M,3,21.8,10.9,2.8,2,T,M,M,M,Stevens
1905-1906,M,M,M,T,10.5,13.3,14.3,6,1.9,M,M,M,M,Stevens
1906-1907,M,M,M,M,M,30,29.5,M,7.9,T,0,M,M,Stevens
1907-1908,M,M,M,M,M,19.2,22.8,17.8,3.3,M,M,M,M,Stevens
1908-1909,M,M,M,0.4,2.7,19.7,20.4,M,M,0.3,0,M,M,Stevens
1909-1910,0,M,M,M,8.6,M,8,10.5,M,T,0,0,M,Stevens
1910-1911,0,0,M,M,M,M,M,M,M,M,M,M,M,Stevens
1911-1912,M,M,M,0,13.5,M,16,5,1,M,0,M,M,Stevens
1912-1913,0,M,0,M,3,17,M,1,4,M,0,M,M,Stevens
1913-1914,M,0,M,4,8,10.7,17.7,9,3.5,M,0,M,M,Stevens
1914-1915,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1915-1916,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1916-1917,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1917-1918,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1918-1919,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1919-1920,M,M,M,M,M,M,8.5,4.3,3,0,0,0,M,Stevens
1920-1921,0,0,0,0,0.2,8.4,29.1,12,8.3,0,0,0,58,Stevens
1921-1922,0,0,0,0,15.3,3,M,M,7.2,T,0,0,M,Stevens
1922-1923,0,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1923-1924,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1924-1925,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1925-1926,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1926-1927,M,M,M,M,M,M,M,M,M,M,M,M,M,Stevens
1927-1928,M,M,M,0,17,37.3,18,0.6,1,0,0,0,M,Stevens
1928-1929,0,0,0,0,1.5,11,11,5,0,0,0,0,28.5,Stevens
1929-1930,0,0,0,0,0,18,11.5,13,1,0,0,0,43.5,Stevens
1930-1931,0,0,0,2,14.5,7,14.5,6,0,0,0,0,44,Stevens
1931-1932,0,0,0,0,9.5,31.5,19,13.5,11,0,0,0,84.5,Stevens
1932-1933,0,0,0,0,1.5,16.5,33,12,6,0,0,0,69,Stevens
1933-1934,0,0,0,0,0,19.5,M,2,5,0,0,0,M,Stevens
1934-1935,0,0,0,0,3,14,40,2,6,0,0,0,65,Stevens
1935-1936,0,0,0,2,T,11.5,22,17,2,0,0,0,54.5,Stevens
1936-1937,0,0,0,0,1.5,11,32,30,1,0,0,0,75.5,Stevens
1937-1938,0,0,0,0,5,13,19.5,31.5,3,0,0,0,72,Stevens
1938-1939,0,0,0,0,3.5,25,38.5,13.5,10,0,0,0,90.5,Stevens
1939-1940,0,0,0,2,0,2.5,14,9,1,0,0,0,28.5,Stevens
1940-1941,0,0,0,0,13,11,20,5.5,0,0,0,0,49.5,Stevens
1941-1942,0,0,0,0,0,10,3.5,5,0,0,0,0,18.5,Stevens
1942-1943,0,0,0,0,9,27,23,15,0,0,0,0,74,Stevens
1943-1944,0,0,0,0,0,9,13,13.5,T,0,0,0,35.5,Stevens
1944-1945,0,0,0,0,5,7,22,M,M,M,M,0,M,Stevens
1945-1946,0,0,0,0.5,6.7,14,12.7,7.2,0,0,0,0,41.1,Stevens
1946-1947,0,0,0,0,13.4,M,M,M,M,M,M,M,M,Stevens
1947-1948,M,M,M,M,M,M,M,M,M,M,M,0,M,Stevens
1948-1949,0,0,0,M,3.6,21.2,7.8,14.1,0.5,0,T,0,M,Stevens
1949-1950,0,0,0,0,0,18.7,24.3,10,2,0,0,T,M,Stevens
1950-1951,0,0,0,0,9.5,12.5,24,24.4,14.5,0,0,0,84.9,Stevens
1951-1952,0,0,T,T,T,25.7,37.4,3,T,T,T,0,66.1,Stevens
1952-1953,0,0,0,0,0,12.3,17.2,3.3,0,T,T,0,32.8,Stevens
1953-1954,0,0,0,0,0.3,14.9,49.8,6.2,0,T,0,0,71.2,Stevens
1954-1955,0,0,0,0,0,10.6,12.9,13.6,2,0.6,T,0,39.7,Stevens
1955-1956,0,0,0,T,18.7,26.2,16.9,13.5,4.3,M,M,0,M,Stevens
1956-1957,0,0,0,T,7,10.5,21.1,20.7,4.8,0,0,0,64.1,Stevens
1957-1958,0,0,0,M,M,M,M,M,M,M,0,0,M,Stevens
1958-1959,0,0,0,0,M,M,M,M,0,0,M,0,M,Stevens
1959-1960,0,0,0,0,22.5,M,20.6,4.6,2.2,T,0,0,M,Stevens
1960-1961,0,0,0,0,M,5,7.5,M,M,0,0,0,M,Stevens
1961-1962,0,0,0,M,M,34,15.1,M,M,0,0,0,M,Stevens
1962-1963,0,0,0,0,0,1.5,M,M,0,0,0,0,M,Stevens
1963-1964,0,0,0,0,0.5,M,25,0.8,5,0,0,0,M,Stevens
1964-1965,0,0,0,0,5.5,40,35,10.5,1,0,T,0,92,Stevens
1965-1966,0,0,0,0,7.5,24.5,23.5,5,5.5,T,0,0,66,Stevens
1966-1967,0,0,0,0,3,11,24,5,4,0,0,0,47,Stevens
1967-1968,0,0,0,T,8,18,19,4,2,T,0,0,51,Stevens
1968-1969,0,0,0,0,9,42,48.5,11.5,T,T,0,0,111,Stevens
1969-1970,0,0,0,0,0.5,9.5,29.5,2,2.5,4,0,0,48,Stevens
1970-1971,0,0,0,0,7.5,38.5,17,17,7,0,0,0,87,Stevens
1971-1972,0,0,0,1,10,38,18,6,5,T,0,0,78,Stevens
1972-1973,0,0,0,1,7,7,14,3,0,T,0,0,32,Stevens
1973-1974,0,0,0,0,33.5,19,16,8.5,1.5,0,0,0,78.5,Stevens
1974-1975,0,0,0,0,3,33,27.5,28,7,3,0,0,101.5,Stevens
1975-1976,0,0,0,T,13,14.5,26,9,6.5,0,0,0,69,Stevens
1976-1977,0,0,0,0,1,13,10,3,3,0,0,0,30,Stevens
1977-1978,0,0,0,0,15,31,21,11.5,0.5,0,0,0,79,Stevens
1978-1979,0,0,0,0,9,17,12,22,2,T,0,0,62,Stevens
1979-1980,0,0,0,T,1.5,13.1,18.2,10.5,M,0,M,M,M,Stevens
1980-1981,M,0,0,0,5,M,0,1,0,T,0,0,M,Stevens
1981-1982,0,0,0,0,0,M,31.3,9,0,0,0,0,M,Stevens
1982-1983,0,0,0,0,2.6,23.5,14.5,6,0,0,0,0,46.6,Stevens
1983-1984,0,0,0,0,M,12.5,15,M,0,0,0,0,M,Stevens
1984-1985,0,0,0,0,22.5,29.5,1.5,13.5,4.5,M,0,0,M,Stevens
1985-1986,0,0,0,0,5,13,19.5,15.5,0,0,0,0,53,Stevens
1986-1987,0,0,0,0,6,12,5,3,T,0,0,0,26,Stevens
1987-1988,0,0,0,0,0.5,15.5,7,10,0,0,0,0,33,Stevens
1988-1989,0,0,0,0,4,20.5,8.5,12,3,0,0,0,48,Stevens
1989-1990,0,0,0,0,1,1.5,12,16,0,0,0,0,30.5,Stevens
