Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1940-1941,M,M,M,M,M,M,M,M,M,M,M,0,M,Thurston
1941-1942,0,0,0,0,0,0,1,T,T,0,0,0,1,Thurston
1942-1943,0,0,0,0,0,T,16,T,T,0,0,0,16,Thurston
1943-1944,0,0,0,0,0,0,T,T,T,0,0,0,T,Thurston
1944-1945,0,0,0,0,0,T,0,T,T,0,0,0,T,Thurston
1945-1946,0,0,0,0,0.7,0,T,T,T,0,0,0,0.7,Thurston
1946-1947,0,0,0,0,12.4,T,7.4,T,0,0,0,0,19.8,Thurston
1947-1948,0,0,0,0,0,T,2,0.7,T,T,0,0,2.7,Thurston
1948-1949,0,0,0,0,T,1,10.8,17.7,T,0,T,0,29.5,Thurston
1949-1950,0,0,T,T,0,5.8,45,0.8,0.3,T,T,0,51.9,Thurston
1950-1951,0,0,0,T,2.3,T,0.9,1.7,20.6,T,T,0,25.5,Thurston
1951-1952,0,0,0,0,0,1.3,16.5,6.8,T,T,T,0,24.6,Thurston
1952-1953,0,0,0,0,T,T,T,1.5,0.1,T,T,0,1.6,Thurston
1953-1954,0,0,0,T,T,T,22.9,0.6,T,0.1,T,0,23.6,Thurston
1954-1955,0,0,0,T,0,1.4,0.4,4,10.5,0.1,0,0,16.4,Thurston
1955-1956,T,0,0,T,10,14.5,4.9,7.7,2.9,0,0,0,40,Thurston
1956-1957,0,0,0,T,0,1.1,12.4,5.5,T,0,0,0,19,Thurston
1957-1958,0,0,0,0,0,T,0,0,0.9,0,0,0,0.9,Thurston
1958-1959,0,0,0,0,0.5,0,5.5,14.1,1,0,0,0,21.1,Thurston
1959-1960,0,0,0,0,0,0.7,7.1,T,8.4,T,0,0,16.2,Thurston
1960-1961,0,0,0,0,8,0,0,0.2,0.5,T,0,0,8.7,Thurston
1961-1962,0,0,0,0,0,1.7,2.1,7.5,4.2,0,0,0,15.5,Thurston
1962-1963,0,0,0,0,T,T,2,T,T,T,0,0,2,Thurston
1963-1964,0,0,0,0,0.1,0,2.4,0,1,0,0,0,3.5,Thurston
1964-1965,0,0,0,0,1.3,16.5,14.8,T,0.2,0,0,0,32.8,Thurston
1965-1966,0,0,0,0,0,14,10.7,2,15.5,0.1,0,0,42.3,Thurston
1966-1967,0,0,0,0,0,1.7,3.3,T,1.1,T,0,0,6.1,Thurston
1967-1968,0,0,0,0,0,7.9,16.9,0,0,T,0,0,24.8,Thurston
1968-1969,0,0,0,0,0,21.4,58.7,1.4,0,0,0,0,81.5,Thurston
1969-1970,0,0,0,0,0,T,3,0,T,0.1,T,0,3.1,Thurston
1970-1971,0,0,0,T,0.4,9,15.4,5.1,6.1,0.1,0,0,36.1,Thurston
1971-1972,0,0,0,T,T,17.2,29.2,2.4,3.6,2.2,0,0,54.6,Thurston
1972-1973,0,0,T,0,0,5.8,2.9,0,T,0,0,0,8.7,Thurston
1973-1974,0,0,0,0,1.9,2.6,4.1,1.1,T,T,T,0,9.7,Thurston
1974-1975,0,0,0,0,T,13.5,7.2,1.5,0.3,T,T,0,22.5,Thurston
1975-1976,0,0,0,T,4.5,3.7,0.6,7.2,T,T,T,T,16,Thurston
1976-1977,0,0,0,0,0,0,1.8,T,0.8,T,T,0,2.6,Thurston
1977-1978,0,0,0,0,3.8,1.6,0,0,T,0,T,0,5.4,Thurston
1978-1979,0,0,0,0,14.8,2.5,0.1,1.5,0,0,0,0,18.9,Thurston
1979-1980,0,0,0,0,T,T,19.7,11.9,4.1,T,0,0,35.7,Thurston
1980-1981,0,0,0,0,T,3,0,0.9,0,0.4,0,0,4.3,Thurston
1981-1982,0,0,0,0,0,2.8,11.8,5.1,1.9,T,0,0,21.6,Thurston
1982-1983,0,0,0,0,T,T,0,0,0,T,0,0,T,Thurston
1983-1984,0,0,0,0,0,4.9,T,0,T,0,T,0,4.9,Thurston
1984-1985,0,0,0,0,T,4.7,T,13.8,T,T,T,0,18.5,Thurston
1985-1986,0,0,0,0,12.3,7.3,0,5.3,0,T,T,0,24.9,Thurston
1986-1987,0,0,0,0,0,0,0,0,0,T,0,0,T,Thurston
1987-1988,0,0,0,0,T,1,T,0.1,0,0.2,T,0,1.3,Thurston
1988-1989,0,0,0,0,T,T,6.8,13.8,9,T,0,T,29.6,Thurston
1989-1990,0,0,0,0,0,0,1.7,27.4,0.2,0,0,0,29.3,Thurston
1990-1991,0,0,0,0,T,2.2,3,0,T,T,T,0,5.2,Thurston
1991-1992,0,0,0,0,0,0,T,0,0,T,0,0,T,Thurston
1992-1993,0,0,0,0,0,9.4,3.8,0.2,0,0,0,0,13.4,Thurston
1993-1994,0,0,0,0,0.5,0,0,0.8,T,T,0,T,1.3,Thurston
1994-1995,0,0,0,0,0.1,6.2,0,2.6,T,T,0,0,8.9,Thurston
1995-1996,0,0,0,0,0,0,3,M,M,0,0,0,M,Thurston
1996-1997,0,0,0,0,M,M,M,M,M,M,M,M,M,Thurston
1997-1998,M,M,M,M,M,M,M,M,M,M,M,M,M,Thurston
1998-1999,M,M,M,M,M,M,M,M,M,M,M,M,M,Thurston
1999-2000,M,M,M,M,M,M,M,M,M,M,M,M,M,Thurston
2000-2001,M,M,M,M,M,M,M,M,0,0,M,0,M,Thurston
2001-2002,0,M,M,M,M,M,M,M,M,M,M,M,M,Thurston
2002-2003,M,M,M,M,M,M,M,M,M,M,M,M,M,Thurston
2003-2004,M,M,M,M,M,M,M,0,0,0,0,0,M,Thurston
2004-2005,0,0,0,0,0,M,0,0,0,0,0,0,M,Thurston
2005-2006,0,0,M,M,0,M,0,M,0.3,0,0,0,M,Thurston
2006-2007,0,0,0,M,M,0,M,M,T,M,0,0,M,Thurston
2007-2008,0,M,M,M,M,M,M,M,M,M,M,M,M,Thurston
2008-2009,M,M,M,M,M,M,M,M,M,M,M,M,M,Thurston
2009-2010,M,0,0,0,0,T,0,0,0,0,0,0,M,Thurston
2010-2011,0,0,0,0,T,0,M,M,0,0,0,M,M,Thurston
2011-2012,0,0,0,0,0.2,0,16.2,T,0.8,0,0,0,17.2,Thurston
2012-2013,0,0,0,0,0,0.3,T,0,0,0,0,0,0.3,Thurston
2013-2014,0,0,0,0,0,T,0,4.2,0,0,0,0,4.2,Thurston
2014-2015,0,0,0,0,T,0,0,0,0,0,0,0,T,Thurston
2015-2016,0,0,0,0,0,T,T,0,0,0,0,0,T,Thurston
2016-2017,0,0,0,0,0,T,M,T,T,0,0,0,M,Thurston
2017-2018,0,0,0,0,T,T,0,M,0,0,0,0,M,Thurston
2018-2019,0,0,0,0,0,0,0,T,M,0,0,0,M,Thurston
2019-2020,0,0,0,0,0,T,T,T,T,0,0,0,T,Thurston
2020-2021,0,0,0,0,0,0,0,M,0,0,0,0,M,Thurston
2021-2022,0,M,0,0,0,T,M,M,M,M,M,M,M,Thurston
