Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1956-1957,M,M,M,M,M,M,M,M,M,0,0,0,M,Walla Walla
1957-1958,0,0,0,0,0,0,T,0,0,0,0,0,T,Walla Walla
1958-1959,0,0,0,0,T,0.5,4.6,5.4,0,0,0,0,10.5,Walla Walla
1959-1960,0,0,0,0,0.2,M,M,0,2,0,0,0,M,Walla Walla
1960-1961,0,0,0,0,0,1.5,0.1,0,0,0,0,0,1.6,Walla Walla
1961-1962,0,0,0,0,3,2,T,0.5,1,0,0,0,6.5,Walla Walla
1962-1963,0,0,0,0,0,0,0.4,0,0,0,0,0,0.4,Walla Walla
1963-1964,0,0,0,0,0,M,0,0,0,0,0,0,M,Walla Walla
1964-1965,0,0,0,0,0,15.7,3.3,0,T,0,0,0,19,Walla Walla
1965-1966,0,0,0,0,0,1,0,0,0,0,0,0,1,Walla Walla
1966-1967,0,0,0,0,0,2.3,0,0,0,0,0,0,2.3,Walla Walla
1967-1968,0,0,0,0,0,2,M,0,0,0,0,0,M,Walla Walla
1968-1969,0,0,0,0,0,5,24,1,0,0,0,0,30,Walla Walla
1969-1970,0,0,0,0,0,0,4,T,0,0,0,0,4,Walla Walla
1970-1971,0,0,0,0,2,0,M,0,0,0,0,0,M,Walla Walla
1971-1972,0,0,0,0,0,5,2,4,0,0,0,0,11,Walla Walla
1972-1973,0,M,0,0,0,M,2,1.5,0,0,0,0,M,Walla Walla
1973-1974,0,0,0,0,M,0.5,M,0,0,0,0,0,M,Walla Walla
1974-1975,0,0,0,0,0,0,T,0.5,0,0,0,0,0.5,Walla Walla
1975-1976,0,0,0,0,M,M,M,M,M,0,0,0,M,Walla Walla
1976-1977,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,Walla Walla
1977-1978,0,0,0,0,M,4,4.3,0,0,0,0,0,M,Walla Walla
1978-1979,0,0,0,0,M,1,M,1,0,0,M,0,M,Walla Walla
1979-1980,M,0,0,0,T,0,M,M,1,0,0,0,M,Walla Walla
1980-1981,0,0,0,0,0,0,0,0,0,0,0,0,0,Walla Walla
1981-1982,0,0,0,0,0,5,6,0,M,0,0,0,M,Walla Walla
1982-1983,0,0,0,0,0,4,M,M,0,0,0,0,M,Walla Walla
1983-1984,0,0,0,0,0,M,M,0,0,0,M,0,M,Walla Walla
1984-1985,0,0,0,0,0,2.3,1.5,3.5,0,0,0,0,M,Walla Walla
1985-1986,0,M,0,0,M,M,M,M,0,0,0,0,M,Walla Walla
1986-1987,0,0,0,0,0,M,M,M,0,0,0,0,M,Walla Walla
1987-1988,0,0,0,0,0,0.1,1.4,0,0,0,0,0,1.5,Walla Walla
1988-1989,0,0,0,0,0,0,4.3,M,M,0,0,0,M,Walla Walla
1989-1990,0,0,0,0,0,0,0,7,0,0,0,0,7,Walla Walla
1990-1991,0,0,0,0,0,M,M,0,T,0,0,0,M,Walla Walla
1991-1992,0,0,M,0,0,0,0,0,M,0,0,0,M,Walla Walla
1992-1993,0,0,0,0,0,M,10.9,M,1.5,0,0,M,M,Walla Walla
1993-1994,0,0,0,0,0,0,0,0,0,0,M,0,M,Walla Walla
1994-1995,0,0,0,0,0,M,0,0,0,0,0,0,M,Walla Walla
1995-1996,0,0,0,0,0,3.6,M,2.3,0,0,0,0,M,Walla Walla
1996-1997,0,0,0,0,2,11,0.1,0,0,0,0,0,13.1,Walla Walla
1997-1998,0,0,0,0,0,1.5,7.8,0,0,0,0,0,9.3,Walla Walla
1998-1999,0,0,0,0,1,1,0,0,0,0,0,0,2,Walla Walla
1999-2000,0,0,0,0,0,0,2.3,0.3,0,0,0,0,2.6,Walla Walla
2000-2001,0,0,0,0,0,3,0,2.5,0,0,0,0,5.5,Walla Walla
2001-2002,0,0,0,0,0,2,M,0,0,0,0,0,M,Walla Walla
2002-2003,0,0,0,0,0,0,0,0,0,0,0,0,0,Walla Walla
2003-2004,0,0,0,0,0,0,M,0,0,0,0,0,M,Walla Walla
2004-2005,0,0,0,0,0,0,M,0,0,M,0,0,M,Walla Walla
2005-2006,0,0,0,0,0,0,M,0,0,0,0,0,M,Walla Walla
2006-2007,0,0,0,0,0,0,M,0,0,0,0,0,M,Walla Walla
2007-2008,0,0,0,0,0,0,0,0,0,0,0,0,0,Walla Walla
2008-2009,0,0,0,0,0,M,0,0,0,0,0,0,M,Walla Walla
2009-2010,0,0,0,0,0,0,0,0,0,0,0,0,0,Walla Walla
2010-2011,0,0,0,0,0,0,M,M,M,M,M,M,M,Walla Walla
2011-2012,0,M,M,M,M,M,M,M,M,M,M,M,M,Walla Walla
2012-2013,M,M,M,M,M,M,M,M,M,M,M,M,M,Walla Walla
2013-2014,M,0,0,M,0,M,M,M,M,M,M,M,M,Walla Walla
2014-2015,M,M,0,0,0,0,M,0,0,M,M,M,M,Walla Walla
2015-2016,0,0,0,0,0,M,0,0,M,0,0,0,M,Walla Walla
2016-2017,0,0,0,0,M,M,M,M,M,M,M,M,M,Walla Walla
2017-2018,M,M,M,M,M,M,M,M,M,M,M,M,M,Walla Walla
2018-2019,M,M,M,M,M,M,M,M,M,M,M,M,M,Walla Walla
2019-2020,M,M,M,M,M,M,M,M,M,M,M,M,M,Walla Walla
2020-2021,M,M,M,M,M,M,M,M,M,M,M,0,M,Walla Walla
2021-2022,0,0,0,0,0,M,0,0,0,0,0,0,M,Walla Walla
