Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1892-1893,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1893-1894,M,M,M,M,M,M,14,4,M,M,M,M,M,Whatcom
1894-1895,M,M,M,M,M,M,11,M,T,M,M,M,M,Whatcom
1895-1896,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1896-1897,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1897-1898,M,M,M,M,M,1.3,2,1.5,2.5,M,M,M,M,Whatcom
1898-1899,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1899-1900,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1900-1901,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1901-1902,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1902-1903,M,M,0,0,0,3,2.2,2.5,6.5,0,0,M,M,Whatcom
1903-1904,M,M,M,0,0.7,0,5.5,10.4,2.7,M,M,0,M,Whatcom
1904-1905,M,0,M,M,0,2,M,0,0,0,M,M,M,Whatcom
1905-1906,M,M,M,M,0.5,T,3.5,M,M,M,M,M,M,Whatcom
1906-1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1907-1908,M,M,M,M,M,M,0.5,1.5,M,0,M,M,M,Whatcom
1908-1909,M,M,M,M,M,M,8.5,M,M,0,M,0,M,Whatcom
1909-1910,M,M,M,M,0,2.5,4.5,14.5,0,0,0,M,M,Whatcom
1910-1911,0,M,M,M,2,M,7.5,20,M,M,M,M,M,Whatcom
1911-1912,M,M,M,M,5,3.5,9.1,M,M,0,M,M,M,Whatcom
1912-1913,M,M,M,M,M,M,27,M,0.1,0,M,M,M,Whatcom
1913-1914,M,M,M,M,M,M,M,2.5,3,M,M,M,M,Whatcom
1914-1915,M,M,M,0,0.5,T,M,M,0,M,M,0,M,Whatcom
1915-1916,M,0,M,M,M,1.5,16,19,4,0,M,M,M,Whatcom
1916-1917,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1917-1918,M,M,M,M,0,1,1.5,0.1,T,0,M,M,M,Whatcom
1918-1919,M,M,M,M,M,M,T,8.3,0.4,0,M,M,M,Whatcom
1919-1920,M,0,M,T,2,2,2.5,0,0,0,M,0,M,Whatcom
1920-1921,0,M,0,0,0,M,M,M,8,0,M,0,M,Whatcom
1921-1922,0,M,0,0,M,0,2,5,2,0,0,0,M,Whatcom
1922-1923,0,M,0,0,0,M,M,12.2,0,M,M,M,M,Whatcom
1923-1924,M,M,M,M,M,T,M,M,M,0,M,0,M,Whatcom
1924-1925,M,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1925-1926,M,M,M,M,M,0,0,M,0,T,M,M,M,Whatcom
1926-1927,M,M,M,M,T,2.5,5,M,M,M,M,M,M,Whatcom
1927-1928,M,M,M,M,7,15.5,2.5,M,M,M,M,M,M,Whatcom
1928-1929,M,M,M,M,M,M,2.2,M,M,M,M,M,M,Whatcom
1929-1930,M,M,M,M,M,7.5,4.5,T,T,M,M,M,M,Whatcom
1930-1931,0,M,M,M,M,M,M,M,M,M,M,M,M,Whatcom
1931-1932,M,M,M,M,3.3,7,6.2,2.5,2.5,M,M,M,M,Whatcom
