Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1945-1946,M,M,M,M,M,M,M,M,M,M,M,M,M,Yakima
1946-1947,M,M,M,T,11.7,T,2.4,T,T,0,0,0,M,Yakima
1947-1948,0,0,0,0,1.1,1,2.3,6.9,T,T,0,0,11.3,Yakima
1948-1949,0,0,0,0,3,15,2.5,16.5,1,0,0,0,38,Yakima
1949-1950,0,0,0,0,0,1.3,26.6,8.4,T,0,0,0,36.3,Yakima
1950-1951,0,0,0,T,4.6,5.3,13.9,3.3,9.9,0,0,T,37,Yakima
1951-1952,0,0,0,0,T,4.9,15.1,3,0.8,0,0,0,23.8,Yakima
1952-1953,0,T,0,0,0.8,9.4,4.7,0,T,0,0,0,14.9,Yakima
1953-1954,0,T,0,0,T,0.5,21.8,3,T,T,0,0,25.3,Yakima
1954-1955,0,0,0,0,0,3.2,6.6,1.8,3.6,T,0,T,15.2,Yakima
1955-1956,0,0,0,0.5,21.2,19,26.2,8,T,0,0,0,74.9,Yakima
1956-1957,0,0,0,T,0.2,4.5,9.1,3.7,6.7,0,0,0,24.2,Yakima
1957-1958,0,0,0,0.4,0,1.3,0.4,T,T,0,0,0,2.1,Yakima
1958-1959,0,0,0,0,T,1.1,5.3,9.3,0,T,0,0,15.7,Yakima
1959-1960,0,0,0,0,0.7,1.9,7.6,1.2,6.1,T,T,0,17.5,Yakima
1960-1961,0,0,0,0,T,3.8,1.7,T,4.2,T,T,0,9.7,Yakima
1961-1962,0,0,0,0,1,10.8,2.2,3.6,2.8,0,0,0,20.4,Yakima
1962-1963,0,0,0,0,0,0.5,14.5,0.6,T,T,0,0,15.6,Yakima
1963-1964,0,0,0,0,0,5.9,4.3,T,T,T,0,0,10.2,Yakima
1964-1965,0,0,0,0,1.6,37.5,12.1,0.1,1,0,T,0,52.3,Yakima
1965-1966,0,0,0,0,1.4,14,14.6,0.8,1.1,0,0,0,31.9,Yakima
1966-1967,0,0,0,0,T,5.4,1,0,T,T,0,0,6.4,Yakima
1967-1968,0,0,0,0,2,4.7,11.1,0.4,0,T,0,0,18.2,Yakima
1968-1969,0,0,0,0,T,15.3,20.2,5.5,T,0,0,0,41,Yakima
1969-1970,0,0,0,0,T,9,15,0.5,T,0,0,0,24.5,Yakima
1970-1971,0,0,0,0,2.9,14.3,10.8,T,10.8,0,0,0,38.8,Yakima
1971-1972,0,0,0,1.1,0,14.7,10.1,3.6,5.5,T,0,0,35,Yakima
1972-1973,0,0,0,0,T,4.8,8.7,2.7,T,0,0,0,16.2,Yakima
1973-1974,0,0,0,2.4,7.5,18.6,6.1,0,0.6,0,T,0,35.2,Yakima
1974-1975,0,0,0,0,0,1.6,16.4,10.8,2.3,T,0,0,31.1,Yakima
1975-1976,0,0,0,0,2.4,4.7,5.4,5.2,T,0,0,0,17.7,Yakima
1976-1977,0,0,0,0,T,0.7,3.2,T,T,0,0,0,3.9,Yakima
1977-1978,0,0,0,0,3.6,6.6,3,2.8,0.9,T,T,0,16.9,Yakima
1978-1979,0,0,0,0,5.8,0.8,13.1,1.9,T,0,0,0,21.6,Yakima
1979-1980,0,0,0,0,9.3,11.4,17.6,7.6,1.7,T,0,0,47.6,Yakima
1980-1981,0,0,0,0,0.4,7.5,1,3.1,0,0,0,0,12,Yakima
1981-1982,0,0,0,0,0,20.6,5.6,0.1,1.9,T,0,0,28.2,Yakima
1982-1983,0,0,0,0,0.6,13.2,5,3.1,0,T,0,0,21.9,Yakima
1983-1984,0,0,0,0,3.7,16.3,1.2,T,0,0,T,0,21.2,Yakima
1984-1985,0,0,0,T,11.5,7.2,0.2,8.6,0.8,0,0,0,28.3,Yakima
1985-1986,0,0,0,T,10,11.5,9.8,7.3,0,0,T,0,38.6,Yakima
1986-1987,0,0,0,0,0.3,9.6,7.8,T,0,0,0,0,17.7,Yakima
1987-1988,0,0,0,0,2,10.6,9.2,T,0,0,0,0,21.8,Yakima
1988-1989,0,0,0,0,T,7.2,0.4,11.4,5,0,0,0,24,Yakima
1989-1990,0,0,0,0,T,0.2,0.4,1.9,T,0,0,0,2.5,Yakima
1990-1991,0,0,0,0,0,1,1.4,T,0.6,T,0,0,3,Yakima
1991-1992,0,0,0,2.9,T,0.6,0.3,0.9,0,T,0,0,4.7,Yakima
1992-1993,0,0,0,0,4.2,30.4,11.6,8.3,5.1,0.2,0,0,59.8,Yakima
1993-1994,0,0,0,T,1.7,3,T,9.5,0.1,T,T,0,14.3,Yakima
1994-1995,0,0,0,0,0.3,5.1,7.2,0.3,0.1,0,0,0,13,Yakima
1995-1996,0,0,0,0,2.6,2.6,12.8,3.2,T,M,M,M,M,Yakima
1996-1997,M,M,M,M,23.5,34.5,3.5,1.9,2.6,0,0,0,M,Yakima
1997-1998,M,M,M,M,M,M,13.3,0,0,0,0,0,M,Yakima
1998-1999,0,0,0,0,T,0.6,2.3,1.5,T,0,0,0,4.4,Yakima
1999-2000,0,0,0,0,0,1.8,17.8,0.8,0,0,0,0,20.4,Yakima
2000-2001,0,0,0,T,3.2,9.9,2.7,4.3,0,0,0,0,20.1,Yakima
2001-2002,0,0,0,0,12.9,9.9,T,0.8,3.4,0,0,0,27,Yakima
2002-2003,0,0,0,T,0,6.9,3,T,0,T,0,0,9.9,Yakima
2003-2004,0,0,0,T,0,11.4,17.6,3.8,0.2,0,0,0,33,Yakima
2004-2005,0,0,0,0,0,5.3,10.1,T,0,0,0,0,15.4,Yakima
2005-2006,0,0,0,0,2.4,3.1,2.1,0.2,T,0,0,0,7.8,Yakima
2006-2007,0,0,0,0,3.7,7,0.6,1.1,1.3,0,0,0,13.7,Yakima
2007-2008,0,0,0,0,9,7.7,7.5,4.4,0.5,T,0,0,29.1,Yakima
2008-2009,0,0,0,0,0,9.4,7.1,1,T,T,0,0,17.5,Yakima
2009-2010,0,0,0,T,1.1,12.7,1.5,0,T,0.8,T,0,16.1,Yakima
2010-2011,0,0,0,0,7.4,13.4,4.4,T,0.9,0,0,0,26.1,Yakima
2011-2012,0,0,0,0,4.2,0.2,16.2,5.1,0.2,0,0,0,25.9,Yakima
2012-2013,0,0,0,0,0.7,M,1.1,0,T,0,0,0,M,Yakima
2013-2014,0,0,0,0,0,T,0.5,17.7,1.7,0,0,0,19.9,Yakima
2014-2015,0,0,0,0,T,T,1.6,0,0,0,0,0,1.6,Yakima
2015-2016,0,0,0,0,T,15.9,11.7,0.8,0,0,0,0,28.4,Yakima
2016-2017,0,0,0,0,T,7.4,19.1,10,T,0,0,0,36.5,Yakima
2017-2018,0,0,0,0,0.4,1.2,T,0.5,0.3,0,0,0,2.4,Yakima
2018-2019,0,0,0,0,T,0.3,2.2,M,M,M,M,M,M,Yakima
