PRISM Time Series Data
Location:  Lat: 46.2398   Lon: -119.5113   Elev: 1070ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2021-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Nov-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1895-01,2.01,21.5,28.9,36.4,22.4,0.44,2.71
1895-02,0.31,30.7,39.2,47.8,27.4,0.88,5.95
1895-03,0.37,32.4,44.2,56.1,28.1,1.19,10.09
1895-04,0.31,38.6,53.0,67.4,32.3,2.08,16.68
1895-05,0.72,45.1,58.6,72.1,37.5,2.62,19.46
1895-06,0.02,51.8,66.8,81.8,40.4,4.52,29.12
1895-07,0.13,55.2,70.5,85.8,44.4,5.05,32.61
1895-08,0.13,55.2,71.4,87.5,43.1,5.28,35.49
1895-09,0.85,46.2,57.6,69.1,40.7,2.24,16.13
1895-10,0.00,37.0,53.3,69.6,34.5,1.15,18.19
1895-11,0.48,29.4,39.6,49.7,29.9,0.48,6.42
1895-12,1.45,26.7,33.7,40.7,27.3,0.54,3.14
1896-01,1.36,26.5,33.6,40.6,27.0,0.53,3.18
1896-02,0.61,32.6,41.1,49.5,30.4,0.88,6.39
1896-03,0.59,31.4,43.8,56.2,28.5,1.08,9.87
1896-04,0.96,37.0,49.6,62.1,31.8,1.58,13.09
1896-05,1.01,43.7,55.2,66.6,37.7,2.16,14.71
1896-06,0.25,51.3,67.3,83.3,41.1,4.08,30.68
1896-07,0.01,59.9,77.0,94.1,45.5,6.94,44.99
1896-08,0.47,56.0,72.1,88.3,45.6,4.84,35.90
1896-09,0.38,46.8,61.3,75.9,39.7,2.66,22.68
1896-10,0.47,38.9,52.1,65.2,36.8,1.05,14.26
1896-11,2.14,24.4,32.3,40.2,26.3,0.43,3.12
1896-12,1.52,29.7,36.2,42.8,31.3,0.56,3.21
1897-01,1.23,23.2,29.1,34.9,25.4,0.41,1.76
1897-02,1.31,28.2,36.7,45.2,29.0,0.50,4.66
1897-03,0.96,28.8,38.4,47.9,26.3,0.93,6.23
1897-04,0.52,39.6,53.9,68.3,34.5,1.84,17.12
1897-05,0.65,48.2,64.1,79.9,40.3,2.98,26.72
1897-06,1.09,52.9,66.5,80.0,43.8,3.84,25.60
1897-07,0.38,54.8,70.2,85.6,43.3,4.79,32.82
1897-08,0.06,58.8,76.4,94.0,45.7,7.59,43.77
1897-09,0.47,48.2,61.9,75.7,42.4,2.40,21.53
1897-10,0.21,38.8,52.5,66.2,36.4,1.09,14.73
1897-11,2.72,32.5,39.8,47.1,31.4,0.71,4.98
1897-12,1.89,25.1,31.7,38.3,26.9,0.42,2.45
1898-01,0.67,22.1,29.2,36.4,23.4,0.42,2.60
1898-02,0.57,33.4,41.7,50.0,32.0,0.85,6.19
1898-03,0.35,31.3,42.5,53.7,27.2,1.23,8.85
1898-04,0.21,38.8,53.2,67.7,32.4,2.00,17.18
1898-05,0.71,45.3,60.5,75.7,37.7,2.63,22.77
1898-06,0.57,51.4,67.1,82.9,42.7,3.62,29.56
1898-07,0.03,55.5,73.5,91.5,45.2,5.69,40.86
1898-08,0.10,60.1,77.2,94.3,46.3,6.78,44.77
1898-09,0.31,50.4,64.8,79.3,42.0,3.66,25.46
1898-10,0.29,38.2,51.3,64.4,36.0,1.06,13.61
1898-11,1.11,30.4,38.9,47.5,31.3,0.49,5.00
1898-12,0.59,19.9,27.8,35.6,22.2,0.34,2.57
1899-01,1.68,24.0,32.0,40.0,26.3,0.34,3.18
1899-02,1.14,21.7,30.3,38.9,23.2,0.42,3.45
1899-03,0.41,32.2,43.3,54.4,29.1,1.10,8.86
1899-04,0.43,37.7,50.9,64.2,32.1,1.73,14.58
1899-05,0.42,43.1,56.5,69.9,36.2,2.31,17.95
1899-06,0.19,49.2,65.3,81.4,40.8,3.44,28.30
1899-07,0.02,57.0,75.0,93.0,43.3,6.21,43.97
1899-08,0.88,53.5,67.2,80.9,47.3,3.03,25.30
1899-09,0.37,50.1,66.2,82.3,43.2,2.97,28.69
1899-10,1.41,39.7,50.8,62.0,38.8,0.82,11.06
1899-11,1.54,38.8,47.3,55.8,38.0,0.81,7.35
1899-12,1.17,27.6,35.3,43.1,28.6,0.48,3.76
1900-01,0.74,28.9,37.5,46.0,29.5,0.56,4.80
1900-02,0.69,26.2,35.3,44.4,27.1,0.56,4.64
1900-03,0.52,37.5,50.1,62.8,34.8,1.17,12.66
1900-04,0.82,39.5,54.1,68.7,34.5,1.72,17.46
1900-05,0.42,46.4,60.9,75.3,39.3,2.68,22.19
1900-06,0.33,53.9,69.3,84.6,43.5,4.50,31.55
1900-07,0.06,55.5,72.7,89.9,43.4,5.36,39.03
1900-08,0.28,55.9,69.5,83.1,45.5,4.73,28.85
1900-09,0.63,49.0,61.5,74.0,42.6,2.72,19.76
1900-10,1.59,41.1,51.5,62.0,39.2,0.98,10.96
1900-11,1.03,28.2,37.0,45.9,30.4,0.36,4.45
1900-12,1.17,33.6,39.3,45.0,32.3,0.75,3.65
1901-01,1.29,23.8,30.8,37.8,25.7,0.42,2.50
1901-02,1.88,26.6,35.0,43.5,27.6,0.46,4.14
1901-03,0.45,34.1,44.9,55.7,31.3,1.10,9.22
1901-04,0.30,37.3,50.2,63.1,30.9,1.84,14.11
1901-05,0.88,48.2,61.9,75.5,39.2,3.19,22.33
1901-06,0.63,49.9,63.1,76.2,40.6,3.71,22.74
1901-07,0.05,54.2,71.6,88.9,42.9,4.76,37.78
1901-08,0.05,60.8,77.9,94.9,45.0,7.75,46.42
1901-09,1.19,47.6,59.5,71.3,42.7,2.16,17.24
1901-10,0.11,44.6,58.9,73.2,40.3,1.74,19.86
1901-11,0.92,34.2,43.8,53.4,34.2,0.58,7.04
1901-12,1.19,27.9,35.1,42.4,28.6,0.50,3.52
1902-01,1.07,22.9,29.8,36.8,23.9,0.46,2.63
1902-02,2.64,29.1,37.6,46.1,30.9,0.39,4.47
1902-03,0.33,33.5,44.3,55.1,30.5,1.12,8.99
1902-04,1.45,38.3,50.2,62.1,33.8,1.55,12.65
1902-05,0.99,49.5,60.5,71.6,40.6,3.40,18.33
1902-06,0.02,49.3,64.7,80.2,39.8,3.54,27.46
1902-07,0.12,54.1,70.5,86.9,44.7,4.11,34.79
1902-08,0.00,55.7,71.9,88.1,43.6,5.31,36.46
1902-09,0.35,47.4,62.1,76.8,39.6,2.88,23.86
1902-10,0.60,42.2,54.9,67.7,38.4,1.54,15.54
1902-11,1.87,33.1,40.8,48.5,32.7,0.66,5.09
1902-12,1.74,25.1,31.1,37.1,26.6,0.46,2.17
1903-01,0.90,28.2,34.1,40.0,28.3,0.59,2.73
1903-02,0.33,21.6,31.9,42.1,21.4,0.54,4.80
1903-03,0.72,31.8,43.1,54.3,29.1,1.00,8.86
1903-04,0.27,35.9,49.6,63.3,30.1,1.65,14.26
1903-05,0.18,44.5,59.2,73.8,36.0,2.71,21.57
1903-06,0.50,55.1,70.1,85.1,44.6,4.60,31.85
1903-07,0.10,55.6,71.3,87.1,44.0,4.88,34.76
1903-08,0.77,57.5,72.2,87.0,46.0,5.23,33.76
1903-09,0.57,48.9,61.0,73.0,41.0,3.04,19.36
1903-10,0.39,41.1,53.3,65.4,37.7,1.40,13.81
1903-11,2.38,32.4,39.2,46.0,33.2,0.51,3.85
1903-12,0.72,27.2,32.3,37.5,27.8,0.49,2.04
1904-01,0.80,26.5,34.1,41.8,27.3,0.53,3.60
1904-02,1.84,26.3,34.7,43.0,27.8,0.42,4.07
1904-03,2.19,31.5,40.4,49.4,30.3,0.81,6.14
1904-04,0.72,40.4,54.1,67.8,35.1,1.82,16.60
1904-05,0.25,44.3,59.1,74.0,34.9,2.84,22.13
1904-06,0.34,51.3,66.5,81.6,40.6,4.21,28.79
1904-07,0.75,58.5,73.1,87.7,47.4,5.42,34.43
1904-08,0.12,58.6,75.4,92.3,43.8,6.83,42.47
1904-09,0.20,49.5,65.7,82.0,41.4,3.67,28.95
1904-10,0.41,42.3,54.8,67.3,39.3,1.34,14.88
1904-11,0.47,36.4,45.7,55.0,35.4,0.69,7.62
1904-12,1.02,27.9,34.6,41.2,28.3,0.51,3.11
1905-01,1.66,26.1,32.0,38.0,27.0,0.52,2.41
1905-02,0.24,24.1,33.8,43.5,23.4,0.56,4.96
1905-03,0.76,36.6,48.8,61.0,34.2,1.04,11.76
1905-04,0.15,38.4,53.7,69.0,33.0,1.72,18.10
1905-05,0.79,44.9,58.2,71.5,37.2,2.56,19.04
1905-06,1.93,53.0,66.4,79.8,44.3,3.83,25.29
1905-07,0.00,58.0,75.6,93.2,43.9,6.21,44.08
1905-08,0.00,56.0,72.7,89.4,44.3,6.02,37.62
1905-09,0.40,50.8,64.4,78.0,43.8,2.95,23.49
1905-10,1.29,35.9,46.9,58.0,35.6,0.67,8.66
1905-11,0.50,27.2,38.4,49.5,28.8,0.36,6.50
1905-12,0.89,27.8,32.9,37.9,26.9,0.63,2.33
1906-01,1.06,28.0,34.3,40.7,27.0,0.68,3.18
1906-02,1.15,32.2,39.1,46.0,30.3,0.78,4.64
1906-03,0.55,31.1,41.5,52.0,27.6,1.02,7.90
1906-04,0.08,41.0,56.0,71.0,33.2,2.39,19.65
1906-05,0.98,47.3,60.3,73.2,38.9,2.90,20.12
1906-06,0.69,50.9,63.8,76.8,41.6,3.70,22.88
1906-07,0.00,64.4,80.9,97.3,46.4,9.68,50.07
1906-08,0.24,57.9,73.5,89.2,44.7,6.09,37.31
1906-09,0.55,51.2,65.3,79.5,42.3,3.56,25.47
1906-10,0.25,43.2,55.7,68.3,38.9,1.69,15.81
1906-11,2.14,34.0,40.8,47.6,32.9,0.70,4.64
1906-12,2.11,29.0,34.0,39.1,30.3,0.49,1.95
1907-01,1.90,14.7,21.9,29.1,17.7,0.33,1.72
1907-02,0.85,29.8,36.5,43.3,30.0,0.58,3.63
1907-03,1.83,34.5,42.5,50.4,31.5,1.10,6.26
1907-04,0.31,37.3,50.3,63.4,31.9,1.70,13.99
1907-05,0.80,48.5,62.9,77.3,38.5,3.44,24.42
1907-06,0.55,52.2,65.7,79.3,43.0,3.72,25.15
1907-07,0.16,58.4,74.1,89.7,45.1,6.63,38.16
1907-08,0.59,55.3,68.8,82.2,45.7,4.30,27.66
1907-09,0.58,49.4,62.8,76.1,42.9,2.75,21.57
1907-10,0.12,43.8,58.6,73.3,40.0,1.60,20.00
1907-11,0.61,33.1,44.1,55.1,33.2,0.54,8.27
1907-12,1.88,30.0,36.4,42.7,29.5,0.61,3.40
1908-01,0.44,27.4,34.7,42.0,26.6,0.64,3.87
1908-02,0.28,27.6,37.3,47.0,27.2,0.60,5.69
1908-03,0.32,35.9,46.7,57.4,31.0,1.43,10.26
1908-04,0.15,39.7,54.0,68.3,32.2,2.18,17.80
1908-05,0.46,44.5,57.7,70.9,36.7,2.59,18.19
1908-06,0.31,52.1,67.4,82.7,40.9,4.35,30.64
1908-07,0.81,61.4,77.0,92.6,45.6,7.22,42.51
1908-08,0.12,57.5,73.0,88.5,44.4,5.99,36.48
1908-09,0.00,49.3,65.4,81.4,41.0,3.25,28.29
1908-10,1.44,40.3,51.8,63.3,38.7,1.02,11.80
1908-11,0.72,33.8,44.0,54.3,33.4,0.62,7.83
1908-12,0.58,26.1,32.5,38.9,25.7,0.55,2.91
1909-01,1.82,14.4,22.7,31.0,18.8,0.22,1.85
1909-02,0.84,31.9,40.0,48.0,30.5,0.80,5.44
1909-03,0.22,33.3,46.4,59.5,30.3,1.10,11.70
1909-04,0.10,36.2,50.9,65.7,29.9,1.80,16.25
1909-05,0.33,44.8,58.7,72.6,35.6,2.94,20.48
1909-06,0.34,54.7,68.6,82.5,41.7,5.26,29.42
1909-07,0.43,55.7,71.0,86.2,45.4,4.70,33.16
1909-08,0.00,53.2,70.9,88.6,42.0,4.61,37.42
1909-09,0.17,51.2,65.9,80.6,43.7,3.20,26.52
1909-10,0.48,42.0,54.0,66.0,37.7,1.53,14.38
1909-11,1.97,36.0,43.1,50.2,34.3,0.86,5.42
1909-12,1.27,20.4,26.6,32.7,21.2,0.45,1.98
1910-01,0.99,22.2,29.2,36.3,21.8,0.53,2.77
1910-02,0.60,23.0,30.4,37.8,23.0,0.49,3.15
1910-03,0.77,38.1,50.5,62.9,35.1,1.26,12.80
1910-04,0.40,42.1,56.7,71.3,35.5,2.23,19.50
1910-05,0.47,48.3,64.0,79.6,38.5,3.42,26.91
1910-06,0.36,51.0,66.1,81.2,40.1,4.12,28.42
1910-07,0.00,57.6,74.8,92.1,43.5,6.60,42.26
