PRISM Time Series Data
Location:  Lat: 47.8690   Lon: -120.6189   Elev: 4688ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2021-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Nov-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1895-01,6.80,14.6,21.3,28.0,14.2,0.51,1.68
1895-02,2.57,21.4,28.3,35.1,17.3,0.86,3.14
1895-03,1.94,23.5,32.4,41.2,17.6,1.22,5.27
1895-04,0.99,29.5,40.8,52.0,22.3,1.75,10.16
1895-05,1.65,32.7,43.7,54.7,28.2,1.45,9.96
1895-06,0.23,40.7,53.0,65.3,32.1,2.63,15.60
1895-07,0.23,44.6,55.6,66.6,37.1,2.71,15.45
1895-08,0.04,41.3,56.6,71.8,36.2,2.21,20.06
1895-09,1.75,37.1,46.1,55.1,32.3,1.74,9.89
1895-10,0.00,30.6,43.0,55.3,25.0,1.55,11.19
1895-11,2.79,25.6,32.0,38.5,21.9,1.07,3.85
1895-12,12.32,20.9,26.2,31.5,19.4,0.69,1.80
1896-01,5.83,20.3,24.7,29.1,18.1,0.64,1.43
1896-02,2.91,23.7,29.0,34.4,21.1,0.88,3.03
1896-03,3.00,19.7,29.2,38.7,17.5,0.81,4.32
1896-04,2.61,25.2,34.7,44.2,20.9,1.15,6.32
1896-05,2.52,31.1,39.5,47.9,28.1,1.14,6.50
1896-06,0.61,39.1,49.3,59.4,32.7,2.09,11.24
1896-07,0.00,46.7,61.7,76.7,38.5,3.00,23.98
1896-08,0.30,47.0,59.1,71.1,38.8,3.33,18.93
1896-09,0.51,37.8,48.4,59.0,32.0,1.87,11.99
1896-10,0.98,30.5,40.8,51.1,27.1,1.23,8.36
1896-11,16.58,19.4,25.0,30.6,16.9,0.57,1.89
1896-12,2.07,21.0,27.5,34.0,24.4,0.31,1.93
1897-01,4.30,15.2,21.2,27.3,17.2,0.38,1.30
1897-02,6.41,19.3,25.5,31.7,18.9,0.61,2.46
1897-03,6.67,17.0,24.0,31.0,14.8,0.77,2.91
1897-04,0.50,27.9,38.5,49.1,24.1,1.22,7.17
1897-05,1.35,35.0,48.2,61.4,31.6,1.30,12.76
1897-06,2.13,35.7,46.2,56.8,36.0,0.96,9.07
1897-07,0.76,41.1,52.3,63.5,37.0,1.75,13.32
1897-08,0.20,43.0,58.9,74.9,38.4,1.67,23.66
1897-09,0.48,36.5,47.4,58.2,34.1,1.21,10.36
1897-10,1.43,30.8,40.7,50.6,27.3,1.17,7.47
1897-11,12.72,21.6,27.7,33.7,22.2,0.57,2.38
1897-12,12.15,16.8,23.6,30.3,19.7,0.30,1.60
1898-01,3.73,14.6,21.0,27.3,15.8,0.41,1.33
1898-02,6.46,22.3,29.1,35.9,21.9,0.66,2.69
1898-03,2.69,19.5,28.3,37.1,16.4,0.92,4.16
1898-04,1.08,26.4,38.7,51.0,23.0,1.13,9.13
1898-05,1.63,33.4,45.2,57.0,29.2,1.42,10.64
1898-06,1.22,36.0,49.9,63.8,34.2,1.03,14.21
1898-07,0.32,42.0,56.8,71.5,38.1,1.76,19.40
1898-08,0.41,46.7,61.3,75.9,39.8,2.66,23.47
1898-09,0.95,43.0,53.7,64.4,34.4,2.87,14.14
1898-10,1.73,28.2,38.0,47.8,26.7,0.89,6.41
1898-11,7.41,24.1,29.2,34.4,22.3,0.82,2.50
1898-12,4.51,16.8,22.6,28.3,15.9,0.65,1.73
1899-01,8.56,15.9,24.3,32.6,18.3,0.38,2.50
1899-02,9.63,17.6,23.7,29.9,12.6,0.92,2.56
1899-03,5.24,21.9,29.2,36.5,17.2,1.07,3.89
1899-04,2.36,26.7,35.8,45.0,22.0,1.29,6.06
1899-05,1.61,31.8,42.6,53.5,27.3,1.43,9.04
