PRISM Time Series Data
Location:  Lat: 47.7361   Lon: -119.6917   Elev: 2336ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2021-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Nov-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1895-01,2.34,16.2,22.8,29.5,16.6,0.44,1.67
1895-02,0.44,24.7,32.1,39.5,22.2,0.73,3.69
1895-03,0.35,28.8,38.1,47.5,23.5,1.18,6.72
1895-04,0.53,35.4,48.2,61.0,28.5,1.89,13.53
1895-05,1.17,40.2,53.3,66.3,33.7,2.12,15.86
1895-06,0.02,48.0,61.8,75.6,37.1,3.68,23.05
1895-07,0.29,52.3,66.5,80.6,40.8,4.76,27.61
1895-08,0.07,53.0,67.6,82.3,39.1,5.39,29.98
1895-09,1.31,42.4,53.3,64.1,36.9,2.06,13.95
1895-10,0.00,34.9,49.4,63.8,30.0,1.51,15.13
1895-11,0.52,25.5,34.5,43.6,26.4,0.38,4.74
1895-12,2.07,21.2,27.9,34.5,21.2,0.51,2.36
1896-01,2.45,19.3,26.1,33.0,20.2,0.44,2.16
1896-02,0.55,25.5,33.8,42.1,26.6,0.41,4.38
1896-03,0.70,25.8,35.9,46.1,22.6,0.94,6.15
1896-04,1.75,33.0,43.8,54.7,26.7,1.56,9.93
1896-05,1.98,38.9,49.8,60.8,33.9,1.68,11.81
1896-06,0.40,46.7,61.3,76.0,37.4,3.32,23.57
1896-07,0.16,58.3,73.9,89.6,41.9,7.30,39.26
1896-08,0.76,53.5,68.0,82.6,41.6,5.02,29.92
1896-09,0.58,44.2,57.2,70.1,36.1,2.70,18.72
1896-10,0.76,36.8,48.3,59.7,32.4,1.42,11.83
1896-11,2.85,19.1,26.3,33.6,20.3,0.41,2.29
1896-12,1.78,25.3,31.6,37.8,27.2,0.42,2.45
1897-01,1.88,18.7,24.9,31.2,19.5,0.44,1.84
1897-02,2.04,21.2,28.4,35.7,23.6,0.34,2.62
1897-03,1.41,21.5,30.3,39.1,19.8,0.74,4.20
1897-04,0.59,37.4,49.8,62.1,30.5,2.00,13.46
1897-05,1.10,45.3,60.6,75.8,37.4,2.79,23.16
1897-06,1.33,48.2,61.2,74.2,42.5,2.40,20.06
1897-07,0.76,51.0,64.4,77.9,41.9,3.74,24.29
1897-08,0.19,55.0,71.5,88.0,41.0,6.42,37.11
1897-09,0.57,45.1,57.8,70.6,38.5,2.39,18.09
1897-10,0.63,35.7,47.5,59.4,32.0,1.24,11.06
1897-11,2.81,25.6,32.6,39.5,26.2,0.48,3.26
1897-12,1.89,17.1,23.7,30.2,21.1,0.14,1.32
1898-01,0.53,13.2,20.1,27.0,17.3,0.09,1.00
1898-02,1.25,26.6,33.5,40.4,26.9,0.55,3.16
1898-03,0.47,27.0,35.9,44.7,22.3,1.14,5.77
1898-04,0.17,36.7,48.9,61.1,29.3,2.03,13.40
1898-05,1.32,43.2,55.4,67.5,35.4,2.54,16.25
1898-06,1.14,46.5,61.3,76.1,39.1,2.77,23.15
1898-07,0.29,53.0,69.0,85.1,42.4,4.82,33.06
1898-08,0.50,58.2,73.3,88.4,42.7,7.20,37.49
1898-09,0.63,46.8,60.8,74.9,37.9,3.33,22.28
1898-10,0.30,33.1,45.5,58.0,31.8,0.84,10.43
1898-11,1.22,25.5,32.5,39.4,26.4,0.44,3.12
1898-12,0.95,14.4,21.2,28.1,17.1,0.23,1.49
1899-01,2.24,16.9,24.3,31.6,18.9,0.31,2.09
1899-02,1.44,15.9,23.3,30.8,15.6,0.50,2.37
1899-03,0.39,26.0,35.5,45.1,22.8,0.98,5.82
1899-04,0.26,34.3,44.9,55.6,27.9,1.70,9.98
1899-05,0.77,38.2,51.6,65.0,32.8,1.74,15.16
1899-06,0.34,45.5,60.0,74.5,37.1,2.96,22.01
1899-07,0.16,54.0,70.1,86.2,40.6,5.64,34.68
1899-08,1.28,50.5,62.7,74.9,43.4,3.01,20.47
1899-09,0.42,47.9,63.1,78.3,38.8,3.39,25.69
1899-10,1.42,36.5,46.0,55.5,34.1,1.06,8.48
1899-11,2.53,35.9,42.5,49.2,34.2,0.93,5.05
1899-12,1.51,22.8,29.2,35.6,23.4,0.46,2.40
1900-01,0.93,24.1,31.2,38.2,25.5,0.41,2.81
1900-02,0.91,20.6,28.4,36.2,21.0,0.53,3.05
1900-03,0.87,32.7,42.7,52.8,29.6,1.11,8.09
1900-04,0.92,37.9,50.2,62.4,31.8,1.85,13.37
1900-05,1.26,43.1,56.5,69.9,37.0,2.23,18.07
1900-06,0.49,50.5,65.1,79.8,40.0,4.09,27.07
1900-07,0.16,52.6,69.1,85.6,40.0,4.95,33.97
1900-08,0.54,50.3,64.1,78.0,41.8,3.54,24.54
1900-09,0.75,45.3,58.1,70.8,38.6,2.55,18.31
1900-10,1.98,37.0,46.6,56.2,35.1,1.03,8.56
1900-11,1.32,24.1,32.0,39.8,24.9,0.45,3.41
1900-12,2.25,29.2,34.7,40.2,27.9,0.76,2.91
1901-01,2.06,17.6,24.7,31.8,19.5,0.34,1.87
1901-02,1.89,20.3,28.2,36.0,21.6,0.39,2.84
1901-03,0.49,29.3,38.8,48.2,27.4,0.89,6.48
1901-04,0.61,31.4,44.1,56.7,26.6,1.38,10.87
1901-05,1.28,42.6,55.9,69.2,37.6,1.93,17.18
1901-06,1.06,43.4,56.7,70.0,36.8,2.40,18.06
1901-07,0.36,50.6,66.1,81.5,40.8,3.85,28.70
1901-08,0.05,55.1,72.1,89.2,41.2,6.10,38.91
1901-09,1.57,43.7,55.3,66.9,38.7,2.00,14.99
1901-10,0.10,40.3,53.7,67.1,34.8,1.87,16.36
1901-11,1.59,30.1,38.1,46.1,30.5,0.51,4.51
1901-12,1.42,22.5,29.1,35.7,23.3,0.45,2.38
1902-01,1.24,17.3,24.2,31.2,18.4,0.39,2.02
1902-02,3.13,24.8,31.5,38.2,25.6,0.44,2.71
1902-03,0.41,28.6,37.6,46.6,25.5,1.02,6.02
1902-04,1.45,33.7,44.9,56.1,28.2,1.53,10.21
1902-05,1.50,43.1,54.5,66.0,37.8,2.00,14.32
1902-06,0.13,44.3,59.3,74.3,36.4,2.70,22.35
1902-07,1.47,49.2,64.3,79.4,43.6,2.49,25.50
1902-08,0.13,51.7,67.7,83.7,39.8,4.70,32.08
1902-09,0.31,42.3,57.5,72.8,35.1,2.42,21.20
1902-10,0.25,38.0,50.8,63.6,33.3,1.58,13.85
1902-11,2.18,27.3,34.2,41.1,27.5,0.54,3.36
1902-12,2.70,18.0,24.5,31.1,20.6,0.34,1.61
1903-01,1.66,19.7,26.0,32.3,22.8,0.21,1.47
1903-02,0.38,13.6,24.0,34.3,17.4,0.16,3.02
1903-03,0.85,25.8,34.7,43.6,23.3,0.87,5.20
1903-04,0.34,32.4,44.0,55.6,25.5,1.66,10.46
1903-05,0.54,40.7,54.2,67.7,32.7,2.38,16.99
1903-06,0.69,51.1,65.8,80.6,41.3,3.89,27.50
1903-07,0.81,51.2,65.8,80.5,42.3,3.52,26.98
1903-08,1.09,53.0,67.5,82.0,42.6,4.20,28.60
1903-09,0.66,43.3,55.8,68.4,36.2,2.44,16.91
1903-10,0.54,35.5,48.3,61.1,32.4,1.22,12.22
1903-11,2.80,26.5,33.1,39.8,27.0,0.48,3.03
1903-12,1.09,21.1,26.8,32.4,23.3,0.30,1.48
1904-01,1.32,18.6,26.0,33.3,22.8,0.25,1.71
1904-02,2.48,19.1,26.8,34.4,22.1,0.35,2.26
1904-03,2.31,24.3,32.5,40.7,23.3,0.70,4.04
1904-04,1.03,36.3,48.8,61.3,29.6,1.86,13.19
1904-05,0.24,40.6,54.5,68.3,32.6,2.38,17.62
1904-06,0.71,46.5,61.8,77.1,36.4,3.50,24.97
1904-07,0.56,55.5,69.7,83.9,42.3,5.56,31.35
1904-08,0.23,54.7,71.1,87.5,39.6,6.18,37.01
1904-09,0.13,46.4,62.0,77.6,35.3,3.73,25.87
1904-10,1.03,36.6,49.5,62.4,34.2,1.15,12.84
1904-11,1.11,31.9,40.9,49.9,31.8,0.57,5.99
1904-12,1.72,23.1,29.3,35.4,23.8,0.43,2.10
1905-01,2.01,20.5,26.7,32.8,20.7,0.52,2.16
1905-02,0.45,18.2,27.1,36.0,18.3,0.46,3.36
1905-03,1.30,32.1,42.4,52.7,29.3,1.04,8.12
1905-04,0.34,35.8,48.9,62.0,29.0,1.84,13.62
1905-05,1.09,40.7,53.5,66.3,34.3,2.05,15.64
1905-06,3.15,47.6,60.5,73.4,40.6,2.80,19.89
1905-07,0.21,54.6,70.7,86.8,40.9,5.64,35.33
1905-08,0.13,51.8,68.0,84.2,40.2,5.20,32.10
1905-09,0.80,47.4,60.2,73.1,38.9,3.09,20.39
1905-10,1.47,31.9,42.0,52.1,30.2,0.86,7.39
1905-11,0.76,25.2,34.8,44.3,24.9,0.54,5.20
1905-12,1.19,20.1,26.4,32.7,21.4,0.37,1.80
1906-01,1.23,18.7,25.8,32.8,21.2,0.25,1.80
1906-02,1.58,26.0,32.3,38.5,25.2,0.64,2.91
1906-03,0.90,26.4,36.0,45.6,20.9,1.07,6.30
1906-04,0.04,37.0,51.2,65.3,29.8,2.09,15.95
1906-05,2.60,42.3,54.9,67.5,35.2,2.30,16.34
1906-06,0.79,44.1,57.7,71.3,37.9,2.34,18.92
1906-07,0.22,59.0,75.9,92.7,41.4,8.24,44.07
1906-08,0.21,53.5,69.3,85.1,41.0,5.17,33.11
1906-09,0.35,45.6,60.4,75.3,37.8,2.82,22.73
1906-10,0.19,37.4,50.0,62.6,33.5,1.47,13.28
1906-11,3.01,27.2,34.6,42.0,26.8,0.59,3.90
1906-12,2.93,22.3,27.7,33.1,23.8,0.40,1.52
1907-01,1.41,4.9,13.0,21.1,9.1,0.26,1.37
1907-02,0.98,21.6,28.5,35.4,24.1,0.38,2.33
1907-03,1.05,27.1,35.9,44.6,25.8,0.78,5.06
1907-04,0.31,32.4,45.1,57.9,26.1,1.70,11.61
1907-05,1.23,43.0,57.4,71.8,33.6,2.81,20.39
1907-06,1.20,46.1,59.7,73.4,39.7,2.47,20.32
1907-07,0.82,52.9,68.8,84.7,42.7,4.42,31.95
1907-08,0.97,49.5,63.8,78.0,42.6,2.94,24.11
1907-09,1.17,45.1,58.9,72.7,38.0,2.59,19.96
1907-10,0.20,39.5,54.0,68.4,34.5,1.67,17.37
1907-11,1.04,29.2,38.5,47.8,29.5,0.50,5.58
1907-12,2.39,23.2,29.6,36.0,24.4,0.39,2.12
1908-01,1.23,19.3,26.8,34.3,21.8,0.27,2.09
1908-02,1.02,20.6,28.5,36.5,22.6,0.37,2.81
1908-03,0.60,28.4,38.4,48.3,25.5,0.98,6.64
1908-04,0.29,34.5,47.7,61.0,27.3,1.89,13.36
1908-05,1.02,40.2,52.5,64.8,33.6,2.08,14.51
1908-06,0.24,47.2,61.7,76.2,37.7,3.27,23.96
1908-07,0.81,54.9,70.9,87.0,41.7,5.50,35.25
1908-08,0.24,53.4,68.9,84.3,40.6,5.40,32.38
1908-09,0.11,45.1,60.8,76.4,36.3,2.96,24.39
1908-10,1.17,36.8,47.7,58.5,33.9,1.16,10.28
1908-11,0.83,30.8,39.6,48.4,29.6,0.75,6.01
1908-12,0.78,18.7,25.5,32.2,20.0,0.37,1.88
1909-01,2.35,5.5,14.4,23.3,11.9,0.04,1.11
1909-02,1.43,23.4,30.7,37.9,24.0,0.49,3.04
1909-03,0.28,28.5,39.7,50.8,24.9,1.08,8.19
1909-04,0.05,31.9,45.0,58.1,24.1,1.79,12.09
1909-05,1.02,39.7,53.3,66.8,32.3,2.20,16.41
1909-06,0.52,46.9,61.6,76.3,38.3,3.16,23.55
1909-07,1.32,50.3,65.8,81.3,45.0,2.56,27.01
1909-08,0.00,49.8,66.8,83.9,38.2,4.34,32.41
1909-09,0.61,47.3,61.9,76.6,39.1,3.09,23.85
1909-10,0.73,36.8,48.1,59.3,33.0,1.35,11.18
1909-11,2.59,29.6,36.5,43.4,29.9,0.52,3.53
1909-12,1.41,14.1,20.3,26.5,15.7,0.39,1.39
1910-01,1.31,15.7,23.0,30.4,17.6,0.30,1.75
1910-02,0.86,14.6,22.8,30.9,17.6,0.23,2.12
1910-03,1.03,32.0,43.6,55.2,30.0,0.94,9.14
1910-04,0.21,36.7,50.5,64.3,31.7,1.65,14.77
1910-05,0.61,43.3,58.9,74.5,34.4,2.78,22.71
1910-06,0.28,45.4,60.4,75.4,36.5,3.07,23.19
1910-07,0.14,52.8,70.1,87.4,40.6,5.15,36.19
1910-08,0.11,49.2,65.0,80.8,38.2,4.05,28.72
1910-09,0.71,45.6,59.0,72.4,38.3,2.80,19.94
1910-10,0.43,38.9,49.8,60.7,36.2,1.22,11.23
1910-11,2.31,28.1,35.3,42.4,29.8,0.34,3.34
1910-12,1.21,23.8,29.0,34.2,23.8,0.55,1.74
1911-01,0.98,12.8,21.4,30.0,17.7,0.17,1.95
1911-02,0.85,15.6,25.1,34.6,18.9,0.30,3.00
1911-03,0.41,28.3,40.4,52.5,26.2,0.86,8.58
1911-04,0.13,32.1,46.2,60.2,25.4,1.65,13.16
1911-05,1.90,39.4,52.3,65.2,33.1,1.96,15.08
1911-06,0.77,48.3,62.4,76.5,40.0,3.17,23.68
1911-07,0.02,53.2,69.9,86.6,40.1,5.65,35.31
1911-08,0.78,51.1,67.1,83.1,41.2,4.03,30.51
1911-09,1.20,44.3,56.4,68.6,37.1,2.70,16.84
1911-10,0.16,33.9,47.4,60.9,30.6,1.18,12.69
1911-11,0.94,21.8,31.3,40.9,23.4,0.37,4.17
1911-12,1.65,18.2,25.3,32.5,20.3,0.31,2.04
1912-01,2.23,13.4,20.7,28.0,17.0,0.18,1.51
1912-02,0.82,25.4,32.3,39.3,25.3,0.60,3.30
1912-03,0.37,24.9,36.4,47.9,21.1,0.97,7.28
1912-04,1.21,35.5,47.0,58.5,29.2,1.73,11.47
1912-05,1.63,42.2,56.1,70.1,35.2,2.30,18.39
1912-06,0.79,49.2,64.4,79.6,38.4,3.94,27.25
1912-07,0.73,52.3,67.3,82.2,42.2,4.13,28.96
1912-08,1.53,50.8,64.7,78.5,43.9,3.06,24.13
1912-09,0.34,42.2,56.4,70.6,34.9,2.32,19.06
1912-10,1.45,33.3,44.2,55.2,31.6,0.89,9.04
1912-11,1.66,29.8,37.0,44.2,30.4,0.46,3.75
1912-12,1.16,21.0,28.4,35.8,23.0,0.27,2.37
1913-01,1.66,10.5,19.1,27.8,14.2,0.25,1.81
1913-02,0.38,12.8,21.8,30.9,14.8,0.30,2.56
1913-03,0.03,25.8,34.6,43.4,21.1,1.06,5.42
1913-04,0.55,34.1,47.1,60.0,28.8,1.57,12.56
1913-05,1.67,40.8,54.1,67.4,35.0,1.98,16.16
1913-06,1.98,48.2,62.1,75.9,42.0,2.58,21.99
1913-07,0.18,51.4,67.4,83.5,41.3,4.09,31.02
1913-08,0.24,52.9,69.2,85.6,41.4,4.80,33.63
1913-09,0.36,42.4,58.3,74.3,36.0,2.26,22.32
1913-10,1.12,32.9,44.5,56.1,31.8,0.79,9.36
1913-11,1.95,29.7,37.0,44.3,30.3,0.47,3.79
1913-12,1.12,22.5,27.9,33.4,21.2,0.64,1.99
1914-01,2.75,22.3,29.1,36.0,24.5,0.29,2.27
1914-02,1.15,20.6,27.2,33.7,21.5,0.48,2.29
1914-03,0.31,29.8,40.2,50.7,26.9,1.00,7.70
1914-04,0.95,36.2,48.6,61.0,30.0,1.79,12.77
1914-05,0.62,41.8,56.3,70.9,33.7,2.52,19.57
1914-06,1.22,45.5,59.9,74.4,38.7,2.55,21.55
1914-07,0.59,53.0,70.2,87.4,41.5,4.95,36.01
1914-08,0.00,52.8,69.8,86.9,39.6,5.60,35.91
1914-09,1.12,43.4,56.3,69.2,37.1,2.27,17.28
1914-10,1.57,38.8,49.2,59.6,35.8,1.28,10.46
1914-11,1.04,29.7,36.5,43.3,29.9,0.52,3.54
1914-12,0.93,11.7,19.3,26.8,13.6,0.31,1.75
1915-01,1.11,13.4,21.2,29.1,16.6,0.21,1.66
1915-02,1.66,25.7,32.3,38.9,25.8,0.58,2.89
1915-03,0.79,32.1,42.5,53.0,27.9,1.19,8.46
1915-04,0.76,37.8,51.2,64.7,32.3,1.76,14.92
1915-05,2.45,42.1,53.7,65.3,37.8,1.71,13.77
1915-06,0.58,46.0,61.3,76.7,37.5,2.97,24.06
1915-07,0.79,52.3,67.1,81.9,43.0,4.03,28.60
1915-08,0.07,56.3,73.6,90.9,41.1,6.75,41.32
1915-09,0.10,43.8,58.4,73.1,36.1,2.59,21.09
1915-10,0.54,36.5,48.7,60.9,33.8,1.19,11.98
1915-11,2.63,23.4,31.2,39.0,26.5,0.14,2.74
1915-12,2.15,18.6,25.7,32.8,21.5,0.21,1.75
1916-01,1.45,2.9,11.1,19.3,4.5,0.33,1.25
