PRISM Time Series Data
Location:  Lat: 47.2057   Lon: -119.4518   Elev: 1145ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2021-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Nov-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1895-01,1.89,17.9,25.4,32.9,19.6,0.43,2.14
1895-02,0.26,27.7,36.2,44.6,25.0,0.78,5.02
1895-03,0.24,29.2,41.3,53.3,25.8,1.04,9.00
1895-04,0.34,38.0,52.2,66.5,30.3,2.20,16.52
1895-05,0.62,43.5,57.3,71.0,35.9,2.49,19.01
1895-06,0.00,51.4,65.7,80.0,38.5,4.66,27.52
1895-07,0.14,55.5,69.8,84.1,43.0,5.57,31.02
1895-08,0.11,53.9,69.9,85.9,42.6,4.85,33.47
1895-09,1.03,44.6,56.4,68.1,38.9,2.19,16.06
1895-10,0.00,35.1,51.5,68.0,32.6,1.11,17.45
1895-11,0.38,28.2,37.8,47.4,28.2,0.51,5.77
1895-12,1.49,24.0,30.4,36.9,23.8,0.57,2.54
1896-01,1.37,23.5,30.0,36.5,23.6,0.54,2.52
1896-02,0.52,30.3,38.5,46.7,29.0,0.76,5.45
1896-03,0.54,28.8,40.4,52.0,25.3,1.08,8.30
1896-04,1.12,36.2,48.0,59.8,28.9,1.83,12.32
1896-05,1.18,43.1,54.2,65.2,35.6,2.37,14.31
1896-06,0.28,51.6,66.3,80.9,39.2,4.63,28.42
1896-07,0.05,61.6,77.4,93.1,44.1,8.26,44.11
1896-08,0.59,55.1,70.6,86.1,45.0,4.60,33.25
1896-09,0.35,46.4,60.4,74.4,38.8,2.73,21.62
1896-10,0.43,38.4,51.0,63.7,34.5,1.30,13.79
1896-11,2.17,22.9,30.7,38.6,23.3,0.51,3.11
1896-12,1.37,29.6,35.3,41.0,30.1,0.70,2.85
1897-01,1.29,22.3,28.1,33.8,22.4,0.54,2.00
1897-02,1.47,26.2,33.8,41.4,26.6,0.54,3.74
1897-03,0.82,25.8,35.3,44.8,22.6,0.96,5.60
1897-04,0.70,39.6,53.4,67.2,32.7,2.16,16.74
1897-05,0.76,48.3,64.3,80.3,39.3,3.19,27.45
1897-06,1.15,53.0,65.7,78.5,43.7,3.82,24.03
1897-07,0.35,55.0,68.5,82.0,43.3,4.87,28.48
1897-08,0.13,57.5,74.3,91.0,44.6,6.70,40.00
1897-09,0.52,47.4,60.7,74.0,41.0,2.51,20.39
1897-10,0.31,37.4,50.3,63.3,34.5,1.12,13.02
1897-11,2.40,29.4,37.0,44.7,29.4,0.57,4.35
1897-12,1.93,22.3,28.3,34.3,24.2,0.41,1.79
1898-01,0.41,17.6,24.3,31.1,19.6,0.39,1.63
1898-02,0.59,30.8,38.4,46.0,29.5,0.80,4.76
1898-03,0.33,29.1,39.4,49.8,24.5,1.23,7.44
1898-04,0.13,38.0,52.0,66.1,31.3,1.96,16.26
1898-05,0.71,44.6,58.5,72.4,37.1,2.53,19.91
1898-06,0.68,52.0,66.4,80.8,40.8,4.24,27.73
1898-07,0.07,56.6,72.7,88.8,43.6,6.42,37.60
1898-08,0.29,60.2,75.9,91.6,45.7,7.01,41.02
