PRISM Time Series Data
Location:  Lat: 46.2298   Lon: -118.4785   Elev: 1194ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2021-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Nov-19
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1895-01,2.55,23.2,29.9,36.6,23.4,0.47,2.64
1895-02,0.58,32.4,40.3,48.2,28.7,0.97,5.86
1895-03,0.81,33.6,44.0,54.5,28.3,1.32,9.14
1895-04,0.58,40.7,54.0,67.4,32.4,2.63,16.43
1895-05,1.60,45.4,57.9,70.4,37.4,2.77,18.02
1895-06,0.02,51.0,65.6,80.3,39.8,4.41,27.46
1895-07,0.28,55.5,70.7,85.9,42.8,5.80,33.09
1895-08,0.12,56.2,71.8,87.4,40.8,6.42,35.96
1895-09,1.52,45.6,57.3,69.0,40.5,2.16,16.10
1895-10,0.00,37.4,53.4,69.4,33.9,1.34,18.17
1895-11,1.16,30.8,40.5,50.3,30.6,0.53,6.58
1895-12,2.05,27.7,35.0,42.2,28.4,0.52,3.46
1896-01,2.31,28.4,36.5,44.5,28.3,0.58,4.48
1896-02,1.03,33.2,42.3,51.3,31.6,0.81,6.91
1896-03,1.11,32.1,43.1,54.1,28.9,1.15,8.55
1896-04,1.60,38.3,48.7,59.0,32.4,1.72,10.95
1896-05,2.11,42.4,53.5,64.5,38.2,1.74,13.01
1896-06,0.64,51.5,66.6,81.7,40.5,4.34,28.75
1896-07,0.21,59.9,77.0,94.2,43.5,7.64,45.59
1896-08,1.02,55.4,71.4,87.5,42.9,5.40,35.64
1896-09,0.44,47.4,61.4,75.5,38.0,3.23,22.78
1896-10,0.91,40.9,53.3,65.7,36.1,1.46,14.87
1896-11,3.68,27.9,35.0,42.1,27.0,0.61,3.66
1896-12,1.92,33.6,39.7,45.7,32.6,0.89,4.11
1897-01,1.34,24.8,31.1,37.5,25.8,0.48,2.49
1897-02,2.05,31.2,38.5,45.8,29.7,0.74,4.70
1897-03,2.12,30.1,38.6,47.1,26.4,1.06,5.84
1897-04,0.97,42.9,55.0,67.1,34.7,2.66,16.03
1897-05,1.09,50.6,64.6,78.7,39.7,3.88,25.44
1897-06,1.96,53.5,65.3,77.2,43.3,4.27,22.69
1897-07,0.54,55.2,69.6,84.0,41.7,5.39,31.25
1897-08,0.30,59.7,76.1,92.5,43.3,9.79,42.06
1897-09,1.22,50.1,62.2,74.4,41.5,3.25,20.48
1897-10,0.43,40.1,52.8,65.5,35.4,1.46,14.47
1897-11,3.61,33.4,40.6,47.8,31.4,0.83,5.40
