Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa),County
1895-01,3.33,17.6,26.2,34.8,19,0.42,2.8,Yakima
1895-02,0.33,26.1,36.5,46.8,23.7,0.74,6.23,Yakima
1895-03,0.26,28.7,41.4,54.1,25.6,1.05,9.42,Yakima
1895-04,0.36,35,50.8,66.6,30.5,1.56,16.66,Yakima
1895-05,0.69,41.5,56.4,71.3,35.3,2.11,19.29,Yakima
1895-06,0.02,48.5,65.4,82.3,40.6,3.13,29.46,Yakima
1895-07,0.13,50.6,67.8,85,44.8,2.82,31.55,Yakima
1895-08,0,49.2,68.1,87,44.6,2.33,34.36,Yakima
1895-09,0.6,41.7,55.4,69.1,38.1,1.61,16.92,Yakima
1895-10,0,32.2,50.2,68.2,32.5,0.62,17.58,Yakima
1895-11,0.39,24.4,37,49.7,25.9,0.4,7.17,Yakima
1895-12,4.04,22.5,30.5,38.5,24.1,0.46,2.97,Yakima
1896-01,2.48,21.3,29.5,37.6,23.1,0.42,3.04,Yakima
1896-02,0.39,28.6,38.5,48.5,28,0.68,6.32,Yakima
1896-03,0.45,26.8,39.8,52.8,24.4,0.95,8.88,Yakima
1896-04,0.63,33.4,47.4,61.3,28.7,1.44,13.23,Yakima
1896-05,0.98,40.2,53.7,67.3,36.1,1.62,15.64,Yakima
1896-06,0.12,48.1,64.1,80.1,40.9,2.94,26.91,Yakima
1896-07,0,57.2,75.1,93.1,47.7,4.83,42.67,Yakima
1896-08,0.42,51.6,68.9,86.2,46.8,2.51,32.71,Yakima
1896-09,0.28,43.1,58.6,74,39.9,1.58,20.8,Yakima
1896-10,0.21,34,49.3,64.6,33.9,0.72,14.47,Yakima
1896-11,4.42,19.3,29.2,39.1,21.1,0.44,3.6,Yakima
1896-12,1.7,27,33.3,39.6,28.7,0.57,2.68,Yakima
1897-01,0.74,22.2,29,35.8,23.7,0.46,2.33,Yakima
1897-02,2.62,25.3,34.4,43.5,27.3,0.36,4.37,Yakima
1897-03,1.56,25.8,36.5,47.3,24.2,0.84,6.36,Yakima
1897-04,0.17,38.4,53.7,69.1,33.1,1.82,18.19,Yakima
1897-05,0.24,45.4,62.2,79,38.2,2.64,26.42,Yakima
1897-06,0.75,50.2,64.7,79.1,44.1,2.73,24.45,Yakima
1897-07,0.27,50.7,66.7,82.7,45,2.75,28.64,Yakima
1897-08,0.05,54,73,91.9,47.1,3.48,40.91,Yakima
1897-09,0.45,42.4,58.3,74.1,40.4,1.31,20.63,Yakima
1897-10,0.38,33.2,48.8,64.4,32.7,0.74,14.35,Yakima
1897-11,2.98,28.5,37.2,45.9,29.8,0.44,4.7,Yakima
1897-12,2.88,22.6,29,35.4,24.4,0.44,2.07,Yakima
1898-01,0.82,16.9,25.8,34.8,18.9,0.41,2.81,Yakima
1898-02,0.67,30,38.8,47.7,29.6,0.7,5.52,Yakima
1898-03,0.17,27.8,40.4,53,24.3,1.11,9.06,Yakima
1898-04,0.12,34.5,50.2,65.9,29,1.64,16.64,Yakima
1898-05,0.38,41.2,57.3,73.4,35.7,1.96,21.17,Yakima
1898-06,0.54,48.2,64.1,80,41.3,2.78,26.7,Yakima
1898-07,0.13,53.2,70.7,88.1,45.9,3.74,35.6,Yakima
1898-08,0.09,55.4,73.1,90.8,48.6,3.49,38.42,Yakima
1898-09,0.34,44.9,60.5,76.1,41.4,1.88,22.15,Yakima
1898-10,0.15,33.4,47.5,61.7,32,0.89,12.67,Yakima
1898-11,1.31,28.2,36.7,45.3,29.4,0.44,4.45,Yakima
1898-12,0.73,17.2,25.4,33.6,18.9,0.4,2.53,Yakima
1899-01,2.84,20.8,29.1,37.3,21,0.53,3.25,Yakima
1899-02,0.96,20.7,30,39.3,20.2,0.58,4.04,Yakima
1899-03,0.18,28.5,40.6,52.6,25.7,1.04,8.58,Yakima
1899-04,0.39,33.6,47.7,61.7,28,1.63,13.74,Yakima
1899-05,0.37,39.2,53.2,67.2,33.3,1.91,16.4,Yakima
1899-06,0.1,45.2,61.1,76.9,39.6,2.41,23.62,Yakima
1899-07,0.08,52.3,70.2,88.2,45.5,3.24,36.1,Yakima
1899-08,0.98,48.1,62.5,77,45.7,1.59,21.67,Yakima
1899-09,0.54,44,62.4,80.9,42.9,1,27.1,Yakima
1899-10,0.97,34.9,47.5,60,34.4,0.74,11,Yakima
1899-11,2.41,35.5,44.2,53,36.3,0.5,6.23,Yakima
1899-12,1.2,26.1,33.2,40.3,27,0.49,3.1,Yakima
1900-01,1.16,26.6,34.6,42.5,26.5,0.61,4.05,Yakima
1900-02,0.74,24.9,33.8,42.7,23.9,0.67,4.56,Yakima
1900-03,0.92,34.5,47.3,60.1,32,1.11,11.59,Yakima
1900-04,0.69,36.7,51.7,66.7,32.5,1.5,16.23,Yakima
1900-05,0.21,43.1,58,72.9,36.4,2.37,20.68,Yakima
1900-06,0.43,49.7,65.9,82.1,41.8,3.16,29.09,Yakima
1900-07,0.12,51.7,69.8,87.8,45.3,3.08,35.53,Yakima
